DATAFLOW,REF_AREA,SEX,AGE,ATTAINMENT_LEV,EDUCATION_FIELD,MEASURE,INCOME,BIRTH_PLACE,MIGRATION_AGE,EDU_STATUS,LABOUR_FORCE_STATUS,DURATION_UNEMP,UNIT_MEASURE,STATISTICAL_OPERATION,WORK_TIME_ARNGMNT,QUESTIONNAIRE,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT_MULT,DECIMALS
OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_DISTR_EA_MIGR(1.0),EST,_T,Y25T64,ISCED11A_0T2,_T,POP,_Z,FB,_T,ED_NED,POP,_Z,PT_POP_SEX_AGE,OBS,_Z,NEAC_MIGR,A3,2023,2.770391226,A,,0,1
OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_DISTR_EA_MIGR(1.0),LTU,_T,Y25T64,ISCED11A_0T2,_T,POP,_Z,NB,_Z,ED_NED,POP,_Z,PT_POP_SEX_AGE,OBS,_Z,NEAC_MIGR,A3,2023,7.287788868,A,,0,1
OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_DISTR_EA_MIGR(1.0),FRA,_T,Y25T64,ISCED11A_3_4,_T,POP,_Z,FB,_T,ED_NED,POP,_Z,PT_POP_SEX_AGE,OBS,_Z,NEAC_MIGR,A3,2023,28.78729248,A,,0,1
OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_DISTR_EA_MIGR(1.0),ISR,_T,Y25T64,ISCED11A_5T8,_T,POP,_Z,NB,_Z,ED_NED,POP,_Z,PT_POP_SEX_AGE,OBS,_Z,NEAC_MIGR,A3,2023,51.5278511,A,,0,1
OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_DISTR_EA_MIGR(1.0),CRI,_T,Y25T64,ISCED11A_0T2,_T,POP,_Z,NB,_Z,ED_NED,POP,_Z,PT_POP_SEX_AGE,OBS,_Z,NEAC_MIGR,A3,2023,52.97458649,A,,0,1
OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_DISTR_EA_MIGR(1.0),OECD,_T,Y25T64,ISCED11A_5T8,_T,POP,_Z,FB,_T,ED_NED,POP,_Z,PT_POP_SEX_AGE,OBS,_Z,NEAC_MIGR,A3,2023,41.81975307,A,,0,1
OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_DISTR_EA_MIGR(1.0),MEX,_T,Y25T64,ISCED11A_3_4,_T,POP,_Z,FB,_T,ED_NED,POP,_Z,PT_POP_SEX_AGE,OBS,_Z,NEAC_MIGR,A3,2023,32.67081833,A,,0,1
OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_DISTR_EA_MIGR(1.0),ESP,_T,Y25T64,ISCED11A_5T8,_T,POP,_Z,FB,_T,ED_NED,POP,_Z,PT_POP_SEX_AGE,OBS,_Z,NEAC_MIGR,A3,2023,28.06167221,A,,0,1
OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_DISTR_EA_MIGR(1.0),LVA,_T,Y25T64,ISCED11A_5T8,_T,POP,_Z,NB,_Z,ED_NED,POP,_Z,PT_POP_SEX_AGE,OBS,_Z,NEAC_MIGR,A3,2023,38.70244598,A,,0,1
OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_DISTR_EA_MIGR(1.0),SWE,_T,Y25T64,ISCED11A_5T8,_T,POP,_Z,FB,_T,ED_NED,POP,_Z,PT_POP_SEX_AGE,OBS,_Z,NEAC_MIGR,A3,2023,48.86008835,A,,0,1
OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_DISTR_EA_MIGR(1.0),ROU,_T,Y25T64,ISCED11A_5T8,_T,POP,_Z,FB,_T,ED_NED,POP,_Z,PT_POP_SEX_AGE,OBS,_Z,NEAC_MIGR,A3,2023,34.65583038,A,,0,1
OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_DISTR_EA_MIGR(1.0),HUN,_T,Y25T64,ISCED11A_3_4,_T,POP,_Z,FB,_T,ED_NED,POP,_Z,PT_POP_SEX_AGE,OBS,_Z,NEAC_MIGR,A3,2023,48.98677444,A,,0,1
OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_DISTR_EA_MIGR(1.0),ISR,_T,Y25T64,ISCED11A_3_4,_T,POP,_Z,NB,_Z,ED_NED,POP,_Z,PT_POP_SEX_AGE,OBS,_Z,NEAC_MIGR,A3,2023,37.16548157,A,,0,1
OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_DISTR_EA_MIGR(1.0),COL,_T,Y25T64,ISCED11A_5T8,_T,POP,_Z,FB,_T,ED_NED,POP,_Z,PT_POP_SEX_AGE,OBS,_Z,NEAC_MIGR,A3,2023,24.20047569,A,,0,1
OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_DISTR_EA_MIGR(1.0),NLD,_T,Y25T64,ISCED11A_3_4,_T,POP,_Z,FB,_T,ED_NED,POP,_Z,PT_POP_SEX_AGE,OBS,_Z,NEAC_MIGR,A3,2023,28.98631287,A,,0,1
OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_DISTR_EA_MIGR(1.0),NOR,_T,Y25T64,ISCED11A_3_4,_T,POP,_Z,NB,_Z,ED_NED,POP,_Z,PT_POP_SEX_AGE,OBS,_Z,NEAC_MIGR,A3,2023,36.28034973,A,,0,1
