DATAFLOW,REF_AREA,MEASURE,EDUCATION_LEV,EXP_SOURCE,EXP_DESTINATION,EXPENDITURE_TYPE,PRICE_BASE,UNIT_MEASURE,Q_SHEET,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS,BASE_PER,Q_SHEET_ROW_ID
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_NATURE_STAFF(3.1),IND,EXP,ISCED11_1T8,_T,INST_EDU_PUB,CUR_LC,Q,USD_PPP,NATURE,2015,,K,6,0,2020,X7
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_NATURE_STAFF(3.1),IND,EXP,ISCED11_1T8,_T,INST_EDU_PUB,CUR_LC,Q,USD_PPP,NATURE,2016,,K,6,0,2020,X7
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_NATURE_STAFF(3.1),IND,EXP,ISCED11_1T8,_T,INST_EDU_PUB,CUR_LC,Q,USD_PPP,NATURE,2017,,K,6,0,2020,X7
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_NATURE_STAFF(3.1),IND,EXP,ISCED11_1T8,_T,INST_EDU_PUB,CUR_LC,Q,USD_PPP,NATURE,2018,,K,6,0,2020,X7
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_NATURE_STAFF(3.1),IND,EXP,ISCED11_1T8,_T,INST_EDU_PUB,CUR_LC,Q,USD_PPP,NATURE,2019,,K,6,0,2020,X7
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_NATURE_STAFF(3.1),IND,EXP,ISCED11_1T8,_T,INST_EDU_PUB,CUR_LC,Q,USD_PPP,NATURE,2020,,K,6,0,2020,X7
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_NATURE_STAFF(3.1),IND,EXP,ISCED11_1T8,_T,INST_EDU_PUB,CUR_LC,Q,USD_PPP,NATURE,2021,,K,6,0,2020,X7
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_NATURE_STAFF(3.1),SAU,EXP,ISCED11_1T8,_T,INST_EDU_PUB,CUR_LC,Q,USD_PPP,NATURE,2015,,K,6,0,2020,X7
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_NATURE_STAFF(3.1),SAU,EXP,ISCED11_1T8,_T,INST_EDU_PUB,CUR_LC,Q,USD_PPP,NATURE,2016,,K,6,0,2020,X7
OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_NATURE_STAFF(3.1),SAU,EXP,ISCED11_1T8,_T,INST_EDU_PUB,CUR_LC,Q,USD_PPP,NATURE,2017,,K,6,0,2020,X7
