year,public_pct_gdp_owid,public_pct_govexp_owid,state_pct_gdp,parents_private_pct_gdp,total_pct_gdp,state_share_of_total_pct,parents_private_share_of_total_pct,state_usd_ppp,parents_private_usd_ppp,total_usd_ppp,siope_school_expenditure_eur,siope_school_count,siope_series_note
1913,0.6,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1937,1.6,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1960,3.6,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1970,3.37,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1971,2.9,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1974,3.84,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1975,3.71,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1976,3.92,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1978,3.78,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1979,4.16,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1980,4.4,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1983,4.49,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1984,4.77,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1985,4.69,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1986,4.65,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1988,4.59,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1993,4.73,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1994,4.43,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1995,4.32,8.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1996,4.45,8.73,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1997,4.45,9.02,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1998,4.45,9.22,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
1999,4.51,9.39,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2000,4.29,9.32,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2001,4.65,9.34,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2002,4.43,9.51,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2003,4.54,9.64,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2004,4.39,9.22,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2005,4.24,9.41,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2006,4.53,9.15,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2007,4.11,9.45,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2008,4.39,8.96,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2009,4.52,8.86,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2010,4.33,8.71,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2011,4.12,8.26,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2012,4.06,8.02,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2013,4.14,8.02,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2014,4.06,7.94,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2015,4.07,7.94,3.33,0.48,3.91,85.18,12.33,92599.93,13408.18,108711.37,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2016,3.82,7.86,3.11,0.45,3.6,86.36,12.56,87609.63,12744.09,101444.7,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2017,4.04,7.92,3.31,0.47,3.83,86.32,12.36,94722.08,13564.1,109731.03,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2018,4.26,8.11,3.47,0.57,4.08,85.07,13.91,100214.1,16383.61,117804.85,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2019,4.1,8.05,3.3,0.51,3.83,86.07,13.33,95631.48,14806.21,111110.42,21471980.05,77.0,àNàoàtà àSàpàeàcàiàfàiàeàdà à/à àAàgàgàràeàgàaàtàeà
2020,4.44,7.49,3.62,0.51,4.16,86.85,12.33,95494.41,13558.47,109955.76,21471980.05,77.0,àaànànàuàaàlà àtàoàtàaàlà
2021,4.22,7.44,3.42,0.51,4.0,85.35,12.83,98322.42,14777.25,115205.72,41571286.33,81.0,àaànànàuàaàlà àtàoàtàaàlà
2022,3.96,7.44,3.33,0.49,3.87,85.91,12.68,100290.65,14807.54,116740.98,51995014.12,105.0,àaànànàuàaàlà àtàoàtàaàlà
2023,3.96,7.44,3.33,0.49,3.87,85.91,12.68,100290.65,14807.54,116740.98,125062393.8,388.0,àaànànàuàaàlà àtàoàtàaàlà
2024,3.96,7.44,3.33,0.49,3.87,85.91,12.68,100290.65,14807.54,116740.98,357022745.42,2138.0,àaànànàuàaàlà àtàoàtàaàlà
2025,3.96,7.44,3.33,0.49,3.87,85.91,12.68,100290.65,14807.54,116740.98,658393461.13,3267.0,àaànànàuàaàlà àtàoàtàaàlà
2026,3.96,7.44,3.33,0.49,3.87,85.91,12.68,100290.65,14807.54,116740.98,274015585.68,1903.0,àiànà-àyàeàaàrà à/à àpàaàràtàiàaàlà
