iso3,year,indicator_code,value_standardized,unit_standardized,source_org,source_dataset,last_verified_utc
àIàTàAà,2024,ànàeàeàtà_à1à5à_à2à9à_àpàcàtà,16.1,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àtàeàsàpàmà0à8à0à)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àIàTàAà,2024,àeàaàràlàyà_àsàcàhàoàoàlà_àlàeàaàvàeàràsà_àpàcàtà,10.5,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àtàeàsàpàmà0à7à0à)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àIàTàAà,2024,àaàdàuàlàtà_àlàeàaàrànàiànàgà_àpàaàràtàiàcàiàpàaàtàiàoànà_àpàcàtà,9.6,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àtàrànàgà_àlàfàsà_à0à1à)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àIàTàAà,2024,àaàràoàpàeà_àpàoàvàeàràtàyà_àeàxàcàlàuàsàiàoànà_àràiàsàkà_àpàcàtà,22.8,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àiàlàcà_àpàeàpàsà0à1ànà)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àDàEàUà,2024,ànàeàeàtà_à1à5à_à2à9à_àpàcàtà,8.8,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àtàeàsàpàmà0à8à0à)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àDàEàUà,2024,àeàaàràlàyà_àsàcàhàoàoàlà_àlàeàaàvàeàràsà_àpàcàtà,12.8,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àtàeàsàpàmà0à7à0à)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àDàEàUà,2024,àaàdàuàlàtà_àlàeàaàrànàiànàgà_àpàaàràtàiàcàiàpàaàtàiàoànà_àpàcàtà,8.1,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àtàrànàgà_àlàfàsà_à0à1à)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àDàEàUà,2024,àaàràoàpàeà_àpàoàvàeàràtàyà_àeàxàcàlàuàsàiàoànà_àràiàsàkà_àpàcàtà,21.2,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àiàlàcà_àpàeàpàsà0à1ànà)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àFàRàAà,2024,ànàeàeàtà_à1à5à_à2à9à_àpàcàtà,12.3,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àtàeàsàpàmà0à8à0à)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àFàRàAà,2024,àeàaàràlàyà_àsàcàhàoàoàlà_àlàeàaàvàeàràsà_àpàcàtà,8.5,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àtàeàsàpàmà0à7à0à)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àFàRàAà,2024,àaàdàuàlàtà_àlàeàaàrànàiànàgà_àpàaàràtàiàcàiàpàaàtàiàoànà_àpàcàtà,18.2,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àtàrànàgà_àlàfàsà_à0à1à)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àFàRàAà,2024,àaàràoàpàeà_àpàoàvàeàràtàyà_àeàxàcàlàuàsàiàoànà_àràiàsàkà_àpàcàtà,20.4,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àiàlàcà_àpàeàpàsà0à1ànà)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àEàSàPà,2024,ànàeàeàtà_à1à5à_à2à9à_àpàcàtà,12.3,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àtàeàsàpàmà0à8à0à)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àEàSàPà,2024,àeàaàràlàyà_àsàcàhàoàoàlà_àlàeàaàvàeàràsà_àpàcàtà,13.7,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àtàeàsàpàmà0à7à0à)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àEàSàPà,2024,àaàdàuàlàtà_àlàeàaàrànàiànàgà_àpàaàràtàiàcàiàpàaàtàiàoànà_àpàcàtà,15.3,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àtàrànàgà_àlàfàsà_à0à1à)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àEàSàPà,2024,àaàràoàpàeà_àpàoàvàeàràtàyà_àeàxàcàlàuàsàiàoànà_àràiàsàkà_àpàcàtà,26.5,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àiàlàcà_àpàeàpàsà0à1ànà)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àEàUà2à7à,2024,ànàeàeàtà_à1à5à_à2à9à_àpàcàtà,11.2,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àtàeàsàpàmà0à8à0à)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àEàUà2à7à,2024,àeàaàràlàyà_àsàcàhàoàoàlà_àlàeàaàvàeàràsà_àpàcàtà,9.5,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àtàeàsàpàmà0à7à0à)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àEàUà2à7à,2024,àaàdàuàlàtà_àlàeàaàrànàiànàgà_àpàaàràtàiàcàiàpàaàtàiàoànà_àpàcàtà,12.7,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àtàrànàgà_àlàfàsà_à0à1à)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
àEàUà2à7à,2024,àaàràoàpàeà_àpàoàvàeàràtàyà_àeàxàcàlàuàsàiàoànà_àràiàsàkà_àpàcàtà,21.4,àpàcàtà_àpàoàpà,àEàuàràoàsàtàaàtà à(àiàlàcà_àpàeàpàsà0à1ànà)à,àSàoàcàiàaàlà àSàcàoàràeàbàoàaàràdà,à2à0à2à6à-à0à7à-à0à9àTà1à5à:à1à0à:à1à5àZà
