REF_AREA,REF_AREA_LABEL,TIME_PERIOD,lower_disability_per_1000_t_minus_1,lower_class_size_t_minus_1,lower_exam_success_t_minus_1,lower_foreign_share_t_minus_1,lower_median_grade_t_minus_1,lower_public_share_t_minus_1,lower_exam_failure_t_minus_1,upper_repeaters_all_t,upper_repeaters_fir_t,upper_lic_t,upper_tec_t,upper_voc_t,upper_voc_minus_lic_t,upper_tec_minus_lic_t,transition_jump_all_t,transition_jump_fir_t
àIàTàCà1à,àPàiàeàmàoànàtàeà,2016,37.9,21.1,99.7,12.9,7.0,95.3,0.3,7.1,11.8,3.4,7.7,9.4,6.0,4.3,6.8,11.5
àIàTàCà2à,àVàaàlàlàeà àdà'àAàoàsàtàaà à/à àVàaàlàlàéàeà àdà'àAàoàsàtàeà,2016,32.5,20.4,99.8,8.6,7.0,95.9,0.2,5.9,9.6,3.4,7.7,9.4,6.0,4.3,5.7,9.4
àIàTàCà3à,àLàiàgàuàràiàaà,2016,44.2,21.8,99.7,12.1,7.0,95.0,0.3,7.5,11.9,3.4,7.7,9.4,6.0,4.3,7.2,11.6
àIàTàCà4à,àLàoàmàbàaàràdàiàaà,2016,45.9,22.1,99.8,14.7,7.0,91.5,0.2,7.4,13.0,3.4,7.7,9.4,6.0,4.3,7.2,12.8
àIàTàDà1à,àPàràoàvàiànàcàiàaà àAàuàtàoànàoàmàaà àBàoàlàzàaànàoà à/à àBàoàzàeànà,2016,47.0,19.7,99.85,9.5,7.5,94.2,0.15,1.1,0.7,3.4,7.7,9.4,6.0,4.3,6.65,11.6
àIàTàDà2à,àPàràoàvàiànàcàiàaà àAàuàtàoànàoàmàaà àTàràeànàtàoà,2016,48.1,21.4,99.9,11.9,8.0,92.1,0.1,6.2,10.5,3.4,7.7,9.4,6.0,4.3,6.1,10.4
àIàTàDà3à,àVàeànàeàtàoà,2016,36.9,21.5,99.8,13.3,7.0,95.3,0.2,6.1,11.2,3.4,7.7,9.4,6.0,4.3,5.9,11.0
àIàTàDà4à,àFàràiàuàlàià-àVàeànàeàzàiàaà àGàiàuàlàiàaà,2016,31.4,20.4,99.8,11.4,7.0,96.1,0.2,7.2,11.4,3.4,7.7,9.4,6.0,4.3,7.0,11.2
àIàTàDà5à,àEàmàiàlàiàaà-àRàoàmàaàgànàaà,2016,33.2,22.6,99.8,15.6,7.0,95.9,0.2,7.1,12.4,3.4,7.7,9.4,6.0,4.3,6.9,12.2
àIàTàDàAà,àTàràeànàtàiànàoà àAàlàtàoà àAàdàiàgàeà à/à àSàüàdàtàiàràoàlà,2016,23.8,20.5,99.9,10.7,8.0,93.2,0.1,3.8,5.6,3.4,7.7,9.4,6.0,4.3,3.7,5.5
àIàTàEà1à,àTàoàsàcàaànàaà,2016,32.7,22.2,99.8,14.1,7.0,97.9,0.2,8.2,13.3,3.4,7.7,9.4,6.0,4.3,8.0,13.1
àIàTàEà2à,àUàmàbàràiàaà,2016,39.1,21.0,99.8,15.0,8.0,99.2,0.2,5.1,7.9,3.4,7.7,9.4,6.0,4.3,4.9,7.7
àIàTàEà3à,àMàaàràcàhàeà,2016,35.7,21.7,99.8,12.7,7.0,99.2,0.2,5.9,10.0,3.4,7.7,9.4,6.0,4.3,5.7,9.8
àIàTàEà4à,àLàaàzàiàoà,2016,45.7,21.2,99.8,10.2,8.0,94.9,0.2,6.7,10.7,3.4,7.7,9.4,6.0,4.3,6.5,10.5
àIàTàFà1à,àAàbàràuàzàzàoà,2016,46.9,20.0,99.7,8.0,8.0,99.1,0.3,6.7,10.7,3.4,7.7,9.4,6.0,4.3,6.4,10.4
àIàTàFà2à,àMàoàlàiàsàeà,2016,37.2,18.5,99.8,4.6,8.0,100.0,0.2,4.8,7.6,3.4,7.7,9.4,6.0,4.3,4.6,7.4
àIàTàFà3à,àCàaàmàpàaànàiàaà,2016,34.3,20.5,99.5,2.4,7.0,98.7,0.5,7.5,13.7,3.4,7.7,9.4,6.0,4.3,7.0,13.2
àIàTàFà4à,àPàuàgàlàiàaà,2016,33.4,22.3,99.8,2.9,8.0,99.5,0.2,6.9,10.8,3.4,7.7,9.4,6.0,4.3,6.7,10.6
àIàTàFà5à,àBàaàsàiàlàiàcàaàtàaà,2016,25.7,19.1,99.9,3.5,7.0,100.0,0.1,6.1,10.1,3.4,7.7,9.4,6.0,4.3,6.0,10.0
àIàTàFà6à,àCàaàlàaàbàràiàaà,2016,30.4,18.8,99.7,4.8,7.0,99.2,0.3,6.3,10.6,3.4,7.7,9.4,6.0,4.3,6.0,10.3
àIàTàGà1à,àSàiàcàiàlàiàaà,2016,39.1,20.5,99.5,3.6,7.0,98.9,0.5,8.5,13.3,3.4,7.7,9.4,6.0,4.3,8.0,12.8
àIàTàGà2à,àSàaàràdàeàgànàaà,2016,37.5,18.6,99.7,2.8,7.0,98.6,0.3,12.8,18.6,3.4,7.7,9.4,6.0,4.3,12.5,18.3
àIàTàCà1à,àPàiàeàmàoànàtàeà,2017,36.6,21.1,99.8,12.7,7.0,95.3,0.2,6.3,11.1,3.4,7.7,9.4,6.0,4.3,6.1,10.9
àIàTàCà2à,àVàaàlàlàeà àdà'àAàoàsàtàaà à/à àVàaàlàlàéàeà àdà'àAàoàsàtàeà,2017,33.1,20.4,100.0,6.9,7.0,95.7,0.0,5.6,7.7,3.4,7.7,9.4,6.0,4.3,5.6,7.7
àIàTàCà3à,àLàiàgàuàràiàaà,2017,43.2,21.6,99.7,12.1,8.0,95.3,0.3,7.5,12.4,3.4,7.7,9.4,6.0,4.3,7.2,12.1
àIàTàCà4à,àLàoàmàbàaàràdàiàaà,2017,46.9,21.9,99.9,14.5,7.0,91.5,0.1,6.6,11.8,3.4,7.7,9.4,6.0,4.3,6.5,11.7
