REGIONE,LICEO,PROFESSIONALE,PROFESSIONALE IeFP,TECNICO,TOTAL,LICEO_share_pct,PROFESSIONALE_share_pct,PROFESSIONALE IeFP_share_pct,TECNICO_share_pct
àAàBàRàUàZàZàOà,32212.0,5714.0,355.0,15662.0,53943.0,59.71,10.59,0.66,29.03
àBàAàSàIàLàIàCàAàTàAà,13667.0,4546.0,0.0,7400.0,25613.0,53.36,17.75,0.0,28.89
àCàAàLàAàBàRàIàAà,44834.0,14533.0,0.0,27941.0,87308.0,51.35,16.65,0.0,32.0
àCàAàMàPàAàNàIàAà,155825.0,49853.0,306.0,77616.0,283600.0,54.95,17.58,0.11,27.37
àEàMàIàLàIàAà àRàOàMàAàGàNàAà,86363.0,41436.0,556.0,69580.0,197935.0,43.63,20.93,0.28,35.15
àFàRàIàUàLàIà-àVàEàNàEàZàIàAà àGà.à,22871.0,6286.0,254.0,17389.0,46800.0,48.87,13.43,0.54,37.16
àLàAàZàIàOà,155047.0,22245.0,0.0,56477.0,233769.0,66.32,9.52,0.0,24.16
àLàIàGàUàRàIàAà,30989.0,10382.0,222.0,16611.0,58204.0,53.24,17.84,0.38,28.54
àLàOàMàBàAàRàDàIàAà,176586.0,57934.0,5350.0,133430.0,373300.0,47.3,15.52,1.43,35.74
àMàAàRàCàHàEà,36202.0,12611.0,306.0,21591.0,70710.0,51.2,17.83,0.43,30.53
àMàOàLàIàSàEà,7014.0,1772.0,0.0,3601.0,12387.0,56.62,14.31,0.0,29.07
àPàIàEàMàOàNàTàEà,84502.0,28811.0,39.0,58377.0,171729.0,49.21,16.78,0.02,33.99
àPàUàGàLàIàAà,92072.0,30321.0,0.0,53889.0,176282.0,52.23,17.2,0.0,30.57
àSàAàRàDàEàGàNàAà,35521.0,10618.0,0.0,20743.0,66882.0,53.11,15.88,0.0,31.01
àSàIàCàIàLàIàAà,118323.0,31999.0,865.0,58347.0,209534.0,56.47,15.27,0.41,27.85
àTàOàSàCàAàNàAà,84105.0,28273.0,2339.0,48450.0,163167.0,51.55,17.33,1.43,29.69
àUàMàBàRàIàAà,21856.0,6152.0,0.0,11345.0,39353.0,55.54,15.63,0.0,28.83
àVàEàNàEàTàOà,85459.0,35732.0,1057.0,75320.0,197568.0,43.26,18.09,0.54,38.12
