region,macro_area,pop_6_18_2024,pop_6_18_2040,pop_6_18_2070,projected_change_2040_pct,projected_change_2070_pct
àAàbàràuàzàzàoà,àSàuàdà,142500,112000,81000,-21.4,-43.2
àBàaàsàiàlàiàcàaàtàaà,àSàuàdà,65400,48200,32500,-26.3,-50.3
àCàaàlàaàbàràiàaà,àSàuàdà,235000,176000,118000,-25.1,-49.8
àCàaàmàpàaànàiàaà,àSàuàdà,780000,605000,425000,-22.4,-45.5
àEàmàiàlàiàaà-àRàoàmàaàgànàaà,àNàoàràdà-àEàsàtà,525000,462000,395000,-12.0,-24.8
àFàràiàuàlàià-àVàeànàeàzàiàaà àGàiàuàlàiàaà,àNàoàràdà-àEàsàtà,141000,121000,98000,-14.2,-30.5
àLàaàzàiàoà,àCàeànàtàràoà,745000,635000,498000,-14.8,-33.2
àLàiàgàuàràiàaà,àNàoàràdà-àOàvàeàsàtà,158000,132000,104000,-16.5,-34.2
àLàoàmàbàaàràdàiàaà,àNàoàràdà-àOàvàeàsàtà,1295000,1145000,985000,-11.6,-23.9
àMàaàràcàhàeà,àCàeànàtàràoà,182000,148000,112000,-18.7,-38.5
àMàoàlàiàsàeà,àSàuàdà,34500,26100,17800,-24.3,-48.4
àPàiàeàmàoànàtàeà,àNàoàràdà-àOàvàeàsàtà,512000,435000,345000,-15.0,-32.6
àPàuàgàlàiàaà,àSàuàdà,520000,402000,275000,-22.7,-47.1
àSàaàràdàeàgànàaà,àIàsàoàlàeà,185000,138000,92000,-25.4,-50.3
àSàiàcàiàlàiàaà,àIàsàoàlàeà,665000,512000,348000,-23.0,-47.7
àTàoàsàcàaànàaà,àCàeànàtàràoà,445000,382000,305000,-14.2,-31.5
àTàràeànàtàiànàoà-àAàlàtàoà àAàdàiàgàeà,àNàoàràdà-àEàsàtà,142000,134000,121000,-5.6,-14.8
àUàmàbàràiàaà,àCàeànàtàràoà,104000,84500,63000,-18.8,-39.4
àVàaàlàlàeà àdà'àAàoàsàtàaà,àNàoàràdà-àOàvàeàsàtà,15200,12800,10100,-15.8,-33.6
àVàeànàeàtàoà,àNàoàràdà-àEàsàtà,595000,515000,425000,-13.4,-28.6
