"path","exists_now","in_main","category"
"local_data/eurostat/estat_early_school_leavers_detail.csv","True","True","restored_also_in_main"
"local_data/eurostat/estat_educ_expenditure_by_source.csv","True","True","restored_also_in_main"
"local_data/eurostat/estat_educ_expenditure_pct_gdp.csv","True","True","restored_also_in_main"
"local_data/eurostat/estat_neet_by_nationality.csv","True","True","restored_also_in_main"
"local_data/eurostat/estat_neet_by_sex_summary.csv","True","True","restored_also_in_main"
"local_data/eurostat/estat_neet_detail.csv","True","True","restored_also_in_main"
"local_data/eurostat/estat_neet_sdg_all_countries.csv","True","True","restored_also_in_main"
"local_data/eurostat/estat_neet_tips_indicator.csv","True","True","restored_also_in_main"
"local_data/eurostat/estat_tertiary_attainment_30_34.csv","True","True","restored_also_in_main"
"local_data/eurostat/estat_training_by_citizenship.csv","True","True","restored_also_in_main"
"local_data/eurostat/estat_training_by_labour_status.csv","True","True","restored_also_in_main"
"local_data/eurostat/estat_unemployment_by_education.csv","True","True","restored_also_in_main"
"local_data/eurostat/estat_unemployment_by_education_age.csv","True","True","restored_also_in_main"
"local_data/eurostat/estat_upper_secondary_attainment.csv","True","True","restored_also_in_main"
"local_data/eurostat/estat_youth_unemployment_rate.csv","True","True","restored_also_in_main"
"local_data/eurostat/eurostat_broadband_access_nuts2.csv","True","True","restored_also_in_main"
"local_data/eurostat/eurostat_esl_by_migration.csv","True","True","restored_also_in_main"
"local_data/eurostat/eurostat_grade_retention.csv","True","True","restored_also_in_main"
"local_data/eurostat/eurostat_homeownership_by_age.csv","True","True","restored_also_in_main"
"local_data/eurostat/eurostat_institutional_trust.csv","True","True","restored_also_in_main"
"local_data/eurostat/eurostat_life_satisfaction.csv","True","True","restored_also_in_main"
"local_data/eurostat/eurostat_neet_by_migration.csv","True","True","restored_also_in_main"
"local_data/eurostat/eurostat_poverty_single_household.csv","True","True","restored_also_in_main"
"local_data/eurostat/eurostat_self_reported_health.csv","True","True","restored_also_in_main"
"local_data/eurostat/eurostat_social_support_gap.csv","True","True","restored_also_in_main"
"local_data/eurostat/eurostat_tertiary_field_distribution.csv","True","True","restored_also_in_main"
"local_data/eurostat/eurostat_unmet_healthcare_needs.csv","True","True","restored_also_in_main"
"local_data/eurostat/eurostat_wellbeing_by_age.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2022-2023-grado-2-grado-5-grado-10__differenza_wle_ms2023.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2022-2023-grado-2-grado-5-grado-10__livelli_fasce_percentili_sig_variabilita_ms2023.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2022-2023-grado-2-grado-5-grado-10__livelli_fasce_percentili_sig_variabilita_ms2023-2.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2022-2023-grado-2-grado-5-grado-10__tracciato___differenza_wle_ms2023.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2022-2023-grado-2-grado-5-grado-10__tracciato___traguardi_ms2023.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2023-2024-grado-2-grado-5-grado-10-2__livelli_fasce_percentili_sig_variabilita_ms2024.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2023-2024-grado-2-grado-5-grado-10-2__wle_genere_origine_qescs_g02-g05-g10_ms2024.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2023-2024-grado-8-grado-13__trend_traguardi_ms2024-dati-pop-g08-e-g13-2.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2023-2024-grado-8-grado-13__wle_genere_origine_qescs_g08-g13_ms2024.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-2-grado-5-grado-10__differenza_wle_ms2025.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-2-grado-5-grado-10__differenza_wle_ms2025-2.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-2-grado-5-grado-10__digicomp_trag-macro_ms2025.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-2-grado-5-grado-10__livelli_fasce_percentili_sig_variabilita-ms2025.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-2-grado-5-grado-10__livelli_fasce_percentili_sig_variabilita-ms2025-2.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-2-grado-5-grado-10__tracciato__differenza_wle_ms2025.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-2-grado-5-grado-10__tracciato__livelli_fasce_percentili_sig_variabilita-ms2025.csv","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-2-grado-5-grado-10__tracciato__livelli_fasce_percentili_sig_variabilita-ms2025-2.xlsx","True","True","restored_also_in_main"
"local_data/INVALSI/dati-sottostanti-le-dashboard-di-tableau-del-rapporto-2024-2025-grado-2-grado-5-grado-10__tracciato__traguardi_ms2025.csv","True","True","restored_also_in_main"
