AnnoA;Imm_Md;Imm_Fd;Imm_D;fonte dati
2024/2025;9460;10326;19786;Anagrafe Nazionale degli Studenti universitari (ANS) -ottobre 2025
2023/2024;7548;9059;16607;Anagrafe Nazionale degli Studenti universitari (ANS) -ottobre 2025
2022/2023;6783;8078;14861;Anagrafe Nazionale degli Studenti universitari (ANS) -ottobre 2025
2021/2022;5493;6415;11908;Anagrafe Nazionale degli Studenti universitari (ANS) -ottobre 2025
2020/2021;4576;5134;9710;Anagrafe Nazionale degli Studenti universitari (ANS) -ottobre 2025
2019/2020;4537;4995;9532;Anagrafe Nazionale degli Studenti universitari (ANS) -ottobre 2025
2018/2019;3964;4540;8504;Anagrafe Nazionale degli Studenti universitari (ANS) -ottobre 2025
2017/2018;3752;4341;8093;Anagrafe Nazionale degli Studenti universitari (ANS) -ottobre 2025
2016/2017;3384;3973;7357;Anagrafe Nazionale degli Studenti universitari (ANS) -ottobre 2025
2015/2016;3101;3693;6794;Anagrafe Nazionale degli Studenti universitari (ANS) -ottobre 2025
2014/2015;2923;3418;6341;Anagrafe Nazionale degli Studenti universitari (ANS) -ottobre 2025
2013/2014;3061;3825;6886;Anagrafe Nazionale degli Studenti universitari (ANS) -ottobre 2025
2012/2013;3100;4256;7356;Anagrafe Nazionale degli Studenti universitari (ANS) -ottobre 2025
2011/2012;3544;4390;7934;Anagrafe Nazionale degli Studenti universitari (ANS) -ottobre 2025
2010/2011;3544;4665;8209;Anagrafe Nazionale degli Studenti universitari (ANS) -ottobre 2025
2009/2010;3654;4780;8434;Anagrafe Nazionale degli Studenti universitari (ANS) -ottobre 2025
