ANNO_ACCADEMICO;DES;CLASSE_RIF;ID_SESSO;Immatricolati
2024/2025;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;F;82
2024/2025;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;M;42
2024/2025;Beni culturali;L-1;F;123
2024/2025;Beni culturali;L-1;M;75
2024/2025;Biotecnologie;L-2;F;200
2024/2025;Biotecnologie;L-2;M;140
2024/2025;Conservazione e restauro dei beni culturali;LMR/02;F;1
2024/2025;Diagnostica per la conservazione dei beni culturali;L-43;F;3
2024/2025;Diagnostica per la conservazione dei beni culturali;L-43;M;2
2024/2025;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;F;169
2024/2025;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;M;124
2024/2025;Disegno industriale;L-4;F;108
2024/2025;Disegno industriale;L-4;M;27
2024/2025;Farmacia e farmacia industriale;LM-13;F;301
2024/2025;Farmacia e farmacia industriale;LM-13;M;90
2024/2025;Filosofia;L-5;F;45
2024/2025;Filosofia;L-5;M;38
2024/2025;Geografia;L-6;M;4
2024/2025;Ingegneria civile e ambientale;L-7;F;150
2024/2025;Ingegneria civile e ambientale;L-7;M;266
2024/2025;Ingegneria dell'informazione;L-8;F;424
2024/2025;Ingegneria dell'informazione;L-8;M;1016
2024/2025;Ingegneria industriale;L-9;F;331
2024/2025;Ingegneria industriale;L-9;M;814
2024/2025;Lettere;L-10;F;265
2024/2025;Lettere;L-10;M;284
2024/2025;Lingue e culture moderne;L-11;F;250
2024/2025;Lingue e culture moderne;L-11;M;107
2024/2025;Magistrali in giurisprudenza;LMG/01;F;178
2024/2025;Magistrali in giurisprudenza;LMG/01;M;101
2024/2025;Mediazione linguistica;L-12;F;147
2024/2025;Mediazione linguistica;L-12;M;70
2024/2025;Medicina e chirurgia;LM-41;F;991
2024/2025;Medicina e chirurgia;LM-41;M;687
2024/2025;Medicina veterinaria;LM-42;F;39
2024/2025;Medicina veterinaria;LM-42;M;13
2024/2025;Odontoiatria e protesi dentaria;LM-46;F;74
2024/2025;Odontoiatria e protesi dentaria;LM-46;M;43
2024/2025;Professioni sanitarie della prevenzione;L/SNT4;F;3
2024/2025;Professioni sanitarie della prevenzione;L/SNT4;M;2
2024/2025;Professioni sanitarie della riabilitazione;L/SNT2;F;29
2024/2025;Professioni sanitarie della riabilitazione;L/SNT2;M;20
2024/2025;Professioni sanitarie tecniche;L/SNT3;F;52
2024/2025;Professioni sanitarie tecniche;L/SNT3;M;24
2024/2025;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;F;508
2024/2025;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;M;111
2024/2025;Professioni tecniche agrarie, alimentari e forestali;L-P02;M;1
2024/2025;Professioni tecniche industriali e dell’informazione;L-P03;F;3
2024/2025;Professioni tecniche industriali e dell’informazione;L-P03;M;6
2024/2025;Professioni tecniche per l'edilizia e il territorio;L-P01;F;1
2024/2025;Professioni tecniche per l'edilizia e il territorio;L-P01;M;1
2024/2025;Scienze biologiche;L-13;F;128
2024/2025;Scienze biologiche;L-13;M;39
2024/2025;Scienze dei Materiali;L-Sc.Mat.;F;9
2024/2025;Scienze dei Materiali;L-Sc.Mat.;M;4
2024/2025;Scienze dei servizi giuridici;L-14;F;307
2024/2025;Scienze dei servizi giuridici;L-14;M;167
2024/2025;Scienze del Servizio sociale;L-39;M;1
2024/2025;Scienze del turismo;L-15;F;65
2024/2025;Scienze del turismo;L-15;M;73
2024/2025;Scienze della comunicazione;L-20;F;285
2024/2025;Scienze della comunicazione;L-20;M;131
2024/2025;Scienze della difesa e della sicurezza;L/DS;F;2
2024/2025;Scienze della difesa e della sicurezza;L/DS;M;18
2024/2025;Scienze della formazione primaria;LM-85 bis;F;20
2024/2025;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;F;11
2024/2025;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;M;10
2024/2025;Scienze dell'amministrazione e dell'organizzazione;L-16;F;119
2024/2025;Scienze dell'amministrazione e dell'organizzazione;L-16;M;77
2024/2025;Scienze dell'architettura;L-17;F;197
2024/2025;Scienze dell'architettura;L-17;M;113
2024/2025;Scienze delle attività motorie e sportive;L-22;F;27
2024/2025;Scienze delle attività motorie e sportive;L-22;M;66
2024/2025;Scienze dell'economia e della gestione aziendale;L-18;F;1586
2024/2025;Scienze dell'economia e della gestione aziendale;L-18;M;1640
2024/2025;Scienze dell'educazione e della formazione;L-19;F;150
2024/2025;Scienze dell'educazione e della formazione;L-19;M;25
2024/2025;Scienze e tecniche dell'edilizia;L-23;F;139
2024/2025;Scienze e tecniche dell'edilizia;L-23;M;168
2024/2025;Scienze e tecniche psicologiche;L-24;F;503
2024/2025;Scienze e tecniche psicologiche;L-24;M;146
2024/2025;Scienze e tecnologie agrarie e forestali;L-25;F;31
2024/2025;Scienze e tecnologie agrarie e forestali;L-25;M;39
2024/2025;Scienze e tecnologie alimentari;L-26;F;34
2024/2025;Scienze e tecnologie alimentari;L-26;M;21
2024/2025;Scienze e tecnologie chimiche;L-27;F;35
2024/2025;Scienze e tecnologie chimiche;L-27;M;18
2024/2025;Scienze e tecnologie della navigazione;L-28;F;6
2024/2025;Scienze e tecnologie della navigazione;L-28;M;23
2024/2025;Scienze e tecnologie farmaceutiche;L-29;F;47
2024/2025;Scienze e tecnologie farmaceutiche;L-29;M;7
2024/2025;Scienze e tecnologie fisiche;L-30;F;36
2024/2025;Scienze e tecnologie fisiche;L-30;M;31
2024/2025;Scienze e tecnologie informatiche;L-31;F;343
2024/2025;Scienze e tecnologie informatiche;L-31;M;812
2024/2025;Scienze e tecnologie per l'ambiente e la natura;L-32;F;54
2024/2025;Scienze e tecnologie per l'ambiente e la natura;L-32;M;34
2024/2025;Scienze economiche;L-33;F;658
2024/2025;Scienze economiche;L-33;M;819
2024/2025;Scienze geologiche;L-34;F;36
2024/2025;Scienze geologiche;L-34;M;44
2024/2025;Scienze matematiche;L-35;F;38
2024/2025;Scienze matematiche;L-35;M;62
2024/2025;Scienze politiche e delle relazioni internazionali;L-36;F;539
2024/2025;Scienze politiche e delle relazioni internazionali;L-36;M;362
2024/2025;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;F;18
2024/2025;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;M;13
2024/2025;Scienze zootecniche e tecnologie delle produzioni animali;L-38;F;27
2024/2025;Scienze zootecniche e tecnologie delle produzioni animali;L-38;M;4
2024/2025;Scienze, culture e politiche della gastronomia;L/GASTR;F;138
2024/2025;Scienze, culture e politiche della gastronomia;L/GASTR;M;217
2024/2025;Servizio sociale;L-39;F;27
2024/2025;Servizio sociale;L-39;M;6
2024/2025;Sociologia;L-40;F;13
2024/2025;Sociologia;L-40;M;3
2024/2025;Statistica;L-41;F;38
2024/2025;Statistica;L-41;M;83
2024/2025;Storia;L-42;F;183
2024/2025;Storia;L-42;M;76
2023/2024;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;F;91
2023/2024;Architettura e ingegneria edile-architettura (quinquennale);LM-4cu;M;36
2023/2024;Beni culturali;L-1;F;131
2023/2024;Beni culturali;L-1;M;36
2023/2024;Biotecnologie;L-2;F;116
2023/2024;Biotecnologie;L-2;M;51
2023/2024;Conservazione e restauro dei beni culturali;LMR/02;F;2
2023/2024;Diagnostica per la conservazione dei beni culturali;L-43;F;2
2023/2024;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;F;158
2023/2024;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;M;149
2023/2024;Disegno industriale;L-4;F;107
2023/2024;Disegno industriale;L-4;M;60
2023/2024;Farmacia e farmacia industriale;LM-13;F;275
2023/2024;Farmacia e farmacia industriale;LM-13;M;108
2023/2024;Filosofia;L-5;F;44
2023/2024;Filosofia;L-5;M;35
2023/2024;Geografia;L-6;F;4
2023/2024;Geografia;L-6;M;3
2023/2024;Ingegneria civile e ambientale;L-7;F;127
2023/2024;Ingegneria civile e ambientale;L-7;M;217
2023/2024;Ingegneria dell'informazione;L-8;F;248
2023/2024;Ingegneria dell'informazione;L-8;M;608
2023/2024;Ingegneria industriale;L-9;F;236
2023/2024;Ingegneria industriale;L-9;M;564
2023/2024;Lettere;L-10;F;133
2023/2024;Lettere;L-10;M;97
2023/2024;Lingue e culture moderne;L-11;F;378
2023/2024;Lingue e culture moderne;L-11;M;277
2023/2024;Magistrali in giurisprudenza;LMG/01;F;176
2023/2024;Magistrali in giurisprudenza;LMG/01;M;78
2023/2024;Mediazione linguistica;L-12;F;156
2023/2024;Mediazione linguistica;L-12;M;79
2023/2024;Medicina e chirurgia;LM-41;F;966
2023/2024;Medicina e chirurgia;LM-41;M;655
2023/2024;Medicina veterinaria;LM-42;F;35
2023/2024;Medicina veterinaria;LM-42;M;15
2023/2024;Odontoiatria e protesi dentaria;LM-46;F;66
2023/2024;Odontoiatria e protesi dentaria;LM-46;M;42
2023/2024;Professioni sanitarie della prevenzione;L/SNT4;F;10
2023/2024;Professioni sanitarie della prevenzione;L/SNT4;M;1
2023/2024;Professioni sanitarie della riabilitazione;L/SNT2;F;33
2023/2024;Professioni sanitarie della riabilitazione;L/SNT2;M;22
2023/2024;Professioni sanitarie tecniche;L/SNT3;F;63
2023/2024;Professioni sanitarie tecniche;L/SNT3;M;39
2023/2024;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;F;444
2023/2024;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;M;123
2023/2024;Professioni tecniche agrarie, alimentari e forestali;L-P02;F;4
2023/2024;Professioni tecniche agrarie, alimentari e forestali;L-P02;M;5
2023/2024;Professioni tecniche industriali e dell’informazione;L-P03;F;1
2023/2024;Professioni tecniche industriali e dell’informazione;L-P03;M;2
2023/2024;Professioni tecniche per l'edilizia e il territorio;L-P01;M;3
2023/2024;Scienze biologiche;L-13;F;119
2023/2024;Scienze biologiche;L-13;M;47
2023/2024;Scienze dei Materiali;L-Sc.Mat.;M;2
2023/2024;Scienze dei servizi giuridici;L-14;F;226
2023/2024;Scienze dei servizi giuridici;L-14;M;174
2023/2024;Scienze del turismo;L-15;F;86
2023/2024;Scienze del turismo;L-15;M;88
2023/2024;Scienze della comunicazione;L-20;F;273
2023/2024;Scienze della comunicazione;L-20;M;104
2023/2024;Scienze della difesa e della sicurezza;L/DS;F;2
2023/2024;Scienze della difesa e della sicurezza;L/DS;M;13
2023/2024;Scienze della formazione primaria;LM-85 bis;F;15
2023/2024;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;F;18
2023/2024;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;M;10
2023/2024;Scienze dell'amministrazione e dell'organizzazione;L-16;F;63
2023/2024;Scienze dell'amministrazione e dell'organizzazione;L-16;M;28
2023/2024;Scienze dell'architettura;L-17;F;203
2023/2024;Scienze dell'architettura;L-17;M;111
