AnnoS;AteneoNOME;AteneoCOD;Nome Gruppo Disciplinare;RegioneSedeDiploma;Lau
2017;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;BASILICATA;18
2017;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CALABRIA;5
2017;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CAMPANIA;10
2017;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LAZIO;3
2017;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LIGURIA;1
2017;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LOMBARDIA;2
2017;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;PUGLIA;309
2017;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE NON FORNITA;2
2017;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;SICILIA;8
2017;Basilicata;7601;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;BASILICATA;63
2017;Basilicata;7601;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CAMPANIA;32
2017;Basilicata;7601;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;PUGLIA;7
2017;Basilicata;7601;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE ESTERA;4
2017;Basilicata;7601;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;SICILIA;1
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;ABRUZZO;13
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;BASILICATA;8
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CALABRIA;10
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CAMPANIA;18
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;EMILIA ROMAGNA;450
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;FRIULI VENEZIA GIULIA;12
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LAZIO;20
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LIGURIA;3
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LOMBARDIA;30
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;MARCHE;42
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;MOLISE;3
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;PIEMONTE;7
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Provincia autonoma di BOLZANO;7
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Provincia autonoma di TRENTO;12
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;PUGLIA;44
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE ESTERA;14
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE NON FORNITA;17
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;SARDEGNA;9
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;SICILIA;30
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;TOSCANA;27
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;UMBRIA;1
2017;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;VENETO;57
2017;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LOMBARDIA;3
2017;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Provincia autonoma di BOLZANO;19
2017;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Provincia autonoma di TRENTO;2
2017;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE ESTERA;9
2017;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;VENETO;2
2017;Bra Scienze Gastronomiche;401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CAMPANIA;1
2017;Bra Scienze Gastronomiche;401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;EMILIA ROMAGNA;4
2017;Bra Scienze Gastronomiche;401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LAZIO;4
2017;Bra Scienze Gastronomiche;401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LIGURIA;1
2017;Bra Scienze Gastronomiche;401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LOMBARDIA;12
2017;Bra Scienze Gastronomiche;401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;PIEMONTE;19
2017;Bra Scienze Gastronomiche;401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Provincia autonoma di BOLZANO;1
2017;Bra Scienze Gastronomiche;401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;PUGLIA;1
2017;Bra Scienze Gastronomiche;401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE ESTERA;15
2017;Bra Scienze Gastronomiche;401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE NON FORNITA;6
2017;Bra Scienze Gastronomiche;401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;SARDEGNA;1
