AnnoA;Diploma_Voto;Sesso;Imm
2009/2010;61;M;1787
2009/2010;75;M;4904
2009/2010;67;F;3272
2009/2010;72;F;5545
2009/2010;60;F;8703
2009/2010;87;M;1785
2009/2010;98;F;2586
2009/2010;63;M;2792
2009/2010;62;F;3948
2009/2010;93;F;1976
2009/2010;100;F;14484
2009/2010;101;M;945
2009/2010;81;F;2922
2009/2010;74;F;4372
2009/2010;82;M;3421
2009/2010;998;M;2754
2009/2010;70;M;8099
2009/2010;84;F;4123
2009/2010;92;M;1512
2009/2010;998;F;3473
2009/2010;80;M;6478
2009/2010;79;F;1661
2009/2010;999;M;975
2009/2010;94;M;1131
2009/2010;68;M;4761
2009/2010;91;F;1644
2009/2010;86;F;3494
2009/2010;66;M;3223
2009/2010;96;F;1867
2009/2010;85;M;2749
2009/2010;77;F;3925
2009/2010;65;F;3924
2009/2010;99;M;226
2009/2010;73;M;3009
2009/2010;78;F;5664
2009/2010;86;M;2008
2009/2010;98;M;1306
2009/2010;64;F;3136
2009/2010;97;F;1650
2009/2010;67;M;3235
2009/2010;999;F;1510
2009/2010;100;M;7883
2009/2010;73;F;3858
2009/2010;74;M;3672
2009/2010;99;F;336
2009/2010;83;M;2441
2009/2010;92;F;2581
2009/2010;85;F;4447
2009/2010;62;M;4673
2009/2010;93;M;1065
2009/2010;66;F;3142
2009/2010;81;M;1974
2009/2010;71;F;2596
2009/2010;79;M;1196
2009/2010;95;F;2339
2009/2010;72;M;4948
2009/2010;60;M;11237
2009/2010;90;F;4202
2009/2010;102;F;37
2009/2010;96;M;1029
2009/2010;88;F;3125
2009/2010;69;F;1355
2009/2010;83;F;3671
2009/2010;84;M;2658
2009/2010;89;M;763
2009/2010;76;F;4598
2009/2010;91;M;892
2009/2010;77;M;2873
2009/2010;65;M;4469
2009/2010;101;F;1489
2009/2010;78;M;4125
2009/2010;69;M;1369
2009/2010;70;F;8565
2009/2010;97;M;970
2009/2010;71;M;2198
2009/2010;82;F;5292
2009/2010;90;M;2322
2009/2010;89;F;1465
2009/2010;63;F;2379
2009/2010;87;F;3029
2009/2010;88;M;1610
2009/2010;94;F;2053
2009/2010;102;M;42
2009/2010;68;F;4748
2009/2010;76;M;3524
2009/2010;80;F;9333
2009/2010;64;M;3600
2009/2010;61;F;1516
2009/2010;95;M;1366
2009/2010;997;M;1
2009/2010;75;F;5861
2010/2011;75;F;5855
2010/2011;71;M;2063
2010/2011;101;F;1648
2010/2011;102;M;44
2010/2011;82;F;5047
2010/2011;83;M;2290
2010/2011;94;F;1874
2010/2011;64;M;3465
2010/2011;87;F;2968
2010/2011;99;F;308
2010/2011;73;F;3683
2010/2011;76;M;3416
2010/2011;88;M;1703
2010/2011;68;F;4774
2010/2011;80;F;9098
2010/2011;95;M;1308
2010/2011;61;F;1397
2010/2011;69;M;1165
2010/2011;82;M;3567
2010/2011;101;M;1117
2010/2011;74;F;4249
2010/2011;86;F;3425
2010/2011;94;M;1060
2010/2011;67;F;3056
2010/2011;63;M;2645
2010/2011;93;F;1880
2010/2011;66;F;3175
2010/2011;67;M;3158
2010/2011;93;M;1033
2010/2011;75;M;4952
2010/2011;85;F;4374
2010/2011;100;M;7787
2010/2011;62;M;4377
2010/2011;999;F;1319
2010/2011;97;F;1692
2010/2011;81;M;1858
2010/2011;91;M;808
2010/2011;90;F;4141
2010/2011;60;M;10182
2010/2011;102;F;56
2010/2011;71;F;2491
2010/2011;79;M;1093
2010/2011;998;M;2588
2010/2011;98;M;1276
2010/2011;64;F;2943
2010/2011;72;M;4766
2010/2011;90;M;2474
2010/2011;63;F;2211
2010/2011;83;F;3483
2010/2011;92;F;2542
2010/2011;74;M;3520
2010/2011;78;F;5786
2010/2011;86;M;2017
2010/2011;79;F;1641
2010/2011;80;M;6737
2010/2011;99;M;192
2010/2011;998;F;3369
2010/2011;91;F;1617
2010/2011;61;M;1605
2010/2011;68;M;4667
2010/2011;87;M;1808
2010/2011;60;F;7941
2010/2011;65;F;3943
2010/2011;85;M;2797
2010/2011;77;F;3913
2010/2011;89;F;1341
2010/2011;73;M;3091
2010/2011;98;F;2463
2010/2011;72;F;5510
2010/2011;96;M;1009
2010/2011;62;F;3830
2010/2011;65;M;4281
2010/2011;88;F;3109
2010/2011;77;M;2827
2010/2011;76;F;4330
2010/2011;89;M;714
2010/2011;81;F;2874
2010/2011;95;F;2265
2010/2011;84;M;2668
2010/2011;70;M;8150
2010/2011;100;F;14053
2010/2011;66;M;3154
2010/2011;69;F;1224
2010/2011;96;F;1782
2010/2011;70;F;8597
2010/2011;999;M;911
2010/2011;97;M;1023
2010/2011;92;M;1461
2010/2011;84;F;3914
2010/2011;78;M;4067
2011/2012;68;F;4455
2011/2012;102;M;16
2011/2012;75;F;5738
2011/2012;76;M;3373
2011/2012;94;F;1938
2011/2012;79;F;1491
2011/2012;60;F;7010
2011/2012;68;M;4539
2011/2012;94;M;1071
2011/2012;998;F;3109
2011/2012;82;M;3470
2011/2012;75;M;4683
2011/2012;63;M;2453
2011/2012;98;F;2448
2011/2012;101;M;958
2011/2012;87;M;1707
2011/2012;67;F;2867
2011/2012;86;F;3520
2011/2012;71;M;1987
2011/2012;77;F;3602
2011/2012;83;M;2267
2011/2012;95;M;1301
2011/2012;64;M;3176
2011/2012;87;F;2874
2011/2012;66;M;2954
2011/2012;97;M;948
2011/2012;96;F;1790
2011/2012;101;F;1492
2011/2012;82;F;5127
2011/2012;89;F;1409
2011/2012;85;M;2759
2011/2012;70;F;8022
2011/2012;78;M;4011
2011/2012;90;M;2357
2011/2012;63;F;2178
2011/2012;91;M;886
2011/2012;65;M;4115
2011/2012;95;F;2294
2011/2012;997;F;1
2011/2012;83;F;3603
2011/2012;998;M;2606
2011/2012;77;M;2783
2011/2012;93;F;1881
2011/2012;89;M;763
2011/2012;62;F;3525
2011/2012;81;F;2712
2011/2012;73;F;3489
2011/2012;100;M;8125
2011/2012;88;F;3118
2011/2012;100;F;14263
2011/2012;74;F;4286
2011/2012;70;M;7631
2011/2012;96;M;1025
2011/2012;69;F;1178
2011/2012;72;M;4740
2011/2012;84;M;2510
2011/2012;64;F;2798
2011/2012;76;F;4429
2011/2012;102;F;9
2011/2012;84;F;3967
2011/2012;61;M;1541
2011/2012;73;M;2989
2011/2012;72;F;5215
2011/2012;91;F;1589
2011/2012;99;M;208
2011/2012;999;M;913
2011/2012;80;M;6272
2011/2012;65;F;3650
2011/2012;92;M;1470
2011/2012;97;F;1718
2011/2012;74;M;3461
2011/2012;71;F;2437
2011/2012;93;M;1034
2011/2012;86;M;2004
2011/2012;85;F;4234
2011/2012;88;M;1797
2011/2012;60;M;9164
2011/2012;78;F;5734
2011/2012;90;F;4190
2011/2012;98;M;1329
2011/2012;66;F;3023
2011/2012;67;M;2842
2011/2012;79;M;1081
2011/2012;69;M;1165
2011/2012;99;F;307
2011/2012;61;F;1321
2011/2012;81;M;1867
2011/2012;92;F;2586
2011/2012;999;F;1402
2011/2012;80;F;9010
2011/2012;62;M;4060
2012/2013;999;M;990
2012/2013;77;F;3657
2012/2013;92;M;1217
2012/2013;65;F;3472
2012/2013;66;M;3000
2012/2013;84;F;3982
2012/2013;96;F;2206
2012/2013;73;M;2857
2012/2013;82;F;5095
2012/2013;83;M;2280
2012/2013;997;M;1
2012/2013;78;M;4176
2012/2013;70;F;7759
2012/2013;64;M;2937
