DATA;COD_Ateneo;NOME_ATENEO;CODICE_STRUTTURA;DESCRIZIONE_STRUTTURA;NUMERO_STRUTTURE;POSTI_DISPONIBILI
01/11/2024;00101;Torino - Università degli studi;01 ;Mense;0;0
01/11/2024;00101;Torino - Università degli studi;02 ;Residenze direttamente gestite dall'istituto (*);0;0
01/11/2024;00101;Torino - Università degli studi;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
01/11/2024;00101;Torino - Università degli studi;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
01/11/2024;00101;Torino - Università degli studi;02c;(*) Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR - gestione diretta (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;00101;Torino - Università degli studi;02d;Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR (gestione diretta - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;00101;Torino - Università degli studi;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi (**);0;0
01/11/2024;00101;Torino - Università degli studi;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
01/11/2024;00101;Torino - Università degli studi;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
01/11/2024;00101;Torino - Università degli studi;03c;(**) Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR - convenzione (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;00101;Torino - Università degli studi;03d;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR (convenzione - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;00102;Torino - Politecnico;01 ;Mense;0;0
01/11/2024;00102;Torino - Politecnico;02 ;Residenze direttamente gestite dall'istituto (*);0;0
01/11/2024;00102;Torino - Politecnico;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
01/11/2024;00102;Torino - Politecnico;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
01/11/2024;00102;Torino - Politecnico;02c;(*) Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR - gestione diretta (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;00102;Torino - Politecnico;02d;Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR (gestione diretta - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;00102;Torino - Politecnico;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi (**);0;0
01/11/2024;00102;Torino - Politecnico;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
01/11/2024;00102;Torino - Politecnico;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
01/11/2024;00102;Torino - Politecnico;03c;(**) Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR - convenzione (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;00102;Torino - Politecnico;03d;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR (convenzione - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";01 ;Mense;0;0
01/11/2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";02 ;Residenze direttamente gestite dall'istituto (*);0;0
01/11/2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
01/11/2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
01/11/2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";02c;(*) Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR - gestione diretta (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";02d;Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR (gestione diretta - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";03 ;Residenze in strutture convenzionate o affidate in gestione a terzi (**);0;0
01/11/2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
01/11/2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
01/11/2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";03c;(**) Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR - convenzione (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";03d;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR (convenzione - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;00401;Bra (CN) - Università di Scienze Gastronomiche;01 ;Mense;1;135
01/11/2024;00401;Bra (CN) - Università di Scienze Gastronomiche;02 ;Residenze direttamente gestite dall'istituto (*);8;38
01/11/2024;00401;Bra (CN) - Università di Scienze Gastronomiche;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;16
01/11/2024;00401;Bra (CN) - Università di Scienze Gastronomiche;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
01/11/2024;00401;Bra (CN) - Università di Scienze Gastronomiche;02c;(*) Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR - gestione diretta (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;00401;Bra (CN) - Università di Scienze Gastronomiche;02d;Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR (gestione diretta - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;00401;Bra (CN) - Università di Scienze Gastronomiche;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi (**);0;0
01/11/2024;00401;Bra (CN) - Università di Scienze Gastronomiche;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
01/11/2024;00401;Bra (CN) - Università di Scienze Gastronomiche;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
01/11/2024;00401;Bra (CN) - Università di Scienze Gastronomiche;03c;(**) Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR - convenzione (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;00401;Bra (CN) - Università di Scienze Gastronomiche;03d;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR (convenzione - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;00701;Aosta - Università degli studi;01 ;Mense;0;0
01/11/2024;00701;Aosta - Università degli studi;02 ;Residenze direttamente gestite dall'istituto (*);0;0
01/11/2024;00701;Aosta - Università degli studi;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
01/11/2024;00701;Aosta - Università degli studi;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
01/11/2024;00701;Aosta - Università degli studi;02c;(*) Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR - gestione diretta (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;00701;Aosta - Università degli studi;02d;Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR (gestione diretta - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;00701;Aosta - Università degli studi;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi (**);1;32
01/11/2024;00701;Aosta - Università degli studi;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;32
01/11/2024;00701;Aosta - Università degli studi;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
01/11/2024;00701;Aosta - Università degli studi;03c;(**) Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR - convenzione (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;00701;Aosta - Università degli studi;03d;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR (convenzione - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;01001;Genova - Università degli studi;01 ;Mense;0;0
01/11/2024;01001;Genova - Università degli studi;02 ;Residenze direttamente gestite dall'istituto (*);0;0
01/11/2024;01001;Genova - Università degli studi;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
01/11/2024;01001;Genova - Università degli studi;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
01/11/2024;01001;Genova - Università degli studi;02c;(*) Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR - gestione diretta (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;01001;Genova - Università degli studi;02d;Residenze direttamente gestite dall'istituto - di cui posti CREATI CON FONDI PNRR (gestione diretta - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;01001;Genova - Università degli studi;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi (**);0;0
01/11/2024;01001;Genova - Università degli studi;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
01/11/2024;01001;Genova - Università degli studi;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
01/11/2024;01001;Genova - Università degli studi;03c;(**) Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR - convenzione (nell'ultimo anno, ossia tra 1/11/(t-1) e 1/11/t);0;0
01/11/2024;01001;Genova - Università degli studi;03d;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti CREATI CON FONDI PNRR (convenzione - PNRR) - di cui assegnati a studenti dell'ateneo;;0
01/11/2024;01201;"Castellanza - Università ""Carlo Cattaneo""";01 ;Mense;0;0
01/11/2024;01201;"Castellanza - Università ""Carlo Cattaneo""";02 ;Residenze direttamente gestite dall'istituto (*);0;0
01/11/2024;01201;"Castellanza - Università ""Carlo Cattaneo""";02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
01/11/2024;01201;"Castellanza - Università ""Carlo Cattaneo""";02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
