DATA;TIPOLOGIA_COLLEGIO;CODICE_COLLEGIO;NOME_COLLEGIO;CODICE_SERVIZIO;DESCRIZIONE_SERVIZIO;NUMERO
01/11/2025;0102;CLR;"Collegio universitario di Torino ''Renato Einaudi""";4;Posti alloggio in residenze - anno corrente;872
01/11/2025;0102;CLR;"Collegio universitario di Torino ''Renato Einaudi""";5;Mense attive a gestione diretta - anno corrente;0
01/11/2025;0102;CLR;"Collegio universitario di Torino ''Renato Einaudi""";6;Posti a sedere in mense a gestione diretta - anno corrente;0
01/11/2025;0102;CLR;"Collegio universitario di Torino ''Renato Einaudi""";7;Mense attive a gestione indiretta - anno corrente;0
01/11/2025;0102;CLR;"Collegio universitario di Torino ''Renato Einaudi""";8;Posti a sedere in mense a gestione indiretta - anno corrente;0
01/11/2025;0102;CLR;"Collegio universitario di Torino ''Renato Einaudi""";130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;0102;CLR;"Collegio universitario di Torino ''Renato Einaudi""";134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;0313;CLR;"Almo Collegio ''Borromeo""";4;Posti alloggio in residenze - anno corrente;208
01/11/2025;0313;CLR;"Almo Collegio ''Borromeo""";5;Mense attive a gestione diretta - anno corrente;2
01/11/2025;0313;CLR;"Almo Collegio ''Borromeo""";6;Posti a sedere in mense a gestione diretta - anno corrente;233
01/11/2025;0313;CLR;"Almo Collegio ''Borromeo""";7;Mense attive a gestione indiretta - anno corrente;0
01/11/2025;0313;CLR;"Almo Collegio ''Borromeo""";8;Posti a sedere in mense a gestione indiretta - anno corrente;0
01/11/2025;0313;CLR;"Almo Collegio ''Borromeo""";130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;0313;CLR;"Almo Collegio ''Borromeo""";134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;0314;CLR;Collegio Nuovo - Fondazione Sandra e Enea Mattei;4;Posti alloggio in residenze - anno corrente;160
01/11/2025;0314;CLR;Collegio Nuovo - Fondazione Sandra e Enea Mattei;5;Mense attive a gestione diretta - anno corrente;1
01/11/2025;0314;CLR;Collegio Nuovo - Fondazione Sandra e Enea Mattei;6;Posti a sedere in mense a gestione diretta - anno corrente;130
01/11/2025;0314;CLR;Collegio Nuovo - Fondazione Sandra e Enea Mattei;7;Mense attive a gestione indiretta - anno corrente;0
01/11/2025;0314;CLR;Collegio Nuovo - Fondazione Sandra e Enea Mattei;8;Posti a sedere in mense a gestione indiretta - anno corrente;0
01/11/2025;0314;CLR;Collegio Nuovo - Fondazione Sandra e Enea Mattei;130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;0314;CLR;Collegio Nuovo - Fondazione Sandra e Enea Mattei;134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;0316;CLR;Collegio universitario Ghislieri;4;Posti alloggio in residenze - anno corrente;245
01/11/2025;0316;CLR;Collegio universitario Ghislieri;5;Mense attive a gestione diretta - anno corrente;0
01/11/2025;0316;CLR;Collegio universitario Ghislieri;6;Posti a sedere in mense a gestione diretta - anno corrente;0
01/11/2025;0316;CLR;Collegio universitario Ghislieri;7;Mense attive a gestione indiretta - anno corrente;1
01/11/2025;0316;CLR;Collegio universitario Ghislieri;8;Posti a sedere in mense a gestione indiretta - anno corrente;200
01/11/2025;0316;CLR;Collegio universitario Ghislieri;130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;0316;CLR;Collegio universitario Ghislieri;134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;0317;CLR;"Collegio universitario ''S. Caterina da Siena""";4;Posti alloggio in residenze - anno corrente;143
01/11/2025;0317;CLR;"Collegio universitario ''S. Caterina da Siena""";5;Mense attive a gestione diretta - anno corrente;0
01/11/2025;0317;CLR;"Collegio universitario ''S. Caterina da Siena""";6;Posti a sedere in mense a gestione diretta - anno corrente;0
01/11/2025;0317;CLR;"Collegio universitario ''S. Caterina da Siena""";7;Mense attive a gestione indiretta - anno corrente;1
01/11/2025;0317;CLR;"Collegio universitario ''S. Caterina da Siena""";8;Posti a sedere in mense a gestione indiretta - anno corrente;100
01/11/2025;0317;CLR;"Collegio universitario ''S. Caterina da Siena""";130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;0317;CLR;"Collegio universitario ''S. Caterina da Siena""";134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;0318;CLR;Fondazione Collegio delle Università Milanesi;4;Posti alloggio in residenze - anno corrente;228
01/11/2025;0318;CLR;Fondazione Collegio delle Università Milanesi;5;Mense attive a gestione diretta - anno corrente;0
01/11/2025;0318;CLR;Fondazione Collegio delle Università Milanesi;6;Posti a sedere in mense a gestione diretta - anno corrente;0
01/11/2025;0318;CLR;Fondazione Collegio delle Università Milanesi;7;Mense attive a gestione indiretta - anno corrente;1
01/11/2025;0318;CLR;Fondazione Collegio delle Università Milanesi;8;Posti a sedere in mense a gestione indiretta - anno corrente;150
01/11/2025;0318;CLR;Fondazione Collegio delle Università Milanesi;130;Posti alloggio in residenze - creati con fondi PNRR - gestione diretta;0
01/11/2025;0318;CLR;Fondazione Collegio delle Università Milanesi;134;Posti alloggio in residenze - creati con fondi PNRR - convenzione;0
01/11/2025;0346;CLR;Collegio Universitario Lucchini di Brescia;4;Posti alloggio in residenze - anno corrente;54
