ANNO_ACCADEMICO;TIPOLOGIA_COLLEGIO;CODICE_COLLEGIO;NOME_COLLEGIO;TIPOLOGIA_ISTITUTO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;1335;429;41;28
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;2;Posti a concorso e posti confermati - N° idonei;1109;349;29;13
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;3;Posti a concorso e posti confermati - N° ammessi;286;88;12;1
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;612;34;39;5
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;5;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati gratuitamente;11;1;0;0
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;6;Posti alloggio e contributi-alloggio - N° posti alloggio a tariffa agevolata;887;121;51;6
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;7;Posti alloggio e contributi-alloggio - N° posti alloggio a retta intera;0;0;0;0
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;8;Posti alloggio e contributi-alloggio - N° contributi assegnati per alloggio esterno;0;0;0;0
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;9;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;10;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;11;Mobilità internazionale - N° domande contributi;35;0;7;0
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;12;Mobilità internazionale - N° contributi concessi;17;0;3;0
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;13;Mobilità internazionale - N° complessivo di mesi in mobilità;82;0;13;0
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;14;Interventi a favore di studenti in situazione di disabilità - N° domande;0;0;0;0
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;15;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;0;0;0;0
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;16;Attività di collaborazione a tempo parziale - N° collaborazioni;102;2;0;0
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;17;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);9,4;9,4;0;0
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;18;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;5;1;0;0
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;19;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;0;0
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;20;Altri interventi di tipo finanziario - N° contributi straordinari;0;0;0;0
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I   ;21;Altri interventi di tipo finanziario - N° altri sussidi concessi;104;3;1;0
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;1;Posti a concorso e posti confermati - N° candidati presenti alla prova di ammissione;8;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;2;Posti a concorso e posti confermati - N° idonei;7;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;3;Posti a concorso e posti confermati - N° ammessi;2;0;;
2024-2025 ;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";I_AF;4;Posti a concorso e posti confermati - N° posti confermati dall'a.a precedente;1;0;;
