ANNO_SOLARE;TIPOLOGIA_COLLEGIO;CODICE_COLLEGIO;NOME_COLLEGIO;CODICE_TIPOLOGIA_PERSONALE;DESCRIZIONE_TIPOLOGIA_PERSONALE;NUMERO
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";101;Dipendente dall'Ente a tempo determinato maschio - numero;0
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";102;Dipendente dall'Ente a tempo determinato femmina - numero;0
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;0
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;0
2024;CLR;0313;"Almo Collegio ''Borromeo""";101;Dipendente dall'Ente a tempo determinato maschio - numero;4
2024;CLR;0313;"Almo Collegio ''Borromeo""";102;Dipendente dall'Ente a tempo determinato femmina - numero;3
2024;CLR;0313;"Almo Collegio ''Borromeo""";103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;35
2024;CLR;0313;"Almo Collegio ''Borromeo""";104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;36
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;101;Dipendente dall'Ente a tempo determinato maschio - numero;1
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;102;Dipendente dall'Ente a tempo determinato femmina - numero;0
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;3
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;0
2024;CLR;0316;Collegio universitario Ghislieri;101;Dipendente dall'Ente a tempo determinato maschio - numero;2
2024;CLR;0316;Collegio universitario Ghislieri;102;Dipendente dall'Ente a tempo determinato femmina - numero;2
2024;CLR;0316;Collegio universitario Ghislieri;103;Dipendente dall'Ente a tempo determinato maschio - mesi lavorati;6
2024;CLR;0316;Collegio universitario Ghislieri;104;Dipendente dall'Ente a tempo determinato femmina - mesi lavorati;12
