ANNO_SOLARE;CODICE_REGIONE;NOME_REGIONE;CODICE_ENTE;NOME_ENTE;CODICE_TIPOLOGIA;DESCRIZIONE_TIPOLOGIA;NUMERO
2024;01;Piemonte;0101;EDISU del Piemonte;11;Pasti erogati in mense a gestione diretta;0
2024;01;Piemonte;0101;EDISU del Piemonte;12;Pasti erogati in mense a gestione indiretta;867186
2024;01;Piemonte;0101;EDISU del Piemonte;13;Pasti erogati in servizi di ristorazione convenzionati;179209
2024;01;Piemonte;0101;EDISU del Piemonte;14;Studenti che usufruiscono delle mense;23699
2024;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;11;Pasti erogati in mense a gestione diretta;0
2024;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;12;Pasti erogati in mense a gestione indiretta;0
2024;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;13;Pasti erogati in servizi di ristorazione convenzionati;692
2024;02;Valle d'Aosta;0201;Regione Autonoma Valle d'Aosta - Struttura Politiche Educative;14;Studenti che usufruiscono delle mense;0
2024;03;Lombardia;0302;Politecnico di Milano - Servizio DSU e mobilità internazionale;11;Pasti erogati in mense a gestione diretta;0
2024;03;Lombardia;0302;Politecnico di Milano - Servizio DSU e mobilità internazionale;12;Pasti erogati in mense a gestione indiretta;51997
2024;03;Lombardia;0302;Politecnico di Milano - Servizio DSU e mobilità internazionale;13;Pasti erogati in servizi di ristorazione convenzionati;1022542
2024;03;Lombardia;0302;Politecnico di Milano - Servizio DSU e mobilità internazionale;14;Studenti che usufruiscono delle mense;6427
2024;03;Lombardia;0303;EDiSU di Pavia;11;Pasti erogati in mense a gestione diretta;76545
2024;03;Lombardia;0303;EDiSU di Pavia;12;Pasti erogati in mense a gestione indiretta;245524
2024;03;Lombardia;0303;EDiSU di Pavia;13;Pasti erogati in servizi di ristorazione convenzionati;0
2024;03;Lombardia;0303;EDiSU di Pavia;14;Studenti che usufruiscono delle mense;6200
2024;03;Lombardia;0304;ISU Bocconi - Centro per il DSU - Università commerciale L.Bocconi;11;Pasti erogati in mense a gestione diretta;0
2024;03;Lombardia;0304;ISU Bocconi - Centro per il DSU - Università commerciale L.Bocconi;12;Pasti erogati in mense a gestione indiretta;113387
