ANNO_SOLARE;COD_ISTITUTO;TIPO_ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;COD_SPESA;DESCRIZIONE_SPESA;SPESA_TOTALE
2024;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;011;Borse di studio - Spesa totale;65117
2024;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;012;Borse di studio - Spesa totale - di cui da fondi trasferiti da enti privati (banche, donazioni private, ecc.);0
2024;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;013;Borse di studio - Spesa totale - di cui da fondi trasferiti da enti pubblici;65117
2024;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;031;Mobilità internazionale - Spesa per iscritti nell'istituto coinvolti in scambi internazionali (esclusa spesa finanziata dall'UE o da altre istituzioni);0
2024;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;033;Mobilità internazionale - Spesa per iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0
2024;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;034;Mobilità internazionale - Spesa finanziata dall'Unione Europea o da altre istituzioni;65117
2024;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;035;Mobilità internazionale - Spesa per iscritti nell'istituto coinvolti in scambi internazionali (esclusa spesa finanziata dall'UE o da altre istituzioni) - di cui da cofinanziamento MIUR;0
2024;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;041;Interventi a favore di studenti con disabilità - Spesa per interventi diretti;0
2024;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;042;Interventi a favore di studenti con disabilità - Spesa non ripartibile tra studenti;0
2024;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;051;Attività di collaborazione a tempo parziale - Spesa totale;0
2024;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;061;Contributi-alloggio - Spesa totale;0
2024;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;070;Altri interventi di tipo finanziario - Spesa per prestiti agevolati;0
2024;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;071;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;0
2024;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;072;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0
2024;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;073;Altri interventi di tipo finanziario - Spesa per altri sussidi erogati;0
2024;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;074;Altri interventi di tipo finanziario - Spesa per contributi straordinari;0
2024;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;081;Altre spese per il diritto allo studio - Spesa non ripartibile tra studenti;0
2024;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;011;Borse di studio - Spesa totale;63658,2
