CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
AQ1E00100E,1,U,EE,30 ORE SETTIMANALI,LINGUA INGLESE,9788847242463,"AA VV  ",HELLO WORLD 1,ND,1,CELTIC PUBLISHING,"4,02",No,Si,No
AQ1E00100E,1,U,EE,30 ORE SETTIMANALI,IL LIBRO DELLA PRIMA CLASSE,9788861619661,FRANCO FLAVIA - MOLINARI MARINELLA - CIGOLINI PIERLUIGI,RE FUSILLO - STAMPATO,IMPARO E MI DIVERTO,1,LANG EDIZIONI,"13,34",Si,Si,No
AQ1E00100E,1,U,EE,30 ORE SETTIMANALI,IL LIBRO DELLA PRIMA CLASSE,9791255811589,FRANCO FLAVIA - MOLINARI MARINELLA - CIGOLINI PIERLUIGI,RE FUSILLO - QUATTRO GRAFIE,IMPARO E MI DIVERTO,1,LANG EDIZIONI,"13,34",Si,Si,No
AQ1E00100E,2,U,EE,30 ORE SETTIMANALI,RELIGIONE,9788847242449,"CALIGARI CARLA RE  ",FIORI DELLA TERRA 1-2-3 (I),ND,U,RAFFAELLO,"8,19",No,No,No
AQ1E00100E,2,U,EE,30 ORE SETTIMANALI,LINGUA INGLESE,9788847242470,"AA VV  ",HELLO WORLD 2,ND,2,CELTIC PUBLISHING,"6,03",No,Si,No
AQ1E00100E,2,U,EE,30 ORE SETTIMANALI,SUSSIDIARIO (1° BIENNIO),9788891593337,"AA VV  ",VOLA CON BOB CLASSE 2,ND,2,FABBRI SCUOLA,"18,69",No,Si,No
AQ1E00100E,3,U,EE,30 ORE SETTIMANALI,RELIGIONE,9788851910372,"AGLIOCCHI CARLA - BASILE CATERINA ",VALLE DEL CEDRO (LA),1° CICLO: VOLUME CLASSE 1A + VOLUME CLASSE 2A + VOLUME CLASSE 3A,U,PIEMME SCUOLA,"8,19",No,No,No
AQ1E00100E,3,U,EE,30 ORE SETTIMANALI,LINGUA INGLESE,9788847242487,"AA VV  ",HELLO WORLD 3,ND,3,CELTIC PUBLISHING,"8,06",No,Si,No
AQ1E00100E,3,U,EE,30 ORE SETTIMANALI,SUSSIDIARIO (1° BIENNIO),9788847241459,"MORGESE ROBERTO  ",FORMULA MAGICA 3,ND,3,RAFFAELLO,"26,71",No,Si,No
AQ1E00100E,4,U,EE,30 ORE SETTIMANALI,RELIGIONE,9788847242456,"CALIGARI CARLA RE  ",FIORI DELLA TERRA 4-5 (I),ND,U,RAFFAELLO,"8,19",No,Si,No
AQ1E00100E,4,U,EE,30 ORE SETTIMANALI,LINGUA INGLESE,9788847242494,"AA VV  ",HELLO WORLD 4,ND,1,CELTIC PUBLISHING,"8,06",No,Si,No
AQ1E00100E,4,U,EE,30 ORE SETTIMANALI,SUSSIDIARIO DEI LINGUAGGI,9788847248854,"MEIANI ANTONELLA  ",NUVOLE DI PAROLE 4,ND,1,RAFFAELLO,"17,28",Si,Si,No
AQ1E00100E,4,U,EE,30 ORE SETTIMANALI,SUSSIDIARIO DELLE DISCIPLINE,9788847248816,"SECCHI NICOLA - CANALI TIZIANA ",CHE MERAVIGLIA! 4 VOLUME UNICO,ND,1,RAFFAELLO,"21,46",Si,Si,No
AQ1E00100E,5,U,EE,30 ORE SETTIMANALI,RELIGIONE,9788847242456,"CALIGARI CARLA RE  ",FIORI DELLA TERRA 4-5 (I),ND,U,RAFFAELLO,"8,19",No,No,No
AQ1E00100E,5,U,EE,30 ORE SETTIMANALI,LINGUA INGLESE,9788847242500,"AA VV  ",HELLO WORLD 5,ND,2,CELTIC PUBLISHING,"10,08",No,Si,No
AQ1E00100E,5,U,EE,30 ORE SETTIMANALI,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788873349013,"AA VV  ",VOCE DELLA TERRA PIU' CL. 5 (LA) - AREA MATEMATICO-SCIENTIFICA,ND,2,GAIA EDIZIONI,"12,50",No,Si,No
AQ1E00100E,5,U,EE,30 ORE SETTIMANALI,SUSSIDIARIO DEI LINGUAGGI,9788873349761,"AA VV  ",LIBROAGENDA CL. 5 (IL),ND,2,GAIA EDIZIONI,"20,96",No,Si,No
AQ1E004002,3,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788842618195,"BAZZI - CALFUS ",GOCCE DI VITA 1-2-3,ND,U,IL CAPITELLO,"8,19",No,No,No
AQ1E004002,4,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788842635314,"AA VV  ",L'ALBERO DEI SAPERI 4 KIT SCIENTIFICO,MATEMATICA - SCIENZE - MAPPE MATEMATICA E SCIENZE,1,IL CAPITELLO,"10,73",Si,Si,No
AQ1E004002,5,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788851911140,"AGLIOCCHI CARLA - BASILE CATERINA ",IL SENTIERO FIORITO,VOLUME 2° CICLO,U,PIEMME SCUOLA,"8,19",No,No,No
AQ1E004002,4,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788842635307,"AA VV  ",L'ALBERO DEI SAPERI 4 KIT ANTROPOLOGICO,STORIA - GEOGRAFIA - MAPPE STORIA E GEOGRAFIA,1,IL CAPITELLO,"10,73",Si,Si,No
AQ1E004002,4,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DEI LINGUAGGI,9788842635246,"BERTI CRISTINA  ",L'ALBERO DELLE STORIE 4,LETTURE GRAMMATICA SCRITTURA ARTE E MUSICA,1,IL CAPITELLO,"17,28",Si,Si,No
AQ1E004002,5,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DEI LINGUAGGI,9788891593924,"AA VV  ",LEGGO SENTO IMPARO CLASSE 5,SUSSIDIARIO DEI LINGUAGGI,2,FABBRI SCUOLA,"20,96",No,Si,No
AQ1E004002,5,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788883397110,"AA VV  ",BILLY BOT GOLD 5,ND,2,PEARSON LONGMAN,"10,08",No,Si,No
AQ1E004002,1,A,EE,CORSO A ORARIO ORDINARIO,IL LIBRO DELLA PRIMA CLASSE,9791220405508,BORDIGLIONI STEFANO - RIZZO LICORI ELENA - ROMANO SALVATORE,MINIMONDO,CLASSE 1A: CONFEZIONE QUATTRO CARATTERI,1,A. MONDADORI SCUOLA,"13,34",Si,Si,No
AQ1E004002,4,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788846845290,"PICARIELLO CARMINE  ",MIO LIBRO DI RELIGIONE 4-5 (IL),ND,U,LA SPIGA,"8,19",Si,Si,No
