ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,FASCIAETA,ALUNNI
202425,MBTF05050A,SCUOLA SECONDARIA II GRADO,4,18 anni,1
202425,RMMM804018,SCUOLA SECONDARIA I GRADO,3,13 anni,77
202425,NARH122013,SCUOLA SECONDARIA II GRADO,2,17 anni,3
202425,CTEE84702N,SCUOLA PRIMARIA,1,8 anni,1
202425,APPS02000E,SCUOLA SECONDARIA II GRADO,2,16 anni,6
202425,MBEE8F6011,SCUOLA PRIMARIA,3,8 anni,58
202425,GOEE81302B,SCUOLA PRIMARIA,1,6 anni,30
202425,PZMM857014,SCUOLA SECONDARIA I GRADO,3,13 anni,37
202425,VBMM01700A,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,12
202425,PZRA03201V,SCUOLA SECONDARIA II GRADO,3,17 anni,5
202425,FGEE851024,SCUOLA PRIMARIA,3,8 anni,16
202425,CTEE8AG01R,SCUOLA PRIMARIA,5,> di 10 anni,2
202425,FIMM817017,SCUOLA SECONDARIA I GRADO,2,12 anni,93
202425,GREE816011,SCUOLA PRIMARIA,2,7 anni,29
202425,MIMM8FX01V,SCUOLA SECONDARIA I GRADO,1,11 anni,206
202425,PSEE81202R,SCUOLA PRIMARIA,2,7 anni,11
202425,NARI12951P,SCUOLA SECONDARIA II GRADO,4,18 anni,2
202425,MIMM860014,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,2
202425,NAEE8FC027,SCUOLA PRIMARIA,3,8 anni,25
202425,PGMM83101G,SCUOLA SECONDARIA I GRADO,3,12 anni,2
202425,LUMM849016,SCUOLA SECONDARIA I GRADO,3,12 anni,6
202425,BSMM881013,SCUOLA SECONDARIA I GRADO,3,13 anni,139
202425,MCRI01002A,SCUOLA SECONDARIA II GRADO,4,> di 18 anni,8
202425,CAEE8AB077,SCUOLA PRIMARIA,2,7 anni,20
202425,PGEE85302E,SCUOLA PRIMARIA,5,9 anni,2
202425,FGEE89002P,SCUOLA PRIMARIA,4,8 anni,1
202425,NAEE8G7036,SCUOLA PRIMARIA,4,9 anni,25
202425,IMEE81102P,SCUOLA PRIMARIA,3,9 anni,1
202425,NAEE8FX03G,SCUOLA PRIMARIA,4,9 anni,23
202425,TERC01101C,SCUOLA SECONDARIA II GRADO,5,18 anni,16
202425,LCEE81301D,SCUOLA PRIMARIA,1,7 anni,1
202425,BRMM82901E,SCUOLA SECONDARIA I GRADO,2,11 anni,16
202425,LEMM860017,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,4
202425,VAMM828016,SCUOLA SECONDARIA I GRADO,3,13 anni,30
202425,RMPS09301D,SCUOLA SECONDARIA II GRADO,2,14 anni,4
202425,FIPC014016,SCUOLA SECONDARIA II GRADO,1,15 anni,19
202425,CAEE871051,SCUOLA PRIMARIA,1,6 anni,20
202425,PRMM805014,SCUOLA SECONDARIA I GRADO,2,12 anni,71
202425,CAMM87202L,SCUOLA SECONDARIA I GRADO,2,11 anni,1
202425,VERI02701G,SCUOLA SECONDARIA II GRADO,3,> di 18 anni,2
202425,SAEE8B002Q,SCUOLA PRIMARIA,3,8 anni,14
202425,MIEE836018,SCUOLA PRIMARIA,2,8 anni,6
202425,TEEE842046,SCUOLA PRIMARIA,2,7 anni,25
202425,SSEE842026,SCUOLA PRIMARIA,5,10 anni,38
202425,NARH09002T,SCUOLA SECONDARIA II GRADO,4,18 anni,8
202425,BGEE88102L,SCUOLA PRIMARIA,3,8 anni,50
202425,RMEE8FV02T,SCUOLA PRIMARIA,5,9 anni,2
202425,MIEE8D701P,SCUOLA PRIMARIA,2,7 anni,56
202425,ENEE82203N,SCUOLA PRIMARIA,3,8 anni,15
202425,AQEE052181,SCUOLA PRIMARIA,5,> di 10 anni,1
202425,FRTF026012,SCUOLA SECONDARIA II GRADO,3,> di 18 anni,1
202425,PAPM02000N,SCUOLA SECONDARIA II GRADO,4,18 anni,16
202425,RMTD031012,SCUOLA SECONDARIA II GRADO,4,18 anni,11
202425,SSPM010006,SCUOLA SECONDARIA II GRADO,3,15 anni,16
202425,TOPS04301X,SCUOLA SECONDARIA II GRADO,3,17 anni,23
202425,CSMM85108B,SCUOLA SECONDARIA I GRADO,3,13 anni,11
202425,VIEE82902T,SCUOLA PRIMARIA,3,8 anni,17
202425,VCTF019018,SCUOLA SECONDARIA II GRADO,3,> di 18 anni,1
202425,CTMM86101T,SCUOLA SECONDARIA I GRADO,3,13 anni,71
