ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
202425,GREE82601G,SCUOLA PRIMARIA,5,1,9,6
202425,VAEE82701B,SCUOLA PRIMARIA,4,1,7,12
202425,BSEE882032,SCUOLA PRIMARIA,4,2,18,22
202425,RGEE80601N,SCUOLA PRIMARIA,3,1,5,7
202425,BOEE85105T,SCUOLA PRIMARIA,3,2,21,16
202425,NAEE32302C,SCUOLA PRIMARIA,3,4,39,39
202425,MIEE88902T,SCUOLA PRIMARIA,4,1,12,9
202425,MOMM84401B,SCUOLA SECONDARIA I GRADO,1,6,79,62
202425,CSPS18000D,SCUOLA SECONDARIA II GRADO,3,14,142,164
202425,BOTF02401X,SCUOLA SECONDARIA II GRADO,2,2,20,19
202425,BGMM88201A,SCUOLA SECONDARIA I GRADO,3,3,26,31
202425,RMMM8DY012,SCUOLA SECONDARIA I GRADO,3,2,23,16
202425,BOMM87801L,SCUOLA SECONDARIA I GRADO,2,2,34,17
202425,LUEE85005G,SCUOLA PRIMARIA,3,1,6,8
202425,BNEE83801E,SCUOLA PRIMARIA,2,2,14,15
202425,PETD010008,SCUOLA SECONDARIA II GRADO,3,13,111,123
202425,MESD03101R,SCUOLA SECONDARIA II GRADO,2,5,22,75
202425,CBMM81601T,SCUOLA SECONDARIA I GRADO,3,2,22,21
202425,APTA00801A,SCUOLA SECONDARIA II GRADO,3,4,50,22
202425,SAEE8A0025,SCUOLA PRIMARIA,2,1,10,9
202425,AGMM85201N,SCUOLA SECONDARIA I GRADO,1,3,30,26
202425,CBRH010016,SCUOLA SECONDARIA II GRADO,5,1,6,0
202425,BREE83803C,SCUOLA PRIMARIA,3,2,22,16
202425,RMEE85703X,SCUOLA PRIMARIA,3,1,8,3
202425,CZRA007011,SCUOLA SECONDARIA II GRADO,2,1,12,1
202425,MIEE8A305Q,SCUOLA PRIMARIA,2,1,13,13
202425,RCEE80619N,SCUOLA PRIMARIA,2,1,3,1
202425,RMMM8FA01C,SCUOLA SECONDARIA I GRADO,1,6,78,67
202425,MIPS07201X,SCUOLA SECONDARIA II GRADO,3,9,92,107
202425,PGEE864032,SCUOLA PRIMARIA,2,1,11,10
202425,TVEE88101E,SCUOLA PRIMARIA,3,4,36,31
202425,ISEE832032,SCUOLA PRIMARIA,4,1,3,6
202425,NAPM02601R,SCUOLA SECONDARIA II GRADO,2,7,23,115
202425,GEEE825014,SCUOLA PRIMARIA,5,1,6,12
202425,CNEE854019,SCUOLA PRIMARIA,2,2,15,19
202425,UDEE852053,SCUOLA PRIMARIA,2,1,8,4
202425,TAMM85401T,SCUOLA SECONDARIA I GRADO,1,7,60,54
202425,SAEE8AG02X,SCUOLA PRIMARIA,4,1,9,6
202425,LTEE83602P,SCUOLA PRIMARIA,5,1,10,6
202425,RMPS110001,SCUOLA SECONDARIA II GRADO,5,9,117,86
202425,RMEE8BD02G,SCUOLA PRIMARIA,3,1,12,7
202425,MERC016505,SCUOLA SECONDARIA II GRADO,5,1,3,15
202425,SPRC007016,SCUOLA SECONDARIA II GRADO,2,1,2,0
202425,VBEE820039,SCUOLA PRIMARIA,2,2,15,19
202425,RCPC007013,SCUOLA SECONDARIA II GRADO,2,1,5,11
202425,BGEE86807B,SCUOLA PRIMARIA,5,2,23,18
202425,SAEE888022,SCUOLA PRIMARIA,3,1,11,7
202425,LCEE81303G,SCUOLA PRIMARIA,1,1,4,8
202425,VAEE865027,SCUOLA PRIMARIA,5,2,24,20
202425,TVEE85103R,SCUOLA PRIMARIA,2,2,11,17
202425,MOMM80602N,SCUOLA SECONDARIA I GRADO,3,1,7,5
202425,PTEE816038,SCUOLA PRIMARIA,3,1,6,5
202425,VEEE87402C,SCUOLA PRIMARIA,2,3,36,35
202425,PEMM81602X,SCUOLA SECONDARIA I GRADO,2,2,16,25
202425,NAEE8GK011,SCUOLA PRIMARIA,3,1,11,4
202425,IMEE816051,SCUOLA PRIMARIA,2,1,5,4
202425,CZMM865041,SCUOLA SECONDARIA I GRADO,2,1,3,6
202425,PTEE82001T,SCUOLA PRIMARIA,4,2,17,11
202425,SAMM8AY01N,SCUOLA SECONDARIA I GRADO,2,5,51,28
202425,NATN08401D,SCUOLA SECONDARIA II GRADO,1,1,9,12
202425,PZTF02203V,SCUOLA SECONDARIA II GRADO,2,2,32,2
202425,RMEE847017,SCUOLA PRIMARIA,5,4,46,23
202425,PIEE83901X,SCUOLA PRIMARIA,1,2,17,23
202425,NOTA00301B,SCUOLA SECONDARIA II GRADO,1,5,51,33
202425,REMM85301G,SCUOLA SECONDARIA I GRADO,1,5,44,62
202425,RMMM8D901T,SCUOLA SECONDARIA I GRADO,2,10,129,101
