ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
202425,RM1E056008,SCUOLA PRIMARIA,1,16,16,0,0,0
202425,NATFVB500S,SCUOLA SECONDARIA II GRADO,4,1,1,0,0,0
202425,RMPM17500R,SCUOLA SECONDARIA II GRADO,1,18,16,2,1,1
202425,NA1E122003,SCUOLA PRIMARIA,5,31,31,0,0,0
202425,NA1E081002,SCUOLA PRIMARIA,4,10,7,3,0,3
202425,GO1E00100A,SCUOLA PRIMARIA,1,24,23,1,0,1
202425,LTPSU65008,SCUOLA SECONDARIA II GRADO,5,7,7,0,0,0
202425,VR1MV95009,SCUOLA SECONDARIA I GRADO,2,19,17,2,2,0
202425,TOPLRN500U,SCUOLA SECONDARIA II GRADO,3,8,8,0,0,0
202425,AP1E00100X,SCUOLA PRIMARIA,2,7,6,1,0,1
202425,TOPS005004,SCUOLA SECONDARIA II GRADO,5,32,31,1,0,1
202425,RMPMIO5006,SCUOLA SECONDARIA II GRADO,1,4,4,0,0,0
202425,MI1E024008,SCUOLA PRIMARIA,3,21,20,1,0,1
202425,SATFVH500A,SCUOLA SECONDARIA II GRADO,4,7,7,0,0,0
202425,BS1E00600L,SCUOLA PRIMARIA,1,61,54,7,2,5
202425,CRPL01500R,SCUOLA SECONDARIA II GRADO,5,9,8,1,0,1
202425,CT1E033001,SCUOLA PRIMARIA,5,28,28,0,0,0
202425,PA1E048007,SCUOLA PRIMARIA,3,39,38,1,0,1
202425,LCRFHO5008,SCUOLA SECONDARIA II GRADO,5,13,10,3,1,2
202425,MB1M009008,SCUOLA SECONDARIA I GRADO,1,82,82,0,0,0
202425,TO1E6M500I,SCUOLA PRIMARIA,4,44,41,3,1,2
202425,MISL075007,SCUOLA SECONDARIA II GRADO,1,43,43,0,0,0
202425,BSPS06500N,SCUOLA SECONDARIA II GRADO,2,30,30,0,0,0
202425,NA1E272001,SCUOLA PRIMARIA,4,21,21,0,0,0
202425,SATDG0500E,SCUOLA SECONDARIA II GRADO,2,4,4,0,0,0
202425,VA1EZH500L,SCUOLA PRIMARIA,1,31,31,0,0,0
202425,RE1E002002,SCUOLA PRIMARIA,5,61,58,3,0,3
202425,ANTD02500V,SCUOLA SECONDARIA II GRADO,5,31,29,2,1,1
202425,BGPL04500P,SCUOLA SECONDARIA II GRADO,2,39,38,1,0,1
202425,MBPS1Q500V,SCUOLA SECONDARIA II GRADO,2,20,17,3,1,2
202425,CT1EH25008,SCUOLA PRIMARIA,3,14,11,3,1,2
202425,CN1E001003,SCUOLA PRIMARIA,4,13,12,1,0,1
202425,AV1E01200R,SCUOLA PRIMARIA,5,3,3,0,0,0
202425,FIPS00500D,SCUOLA SECONDARIA II GRADO,4,21,21,0,0,0
202425,TV1E01600N,SCUOLA PRIMARIA,3,25,24,1,1,0
202425,VAPLVL5003,SCUOLA SECONDARIA II GRADO,4,10,9,1,0,1
202425,MIPS01500P,SCUOLA SECONDARIA II GRADO,5,33,29,4,2,2
202425,TOPS20500T,SCUOLA SECONDARIA II GRADO,3,30,27,3,1,2
202425,RMRFB3500L,SCUOLA SECONDARIA II GRADO,1,6,6,0,0,0
202425,RMPMPL5008,SCUOLA SECONDARIA II GRADO,4,13,13,0,0,0
202425,SA1E009006,SCUOLA PRIMARIA,3,13,13,0,0,0
202425,FI1M001006,SCUOLA SECONDARIA I GRADO,1,32,27,5,0,5
202425,VE1E01200A,SCUOLA PRIMARIA,4,13,13,0,0,0
202425,LCRF085005,SCUOLA SECONDARIA II GRADO,1,11,11,0,0,0
202425,RMPC29500P,SCUOLA SECONDARIA II GRADO,4,28,28,0,0,0
202425,BO1M00300Q,SCUOLA SECONDARIA I GRADO,1,16,13,3,0,3
202425,VAPSE5500O,SCUOLA SECONDARIA II GRADO,1,6,6,0,0,0
202425,VTPLR35005,SCUOLA SECONDARIA II GRADO,4,7,6,1,0,1
202425,MI1E067006,SCUOLA PRIMARIA,2,9,6,3,0,3
202425,PD1E004009,SCUOLA PRIMARIA,2,21,20,1,1,0
202425,NA1E24400R,SCUOLA PRIMARIA,2,22,21,1,0,1
202425,RM1E09600P,SCUOLA PRIMARIA,4,46,46,0,0,0
202425,BS1E02000V,SCUOLA PRIMARIA,5,51,49,2,0,2
202425,VA1E01300Q,SCUOLA PRIMARIA,4,28,25,3,0,3
202425,VR1E02100R,SCUOLA PRIMARIA,3,48,46,2,1,1
202425,BGPSRR5006,SCUOLA SECONDARIA II GRADO,1,30,29,1,0,1
202425,CT1E00100D,SCUOLA PRIMARIA,5,24,24,0,0,0
202425,NA1E194001,SCUOLA PRIMARIA,2,30,30,0,0,0
202425,TO1M05700R,SCUOLA SECONDARIA I GRADO,2,29,29,0,0,0
202425,TO1E040006,SCUOLA PRIMARIA,3,33,29,4,0,4
202425,RM1E028004,SCUOLA PRIMARIA,5,14,14,0,0,0
202425,PV1EA8500A,SCUOLA PRIMARIA,1,8,8,0,0,0
202425,TV1M00400L,SCUOLA SECONDARIA I GRADO,1,112,108,4,0,4
202425,RMPC3Q500Z,SCUOLA SECONDARIA II GRADO,3,13,10,3,0,3
202425,TO1ED5500F,SCUOLA PRIMARIA,4,11,11,0,0,0
202425,PATDEE500L,SCUOLA SECONDARIA II GRADO,4,2,2,0,0,0
202425,SATD075006,SCUOLA SECONDARIA II GRADO,5,102,98,4,1,3
202425,BO1E005006,SCUOLA PRIMARIA,3,25,24,1,0,1
202425,MEPL865002,SCUOLA SECONDARIA II GRADO,1,13,13,0,0,0
202425,TARF2M500U,SCUOLA SECONDARIA II GRADO,2,4,4,0,0,0
202425,VETF015005,SCUOLA SECONDARIA II GRADO,1,30,30,0,0,0
202425,PR1E00400G,SCUOLA PRIMARIA,1,29,27,2,1,1
202425,CETD4C500S,SCUOLA SECONDARIA II GRADO,4,10,9,1,0,1
202425,BS1E011004,SCUOLA PRIMARIA,2,25,25,0,0,0
202425,VR1M00100R,SCUOLA SECONDARIA I GRADO,2,45,45,0,0,0
202425,SATNTR5000,SCUOLA SECONDARIA II GRADO,5,67,59,8,2,6
202425,MI1E046005,SCUOLA PRIMARIA,4,80,77,3,2,1
202425,VARHL7500G,SCUOLA SECONDARIA II GRADO,1,3,3,0,0,0
202425,RMPS49500G,SCUOLA SECONDARIA II GRADO,5,27,26,1,0,1
202425,CE1E008002,SCUOLA PRIMARIA,3,17,16,1,0,1
202425,CE1E043009,SCUOLA PRIMARIA,5,29,25,4,2,2
202425,RNRCCE500C,SCUOLA SECONDARIA II GRADO,1,25,17,8,0,8
202425,CO1E00800E,SCUOLA PRIMARIA,1,26,21,5,2,3
202425,VA1MUI500S,SCUOLA SECONDARIA I GRADO,3,14,12,2,1,1
202425,LOPS01500A,SCUOLA SECONDARIA II GRADO,5,17,17,0,0,0
202425,COSL035001,SCUOLA SECONDARIA II GRADO,1,28,26,2,0,2
202425,BOPSP8500H,SCUOLA SECONDARIA II GRADO,3,17,17,0,0,0
202425,CE1M00600G,SCUOLA SECONDARIA I GRADO,1,25,25,0,0,0
202425,NATF32500G,SCUOLA SECONDARIA II GRADO,2,3,3,0,0,0
202425,PO1M3E5001,SCUOLA SECONDARIA I GRADO,2,8,0,8,0,8
202425,RMSLBT5005,SCUOLA SECONDARIA II GRADO,1,4,4,0,0,0
202425,RM1E11700E,SCUOLA PRIMARIA,4,12,12,0,0,0
202425,MIPMC15009,SCUOLA SECONDARIA II GRADO,2,19,19,0,0,0
202425,VBRH155008,SCUOLA SECONDARIA II GRADO,4,8,8,0,0,0
202425,NATDAR5000,SCUOLA SECONDARIA II GRADO,2,4,4,0,0,0
202425,BS1E025002,SCUOLA PRIMARIA,4,14,11,3,0,3
202425,CR1M00200X,SCUOLA SECONDARIA I GRADO,3,43,39,4,0,4
202425,MIPSEA5006,SCUOLA SECONDARIA II GRADO,1,18,18,0,0,0
202425,RM1EBP500D,SCUOLA PRIMARIA,2,10,10,0,0,0
202425,TO1E6R5003,SCUOLA PRIMARIA,5,49,46,3,2,1
202425,CE1E028007,SCUOLA PRIMARIA,1,17,17,0,0,0
202425,SATF6U5006,SCUOLA SECONDARIA II GRADO,5,65,60,5,1,4
202425,PERF71500A,SCUOLA SECONDARIA II GRADO,3,14,13,1,0,1
202425,MITD13500L,SCUOLA SECONDARIA II GRADO,5,21,20,1,0,1
202425,MIRFHT500U,SCUOLA SECONDARIA II GRADO,3,28,26,2,0,2
202425,MI1M092004,SCUOLA SECONDARIA I GRADO,1,54,54,0,0,0
202425,PV1E008004,SCUOLA PRIMARIA,1,18,18,0,0,0
202425,RM1E16100L,SCUOLA PRIMARIA,4,12,10,2,0,2
202425,NARF0S5001,SCUOLA SECONDARIA II GRADO,4,5,5,0,0,0
202425,MBPSTE500O,SCUOLA SECONDARIA II GRADO,3,24,24,0,0,0
202425,SATAR7500H,SCUOLA SECONDARIA II GRADO,2,5,5,0,0,0
202425,VR1M00900B,SCUOLA SECONDARIA I GRADO,3,24,22,2,1,1
202425,MIPLGB500O,SCUOLA SECONDARIA II GRADO,5,23,23,0,0,0
202425,NAPMEF500M,SCUOLA SECONDARIA II GRADO,3,1,1,0,0,0
202425,COPL01500N,SCUOLA SECONDARIA II GRADO,3,17,17,0,0,0
202425,PRPS015007,SCUOLA SECONDARIA II GRADO,3,7,7,0,0,0
202425,VI1M011003,SCUOLA SECONDARIA I GRADO,2,42,40,2,0,2
202425,VE1M01000X,SCUOLA SECONDARIA I GRADO,2,17,17,0,0,0
202425,NA1E148007,SCUOLA PRIMARIA,1,10,10,0,0,0
202425,CSRFQA500F,SCUOLA SECONDARIA II GRADO,4,7,7,0,0,0
202425,MIPS4M500V,SCUOLA SECONDARIA II GRADO,4,15,15,0,0,0
202425,NA1E015003,SCUOLA PRIMARIA,4,9,5,4,0,4
202425,UD1E00500G,SCUOLA PRIMARIA,5,36,34,2,1,1
202425,TO1E02900B,SCUOLA PRIMARIA,4,8,8,0,0,0
202425,FIPC04500R,SCUOLA SECONDARIA II GRADO,3,1,1,0,0,0
202425,TV1M00800X,SCUOLA SECONDARIA I GRADO,2,71,68,3,1,2
202425,PATD43500N,SCUOLA SECONDARIA II GRADO,3,6,5,1,0,1
202425,METFU8500R,SCUOLA SECONDARIA II GRADO,1,3,3,0,0,0
202425,VT1E006009,SCUOLA PRIMARIA,5,21,21,0,0,0
202425,MI1E06400P,SCUOLA PRIMARIA,5,19,19,0,0,0
202425,CORC61500H,SCUOLA SECONDARIA II GRADO,1,26,26,0,0,0
202425,RM1M108001,SCUOLA SECONDARIA I GRADO,1,72,65,7,0,7
202425,MIPMS2500D,SCUOLA SECONDARIA II GRADO,1,18,18,0,0,0
202425,VETN745000,SCUOLA SECONDARIA II GRADO,2,19,19,0,0,0
