TIPOLOGIAVOCE,CODICELIVELLO1,DESCRIZIONELIVELLO1,CODICELIVELLO2,DESCRIZIONELIVELLO2
SPESA,A,ATTIVITÀ,A01,FUNZIONAMENTO GENERALE E DECORO DELLA SCUOLA
SPESA,A,ATTIVITÀ,A03,DIDATTICA
SPESA,A,ATTIVITÀ,A04,ALTERNANZA SCUOLA-LAVORO
SPESA,A,ATTIVITÀ,A05,VISITE  VIAGGI E PROGRAMMI DI STUDIO ALL'ESTERO
SPESA,A,ATTIVITÀ,A02,FUNZIONAMENTO AMMINISTRATIVO
SPESA,A,ATTIVITÀ,A06,ATTIVITÀ DI ORIENTAMENTO
SPESA,G,GESTIONI ECONOMICHE,G04,ATTIVITÀ CONVITTUALE
SPESA,G,GESTIONI ECONOMICHE,G01,AZIENDA AGRARIA
SPESA,G,GESTIONI ECONOMICHE,G02,AZIENDA SPECIALE
SPESA,G,GESTIONI ECONOMICHE,G03,ATTIVITÀ PER CONTO TERZI
SPESA,P,PROGETTI,P02,PROGETTI IN AMBITO 'UMANISTICO E SOCIALE'
SPESA,P,PROGETTI,P03,PROGETTI PER 'CERTIFICAZIONI E CORSI PROFESSIONALI'
SPESA,P,PROGETTI,P04,PROGETTI PER 'FORMAZIONE / AGGIORNAMENTO DEL PERSONALE'
SPESA,P,PROGETTI,P05,PROGETTI PER 'GARE E CONCORSI'
SPESA,P,PROGETTI,P01,PROGETTI IN AMBITO 'SCIENTIFICO  TECNICO E PROFESSIONALE'
SPESA,R,FONDO DI RISERVA,98,FONDO DI RISERVA
SPESA,Z,DISPONIBILITÀ FINANZIARIA DA PROGRAMMARE,-,DISPONIBILITÀ FINANZIARIA DA PROGRAMMARE
ENTRATA,01,AVANZO DI AMMINISTRAZIONE PRESUNTO,02,VINCOLATO
ENTRATA,01,AVANZO DI AMMINISTRAZIONE PRESUNTO,01,NON VINCOLATO
ENTRATA,02,FINANZIAMENTI DALL'UNIONE EUROPEA,02,FONDI EUROPEI DI SVILUPPO REGIONALE (FESR)
ENTRATA,02,FINANZIAMENTI DALL'UNIONE EUROPEA,01,FONDI SOCIALI EUROPEI (FSE)
ENTRATA,02,FINANZIAMENTI DALL'UNIONE EUROPEA,03,ALTRI FINANZIAMENTI DALL'UNIONE EUROPEA
ENTRATA,03,FINANZIAMENTI DALLO STATO,02,DOTAZIONE PEREQUATIVA
ENTRATA,03,FINANZIAMENTI DALLO STATO,06,ALTRI FINANZIAMENTI VINCOLATI DALLO STATO
ENTRATA,03,FINANZIAMENTI DALLO STATO,03,FINANZIAMENTI PER L'AMPLIAMENTO DELL'OFFERTA FORMATIVA (EX . L. 440/97)
ENTRATA,03,FINANZIAMENTI DALLO STATO,04,FONDO PER LO SVILUPPO E LA COESIONE (FSC)
ENTRATA,03,FINANZIAMENTI DALLO STATO,05,ALTRI FINANZIAMENTI NON VINCOLATI DALLO STATO
ENTRATA,03,FINANZIAMENTI DALLO STATO,01,DOTAZIONE ORDINARIA
ENTRATA,04,FINANZIAMENTI DALLA REGIONE,04,ALTRI FINANZIAMENTI VINCOLATI
ENTRATA,04,FINANZIAMENTI DALLA REGIONE,01,DOTAZIONE ORDINARIA
ENTRATA,04,FINANZIAMENTI DALLA REGIONE,03,ALTRI FINANZIAMENTI NON VINCOLATI
ENTRATA,04,FINANZIAMENTI DALLA REGIONE,02,DOTAZIONE PEREQUATIVA
ENTRATA,05,FINANZIAMENTI DA ENTI LOCALI O DA ALTRE ISTITUZIONI PUBBLICHE,02,PROVINCIA VINCOLATI
ENTRATA,05,FINANZIAMENTI DA ENTI LOCALI O DA ALTRE ISTITUZIONI PUBBLICHE,03,COMUNE NON VINCOLATI
ENTRATA,05,FINANZIAMENTI DA ENTI LOCALI O DA ALTRE ISTITUZIONI PUBBLICHE,06,ALTRE ISTITUZIONI VINCOLATI
ENTRATA,05,FINANZIAMENTI DA ENTI LOCALI O DA ALTRE ISTITUZIONI PUBBLICHE,01,PROVINCIA NON VINCOLATI
ENTRATA,05,FINANZIAMENTI DA ENTI LOCALI O DA ALTRE ISTITUZIONI PUBBLICHE,05,ALTRE ISTITUZIONI NON VINCOLATI
ENTRATA,05,FINANZIAMENTI DA ENTI LOCALI O DA ALTRE ISTITUZIONI PUBBLICHE,04,COMUNE VINCOLATI
ENTRATA,06,CONTRIBUTI DA PRIVATI,10,ALTRI CONTRIBUTI DA FAMIGLIE VINCOLATI
ENTRATA,06,CONTRIBUTI DA PRIVATI,11,CONTRIBUTI DA IMPRESE VINCOLATI
ENTRATA,06,CONTRIBUTI DA PRIVATI,07,ALTRI CONTRIBUTI DA FAMIGLIE NON VINCOLATI
ENTRATA,06,CONTRIBUTI DA PRIVATI,06,CONTRIBUTI PER COPERTURA ASSICURATIVA PERSONALE
ENTRATA,06,CONTRIBUTI DA PRIVATI,03,CONTRIBUTI PER MENSA SCOLASTICA
ENTRATA,06,CONTRIBUTI DA PRIVATI,01,CONTRIBUTI VOLONTARI DA FAMIGLIE
ENTRATA,06,CONTRIBUTI DA PRIVATI,09,CONTRIBUTI DA ISTITUZIONI SOCIALI PRIVATE NON VINCOLATI
ENTRATA,06,CONTRIBUTI DA PRIVATI,08,CONTRIBUTI DA IMPRESE NON VINCOLATI
ENTRATA,06,CONTRIBUTI DA PRIVATI,05,CONTRIBUTI PER COPERTURA ASSICURATIVA DEGLI ALUNNI
ENTRATA,06,CONTRIBUTI DA PRIVATI,04,CONTRIBUTI PER VISITE  VIAGGI E PROGRAMMI DI STUDIO ALL'ESTERO
ENTRATA,06,CONTRIBUTI DA PRIVATI,02,CONTRIBUTI PER ISCRIZIONE ALUNNI
ENTRATA,06,CONTRIBUTI DA PRIVATI,12,CONTRIBUTI DA ISTITUZIONI SOCIALI PRIVATE VINCOLATI
ENTRATA,07,PROVENTI DA GESTIONI ECONOMICHE,07,ATTIVITÀ CONVITTUALE
ENTRATA,07,PROVENTI DA GESTIONI ECONOMICHE,01,AZIENDA AGRARIA - PROVENTI DALLA VENDITA DI BENI DI CONSUMO
ENTRATA,07,PROVENTI DA GESTIONI ECONOMICHE,04,AZIENDA SPECIALE - PROVENTI DALLA VENDITA DI SERVIZI
ENTRATA,07,PROVENTI DA GESTIONI ECONOMICHE,03,AZIENDA SPECIALE - PROVENTI DALLA VENDITA DI BENI DI CONSUMO
ENTRATA,07,PROVENTI DA GESTIONI ECONOMICHE,06,ATTIVITÀ PER CONTO TERZI - PROVENTI DALLA VENDITA DI SERVIZI
ENTRATA,07,PROVENTI DA GESTIONI ECONOMICHE,02,AZIENDA AGRARIA - PROVENTI DALLA VENDITA DI SERVIZI
ENTRATA,07,PROVENTI DA GESTIONI ECONOMICHE,05,ATTIVITÀ PER CONTO TERZI - PROVENTI DALLA VENDITA DI BENI DI CONSUMO
ENTRATA,08,RIMBORSI E RESTITUZIONE SOMME,05,RIMBORSI  RECUPERI E RESTITUZIONI DI SOMME NON DOVUTE O INCASSATE IN ECCESSO DA IMPRESE
ENTRATA,08,RIMBORSI E RESTITUZIONE SOMME,01,RIMBORSI  RECUPERI E RESTITUZIONI DI SOMME NON DOVUTE O INCASSATE IN ECCESSO DA AMMINISTRAZIONI CENTRALI
ENTRATA,08,RIMBORSI E RESTITUZIONE SOMME,04,RIMBORSI  RECUPERI E RESTITUZIONI DI SOMME NON DOVUTE O INCASSATE IN ECCESSO DA FAMIGLIE
ENTRATA,08,RIMBORSI E RESTITUZIONE SOMME,06,RIMBORSI  RECUPERI E RESTITUZIONI DI SOMME NON DOVUTE O INCASSATE IN ECCESSO DA ISP
ENTRATA,08,RIMBORSI E RESTITUZIONE SOMME,03,RIMBORSI  RECUPERI E RESTITUZIONI DI SOMME NON DOVUTE O INCASSATE IN ECCESSO DA ENTI PREVIDENZIALI
ENTRATA,08,RIMBORSI E RESTITUZIONE SOMME,02,RIMBORSI  RECUPERI E RESTITUZIONI DI SOMME NON DOVUTE O INCASSATE IN ECCESSO DA AMMINISTRAZIONI LOCALI
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,13,ALIENAZIONE DI POSTAZIONI DI LAVORO
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,19,ALIENAZIONE DI DIRITTI REALI
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,12,ALIENAZIONE DI SERVER
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,07,ALIENAZIONE DI MOBILI E ARREDI N.A.C.
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,11,ALIENAZIONE DI MACCHINE PER UFFICIO
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,02,ALIENAZIONE DI MEZZI DI TRASPORTO AEREI
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,20,ALIENAZIONE DI MATERIALE BIBLIOGRAFICO
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,16,ALIENAZIONE DI TABLET E DISPOSITIVI DI TELEFONIA FISSA E MOBILE
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,21,ALIENAZIONE DI STRUMENTI MUSICALI
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,10,ALIENAZIONE DI ATTREZZATURE SCIENTIFICHE
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,17,ALIENAZIONE DI HARDWARE N.A.C.
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,08,ALIENAZIONE DI MACCHINARI
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,15,ALIENAZIONE DI APPARATI DI TELECOMUNICAZIONE
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,09,ALIENAZIONE DI IMPIANTI
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,04,ALIENAZIONE DI MOBILI E ARREDI PER UFFICIO
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,05,ALIENAZIONE DI MOBILI E ARREDI PER ALLOGGI E PERTINENZE
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,01,ALIENAZIONE DI MEZZI DI TRASPORTO STRADALI
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,22,ALIENAZIONI DI BENI MATERIALI N.A.C.
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,03,ALIENAZIONE DI MEZZI DI TRASPORTO PER VIE D'ACQUA
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,14,ALIENAZIONE DI PERIFERICHE
ENTRATA,09,ALIENAZIONE DI BENI MATERIALI,06,ALIENAZIONE DI MOBILI E ARREDI PER LABORATORI
