Anno,Tipologia contratto,Numero dipendenti,Giornate lavorate pro capite,Variazione percentuale occupati,Variazione percentuale giornate lavorate pro capite,Variazione percentuale giornate lavorate totali
2016.0,apprendistato,460637.0,211.9,0.0,0.0,0.0
2016.0,determinato,2246286.0,152.7,0.0,0.0,0.0
2016.0,intermittente,202156.0,75.6,0.0,0.0,0.0
2016.0,somministrato,446947.0,153.3,0.0,0.0,0.0
2016.0,stagionale,328277.0,115.2,0.0,0.0,0.0
2017.0,apprendistato,516800.0,215.1,12.2,1.5,13.9
2017.0,determinato,2791838.0,157.7,24.3,3.3,28.4
2017.0,intermittente,349142.0,72.8,72.7,-3.8,66.2
2017.0,somministrato,552252.0,157.6,23.6,2.9,27.1
2017.0,stagionale,358785.0,116.6,9.3,1.2,10.6
