STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PAY_PERIOD,Pay period,PRICE_BASE,Price base,AGGREGATION_OPERATION,Aggregation operation,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@PAY_INCIDENCE(1.0),Incidence of low and high pay,I,AUS,Australia,LP_I,Low pay incidence,PT_EMP_FT,Percentage of full-time employment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,F,Female,1975,,20.73370455,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@PAY_INCIDENCE(1.0),Incidence of low and high pay,I,AUS,Australia,LP_I,Low pay incidence,PT_EMP_FT,Percentage of full-time employment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,F,Female,1976,,19.98509193,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@PAY_INCIDENCE(1.0),Incidence of low and high pay,I,AUS,Australia,LP_I,Low pay incidence,PT_EMP_FT,Percentage of full-time employment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,F,Female,1977,,19.86065508,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@PAY_INCIDENCE(1.0),Incidence of low and high pay,I,AUS,Australia,LP_I,Low pay incidence,PT_EMP_FT,Percentage of full-time employment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,F,Female,1978,,21.02466492,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@PAY_INCIDENCE(1.0),Incidence of low and high pay,I,AUS,Australia,LP_I,Low pay incidence,PT_EMP_FT,Percentage of full-time employment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,F,Female,1979,,21.47479428,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@PAY_INCIDENCE(1.0),Incidence of low and high pay,I,AUS,Australia,LP_I,Low pay incidence,PT_EMP_FT,Percentage of full-time employment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,F,Female,1980,,22.11269792,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@PAY_INCIDENCE(1.0),Incidence of low and high pay,I,AUS,Australia,LP_I,Low pay incidence,PT_EMP_FT,Percentage of full-time employment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,F,Female,1981,,21.51277014,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@PAY_INCIDENCE(1.0),Incidence of low and high pay,I,AUS,Australia,LP_I,Low pay incidence,PT_EMP_FT,Percentage of full-time employment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,F,Female,1982,,26.91354315,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@PAY_INCIDENCE(1.0),Incidence of low and high pay,I,AUS,Australia,LP_I,Low pay incidence,PT_EMP_FT,Percentage of full-time employment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,F,Female,1983,,23.43454229,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@PAY_INCIDENCE(1.0),Incidence of low and high pay,I,AUS,Australia,LP_I,Low pay incidence,PT_EMP_FT,Percentage of full-time employment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,F,Female,1984,,22.45105149,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@PAY_INCIDENCE(1.0),Incidence of low and high pay,I,AUS,Australia,LP_I,Low pay incidence,PT_EMP_FT,Percentage of full-time employment,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,F,Female,1985,,21.11064602,,,,A,Normal value,0,Units,1,One
