STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ011_SQ005,Addressing long-term unemployment-An independent organisation,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_K1-SQ002,Ex post control procedures (internal and external),2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AT_G9,Are the following emerging/innovative technologies actively used in your country to support procurement activities?,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AT_G2-SQ009,Notification of award,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AN_D4-SQ007_SQ005,Support responsible business conduct-An independent organisation,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_A3,Are the following transparency obligations applicable?,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_B2-SQ005,Public procurement officials have to disclose their meeting agendas,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_B3-SQ004,Less than 50%,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_LD_L5,Is public procurement performance reviewed and analysed as part of public financial management?,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_F3,"Which tools are in place to improve procurement procedures, reduce duplication and achieve greater value for money?",2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MC_H4-SQ019,Project management,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_MCC_K7,Are there specific accountability/control measures for emergency procurement procedures?,2024,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PUBPRO_2024@DF_GOV_PUBPRO_2024(1.0),Public procurement - 2024,I,DNK,Denmark,A,Annual,Q_AT_I3-SQ006,Impact on trust in government,2024,,,,A,Normal value,0,Units
