ANNO_ACCADEMICO;TIPO_ISTITUTO;Area_Istituto;NOME_ISTITUTO;COMUNE_SEDE;COD_ISTITUTO;REGIONE_ISTITUTO;AREA_CORSO;TIPO_CORSO;SCUOLA;CLASSE;CORSO;GENERE;ISCRITTI
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE;M;32
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE;F;76
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA D'ARTE;F;55
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA D'ARTE;M;26
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;F;56
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;M;29
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;SCULTURA;M;9
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;SCULTURA;F;15
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Decorazione arte ambientale;F;9
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Decorazione arte ambientale;M;5
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Decorazione per gli spazi interni;F;17
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Decorazione per gli spazi interni;M;10
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;GRAFICA D'ARTE - Editoria artistica;F;15
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;GRAFICA D'ARTE - Editoria artistica;M;7
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA - Nuove Tendenze;F;15
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA - Nuove Tendenze;M;9
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;SCULTURA E NUOVE TECNOLOGIE;F;1
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DAPL09;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;M;14
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DAPL09;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;F;1
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;DIDATTICA DELL'ARTE;DAPL10;DIDATTICA DELL'ARTE;F;7
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;DIDATTICA DELL'ARTE;DAPL10;DIDATTICA DELL'ARTE;M;7
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;DIDATTICA DELL'ARTE;DASL10;DIDATTICA DELL'ARTE;F;18
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;DIDATTICA DELL'ARTE;DASL10;DIDATTICA DELL'ARTE;M;7
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DAPL11;CINEMA, FOTOGRAFIA, AUDIOVISIVO;M;73
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DAPL11;CINEMA, FOTOGRAFIA, AUDIOVISIVO;F;73
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;NUOVE TECNOLOGIE DELL'ARTE;F;65
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;NUOVE TECNOLOGIE DELL'ARTE;M;53
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;FASHION DESIGN;F;116
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;FASHION DESIGN;M;28
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;WEB DESIGN E COMUNICAZIONE VISIVA;F;101
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;WEB DESIGN E COMUNICAZIONE VISIVA;M;61
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;SCENOGRAFIA;F;60
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;SCENOGRAFIA;M;12
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DASL11;CINEMA, FOTOGRAFIA E AUDIOVISIVO - Cinema e Audiovisivo;F;14
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DASL11;CINEMA, FOTOGRAFIA E AUDIOVISIVO - Cinema e Audiovisivo;M;9
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DASL11;CINEMA, FOTOGRAFIA E AUDIOVISIVO - Fotografia;F;14
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DASL11;CINEMA, FOTOGRAFIA E AUDIOVISIVO - Fotografia;M;3
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;ARTE E PROGETTAZIONE NEL METAVERSO;F;17
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;NUOVE TECNOLOGIE PER L’ARTE;DASL08;ARTE E PROGETTAZIONE NEL METAVERSO;M;14
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;FASHION DESIGN;F;18
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;FASHION DESIGN;M;4
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA PER IL CINEMA E LA TELEVISIONE;F;11
