ANNO_ACCADEMICO;TIPO_ISTITUTO;Area_Istituto;NOME_ISTITUTO;COMUNE_SEDE;COD_ISTITUTO;REGIONE_ISTITUTO;AREA_CORSO;TIPO_CORSO;SCUOLA_AGGREGAZIONE;CLASSE;CORSO;GENERE;ISCRITTI-I-ANNO
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione - Ind. Architettura e Ambiente;F;5
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione - Ind. Moda e Design;F;10
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione - Ind. Moda e Design;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica;F;4
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica;M;4
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura;F;3
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura;M;3
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;Scultura;F;1
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Decorazione;F;9
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Decorazione;M;2
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica d'Arte;F;24
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica d'Arte;M;13
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;M;10
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;F;18
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;F;5
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Cinema e Televisione;F;4
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Cinema e Televisione;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;Scenografia - Ind. Teatro;F;2
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Nuove Tecnologie dell'Arte;F;25
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;Nuove Tecnologie dell'Arte;M;10
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia;F;11
2019-2020;Accademia di Belle Arti;Area Artistica;;BARI;7238;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;Scenografia;M;7
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione per l'architettura;F;16
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione per l'architettura;M;6
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica d'Arte;F;20
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica d'Arte;M;4
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura e Arti visive;F;24
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura e Arti visive;M;15
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;Scultura;F;16
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;Scultura;M;7
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Arte e ambiente;M;6
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Arte e ambiente;F;22
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica d'Arte;F;13
2019-2020;Accademia di Belle Arti;Area Artistica;;BOLOGNA;7195;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica d'Arte;M;12
