ANNO_ACCADEMICO;TIPO_ISTITUTO;Area_Istituto;NOME_ISTITUTO;COMUNE_SEDE;COD_ISTITUTO;REGIONE_ISTITUTO;AREA_CORSO;TIPO_CORSO;SCUOLA_AGGREGAZIONE;CLASSE;CORSO;GENERE;ISCRITTI
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Decorazione;M;20
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;Decorazione;F;30
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica;M;22
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;Grafica;F;55
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;M;42
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;Pittura;F;104
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;M;18
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;Scultura;F;29
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione - Ind. Arte pubblica;M;2
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione - Ind. Arte pubblica;F;12
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione - Ind. Spazi e Pratiche del Contemporaneo;M;1
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;Decorazione - Ind. Spazi e Pratiche del Contemporaneo;F;6
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica;M;17
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;Grafica;F;34
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura;M;46
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;Pittura;F;63
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;Scultura;M;10
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;Scultura;F;17
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso sperimentale biennale_2L (ad esaurim.);DECORAZIONE;-;Decorazione;M;2
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Arti visive;AFAM_Corso sperimentale biennale_2L (ad esaurim.);DECORAZIONE;-;Decorazione;F;2
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DAPL09;Comunicazione e valorizzazione del patrimonio artistico contemporaneo;M;5
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DAPL09;Comunicazione e valorizzazione del patrimonio artistico contemporaneo;F;74
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;DIDATTICA DELL'ARTE;DAPL10;Didattica dell'Arte;M;6
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;DIDATTICA DELL'ARTE;DAPL10;Didattica dell'Arte;F;42
2019-2020;Accademia di Belle Arti;Area Artistica;ALBERTINA;TORINO;7334;PIEMONTE;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DASL09;Comunicazione e valorizzazione del patrimonio artistico contemporaneo;M;5
