ANNO_ACCADEMICO;Area_Istituto;TIPO_ISTITUTO;NOME_ISTITUTO;COMUNE_ISTITUTO;COD_ISTITUTO;REGIONE_ISTITUTO;TIPO_CORSO;CLASSE_ETA';ISCRITTIx ETA'
2019-2020;Area Artistica;Accademia di Belle Arti;;BARI;7238;PUGLIA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;77
2019-2020;Area Artistica;Accademia di Belle Arti;;BARI;7238;PUGLIA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;266
2019-2020;Area Artistica;Accademia di Belle Arti;;BARI;7238;PUGLIA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;52
2019-2020;Area Artistica;Accademia di Belle Arti;;BARI;7238;PUGLIA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;20
2019-2020;Area Artistica;Accademia di Belle Arti;;BARI;7238;PUGLIA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;54
2019-2020;Area Artistica;Accademia di Belle Arti;;BARI;7238;PUGLIA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;42
2019-2020;Area Artistica;Accademia di Belle Arti;;BARI;7238;PUGLIA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;21
2019-2020;Area Artistica;Accademia di Belle Arti;;BOLOGNA;7195;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;191
2019-2020;Area Artistica;Accademia di Belle Arti;;BOLOGNA;7195;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;943
2019-2020;Area Artistica;Accademia di Belle Arti;;BOLOGNA;7195;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;95
2019-2020;Area Artistica;Accademia di Belle Arti;;BOLOGNA;7195;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;51
2019-2020;Area Artistica;Accademia di Belle Arti;;BOLOGNA;7195;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;364
2019-2020;Area Artistica;Accademia di Belle Arti;;BOLOGNA;7195;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 2L;da 25 a 29 anni;252
2019-2020;Area Artistica;Accademia di Belle Arti;;BOLOGNA;7195;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 2L;30 anni e oltre;83
2019-2020;Area Artistica;Accademia di Belle Arti;;BOLOGNA;7195;EMILIA ROMAGNA;AFAM_Corso Diploma accademico 2L;da 18 a 19 anni;11
2019-2020;Area Artistica;Accademia di Belle Arti;;BOLOGNA;7195;EMILIA ROMAGNA;AFAM_Corso Vecchio Ordinamento (ad esaurim.);30 anni e oltre;1
2019-2020;Area Artistica;Accademia di Belle Arti;;CARRARA;7213;TOSCANA;AFAM_Corso Diploma accademico 1L;fino a 17 anni;1
2019-2020;Area Artistica;Accademia di Belle Arti;;CARRARA;7213;TOSCANA;AFAM_Corso Diploma accademico 1L;da 18 a 19 anni;94
2019-2020;Area Artistica;Accademia di Belle Arti;;CARRARA;7213;TOSCANA;AFAM_Corso Diploma accademico 1L;da 20 a 24 anni;376
2019-2020;Area Artistica;Accademia di Belle Arti;;CARRARA;7213;TOSCANA;AFAM_Corso Diploma accademico 1L;da 25 a 29 anni;67
2019-2020;Area Artistica;Accademia di Belle Arti;;CARRARA;7213;TOSCANA;AFAM_Corso Diploma accademico 1L;30 anni e oltre;46
2019-2020;Area Artistica;Accademia di Belle Arti;;CARRARA;7213;TOSCANA;AFAM_Corso Diploma accademico 2L;da 18 a 19 anni;1
2019-2020;Area Artistica;Accademia di Belle Arti;;CARRARA;7213;TOSCANA;AFAM_Corso Diploma accademico 2L;da 20 a 24 anni;106
