query_slug,survey_year,years_after_graduation,disaggregation,table_index,section_title,measure,group_label,value_raw,value_numeric,source_url
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Numero di laureati,Collettivo selezionato,307.434,307434.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Numero di laureati,"Artistica, Letteraria ed Educazione",65.403,65403.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Numero di laureati,"Economica, Giuridica e Sociale",103.040,103040.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Numero di laureati,Sanitaria e Agro-Veterinaria,54.804,54804.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Numero di laureati,STEM,84.187,84187.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Numero di intervistati,Collettivo selezionato,199.929,199929.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Numero di intervistati,"Artistica, Letteraria ed Educazione",41.342,41342.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Numero di intervistati,"Economica, Giuridica e Sociale",66.876,66876.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Numero di intervistati,Sanitaria e Agro-Veterinaria,35.918,35918.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Numero di intervistati,STEM,55.793,55793.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
