1. Popolazione analizzata
,laurea magistrale a ciclo unico,laurea magistrale biennale,(1)
Numero di laureati,123.118,36.297,86.821
Numero di intervistati,61.063,20.787,40.276
Tasso di risposta sul totale dei laureati,"49,6","57,3","46,4"
Tasso di risposta sui laureati contattabili,"65,2","63,0","66,3"
Genere (%),,,
Uomini,"41,3","35,0","43,9"
Donne,"58,7","65,0","56,1"
"Età alla laurea (medie, in anni)","27,3","27,1","27,3"
"Voto di laurea (medie, in 110-mi)","107,1","105,2","107,8"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)","4,0","7,0","2,8"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)","2,2","2,9","1,8"
Indice di ritardo (sui laureati in atenei non telematici),"0,38","0,33","0,40"
Indice di ritardo (sui laureati in atenei telematici),"-0,19","-0,42","-0,09"

2b. Formazione post-laurea
,laurea magistrale a ciclo unico,laurea magistrale biennale,(1)
Hanno partecipato ad almeno un'attività di formazione post-laurea (%),"63,4","75,8","56,9"
Attività di formazione post-laurea: conclusa/in corso (% per attività),,,
Collaborazione volontaria,"6,6","8,1","5,8"
Tirocinio/praticantato,"19,2","37,1","10,0"
Scuola di specializzazione,"16,1","33,1","7,4"
Master universitario di primo livello,"7,4","5,9","8,1"
Altro tipo di master,"9,0","8,3","9,3"
Stage in azienda,"19,5","12,7","23,1"
Corso di formazione professionale,"3,6","3,7","3,5"
Attività sostenuta da borsa di studio,"4,9","4,0","5,3"

3. Condizione occupazionale
,laurea magistrale a ciclo unico,laurea magistrale biennale,(1)
Condizione occupazionale (%),,,
Lavorano,-,-,-
Non lavorano e non cercano,-,-,-
Non lavorano ma cercano,-,-,-
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)",-,-,-
Esperienze di lavoro post-laurea (%),,,
Non lavorano ma hanno lavorato dopo la laurea,"11,4","16,6","8,7"
Non hanno mai lavorato dopo la laurea,"7,6","12,6","5,1"
Tasso di occupazione,,,
Uomini,"92,1","92,5","92,0"
Donne,"88,3","89,6","87,5"
Totale,"89,9","90,6","89,5"
Tasso di disoccupazione,"3,9","3,5","4,2"

4. Ingresso nel mercato del lavoro
,laurea magistrale a ciclo unico,laurea magistrale biennale,(1)
Numero di occupati,0,0,0
Occupati: condizione occupazionale alla laurea (%),,,
Proseguono il lavoro iniziato prima della laurea,-,-,-
Non proseguono il lavoro iniziato prima della laurea,-,-,-
Hanno iniziato a lavorare dopo la laurea,-,-,-
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)",,,
Tempo dalla laurea all'inizio della ricerca del primo lavoro,-,-,-
Tempo dall'inizio della ricerca al reperimento del primo lavoro,-,-,-
Tempo dalla laurea al reperimento del primo lavoro,-,-,-

5. Caratteristiche dell'attuale lavoro
,laurea magistrale a ciclo unico,laurea magistrale biennale,(1)
Professione svolta (%),,,
"Imprenditori, legislatori e alta dirigenza",-,-,-
"Professioni intellettuali, scientifiche e di elevata specializzazione",-,-,-
Professioni tecniche,-,-,-
