ANNO;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;Cod_qualifica;Desc_qualifica;GENERE;Età_MEDIA
2024;TTTTT;TOTALE ITALIA;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);F;58
2024;TTTTT;TOTALE ITALIA;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);M;58
2024;TTTTT;TOTALE ITALIA;ITALIA;ITALIA;2PA;Prof. II fascia (associato);F;52
2024;TTTTT;TOTALE ITALIA;ITALIA;ITALIA;2PA;Prof. II fascia (associato);M;52
2024;TTTTT;TOTALE ITALIA;ITALIA;ITALIA;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;38
2024;TTTTT;TOTALE ITALIA;ITALIA;ITALIA;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;37
2024;TTTTT;TOTALE ITALIA;ITALIA;ITALIA;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;42
2024;TTTTT;TOTALE ITALIA;ITALIA;ITALIA;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;41
2024;TTTTT;TOTALE ITALIA;ITALIA;ITALIA;3RTD;Ricercatore a tempo determinato L. 79/2022;F;39
2024;TTTTT;TOTALE ITALIA;ITALIA;ITALIA;3RTD;Ricercatore a tempo determinato L. 79/2022;M;38
2024;TTTTT;TOTALE ITALIA;ITALIA;ITALIA;3RU;Ricercatore a tempo indeterminato;F;57
2024;TTTTT;TOTALE ITALIA;ITALIA;ITALIA;3RU;Ricercatore a tempo indeterminato;M;58
2024;TTTTT;TOTALE ITALIA;ITALIA;ITALIA;4AR;Titolare di assegno di ricerca;F;33
2024;TTTTT;TOTALE ITALIA;ITALIA;ITALIA;4AR;Titolare di assegno di ricerca;M;33
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;58
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;57
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;2PA;Prof. II fascia (associato);F;51
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;2PA;Prof. II fascia (associato);M;51
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;M;35
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;38
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;38
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;42
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;40
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 79/2022;F;38
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;57
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;58
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;33
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;34
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;54
