ANNO;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;TIPO_CONTRATTO;AREA_FUNZIONALE;GENERE;N_PERS_TA
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo determinato;01-Dirigenza amministrativa;M;57
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo indeterminato;01-Dirigenza amministrativa;F;196
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo indeterminato;01-Dirigenza amministrativa;M;292
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo determinato;01-Dirigenza amministrativa;F;31
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo determinato;02-Amministrativa ed Amministrativa-gestionale;F;1202
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo determinato;02-Amministrativa ed Amministrativa-gestionale;M;387
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo indeterminato;02-Amministrativa ed Amministrativa-gestionale;F;22811
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo indeterminato;02-Amministrativa ed Amministrativa-gestionale;M;8285
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo determinato;03-Biblioteche;F;22
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo determinato;03-Biblioteche;M;9
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo indeterminato;03-Biblioteche;F;1967
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo indeterminato;03-Biblioteche;M;795
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo indeterminato;04-Servizi generali e tecnici;F;1204
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo determinato;04-Servizi generali e tecnici;M;48
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo indeterminato;04-Servizi generali e tecnici;M;2063
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo determinato;04-Servizi generali e tecnici;F;42
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo determinato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;F;7
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo determinato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;M;1
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo indeterminato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;F;1229
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo indeterminato;05-Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;M;634
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo determinato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;F;400
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo determinato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;M;326
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo indeterminato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;F;6076
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo indeterminato;06-Tecnica, Tecnico-scientifica ed Elaborazione dati;M;9328
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Personale TA a tempo indeterminato;07-Area non individuata;M;68
