ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;SPECIALIZZANDI
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;M;411
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;99;Field unknown;F;133
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;01;Education;M;13
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;M;52
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;07;Engineering, manufacturing and construction;F;98
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;F;646
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;F;709
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;149
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;M;76
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;01;Education;F;26
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;21433
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;1573
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;04;Business, administration and law;F;116
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;633
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;29889
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;268
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;538
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;SCUOLA DI SPECIALIZZAZIONE;99;Field unknown;M;128
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;F;127
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;M;22
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;M;16
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;08;Agriculture, forestry, fisheries and veterinary;F;37
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;M;9
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;1556
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;02;Arts and humanities;F;13
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;03;Social sciences, journalism and information;M;32
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;1087
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;50
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;M;249
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;05;Natural sciences, mathematics and statistics;F;16
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;SCUOLA DI SPECIALIZZAZIONE;09;Health and welfare;F;408
