Informazioni sulla variabile;;;
Variabile;Posizione;Etichetta;Livello di misurazione
Ripartizione_geografica;1;Denominazione della regione, Area geografica e della nazione;Nominale
Ordinatore;2;Numero progressivo che permette di ordinare aree geografiche e regioni all'interno del grado scolastico, della materia e dell'anno scolastico;Scala
Significatività_19vs21;3;Significatività della differenza dei punteggi WLE tra il 2019 e il 2021;Nominale
Significatività_21vs22;4;Significatività della differenza dei punteggi WLE tra il 2021 e il 2022;Nominale
Significatività_19vs22;5;Significatività della differenza dei punteggi WLE tra il 2019 e il 2022;Nominale
Significatività_22vs23;6;Significatività della differenza dei punteggi WLE tra il 2022 e il 2023;Nominale
Grado;7;Grado scolastico;Nominale
Materia;8;Materia;Nominale
Diff_WLE_19vs21;9;Differenza punteggi WLE tra il 2019 e il 2021;Scala
Diff_WLE_21vs22;10;Differenza punteggi WLE tra il 2021 e il 2022;Scala
Diff_WLE_19vs22;11;Differenza punteggi WLE tra il 2019 e il 2022;Scala
Diff_WLE_22vs23;12;Differenza punteggi WLE tra il 2022 e il 2023;Scala
;;;
Valori di variabile;;;
Valore;;Etichetta;
Grado;Grado 10;Seconda Secondaria di Secondo Grado;
;Grado 2;Seconda Primaria;
;Grado 5;Quinta Primaria;
