Ripartizione_geografica;Ordinatore;Significatività_19vs21;Significatività_21vs22;Significatività_19vs22;Significatività_22vs23;Significatività_23vs24;Significatività_24vs25;Grado;Materia;Diff_WLE_19vs21;Diff_WLE_21vs22;Diff_WLE_19vs22;Diff_WLE_22vs23;Diff_WLE_23vs24;Diff_WLE_24vs25
Italia;99;Not Statistically significant;Statistically significant; ;Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;,415951673928902;6,00806064735363; ;-4,35300552903493;12,0283262776903;1,0122391785132
Italia;99;Not Statistically significant;Statistically significant; ;Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;1,19698423699828;4,6083071825376; ;-4,01429033545034;9,26529657797141;-1,26020088876942
Italia;99; ; ;Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-5,69110674315536;-2,36239240013586;-1,05374741258564;,76392427238568
Italia;99;Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;4,77804978078399;-7,87920426107317; ;-2,83744688803074;1,44567878927532;,02297078655576
Italia;99;Statistically significant;Statistically significant; ;Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;4,82412096990589;-6,09977920669738; ;-2,89644017865416;-,109729685259822;-,206104474396994
Italia;99; ; ;Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-6,03680139070718;-,0456436036448054;,0375208868986476;-,890575906087065
Italia;99;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-2,48368226614821;-5,75618586511035; ;-1,6545815425024;2,14923196303045;,774139024203976
Italia;99;Not Statistically significant;Statistically significant; ;Not Statistically significant;Statistically significant;Statistically significant;Grado 5;Matematica;-2,27384797026735;-5,18674462486607; ;-2,29213148121062;4,61615261984997;-3,4628794764661
Abruzzo;18;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;-7,17382506314846;10,8813486156149; ;2,08160012969071;17,1541340845406;1,97684642185865
Abruzzo;18;Not Statistically significant;Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;-,0928319141204952;8,51051601258564; ;-1,06431297812003;12,4924298671581;,452042196924083
Abruzzo;18; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-8,22749341130103;1,14921521563357;-2,06595043372835;4,06711986778643
Abruzzo;18;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;8,12900349270234;-10,9788536953269; ;-,773863389311401;4,18816327928863;-3,43116607447266
Abruzzo;18;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;,615353108813025;-3,40599989956488; ;1,49140506435415;-1,07609538345281;1,85108471007635
Abruzzo;18; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-6,81994041592597;3,78508659214299;-3,24345127177139;1,88385354921451
Abruzzo;18;Not Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;3,27937483902423;-10,8858274413199; ;4,23582892755266;4,99887007606111;-2,46219969107932
Abruzzo;18;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-1,50884465228668;,641872004151395; ;-,79548856519034;4,63746680915654;-6,98218003532466
Basilicata;23;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;-4,94097898882956;7,98749639246651; ;-5,6362674789724;11,717890893625;4,60378512066481
Basilicata;23;Not Statistically significant;Not Statistically significant; ;Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;-,103350274890431;4,94146722457302; ;-11,8705495540759;11,6574253288667;,86789564007583
Basilicata;23; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-4,85810733618879;1,43465891404142;-2,94908093794257;3,3477929212342
Basilicata;23;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;-2,42857837181072;-7,58170783016024; ;3,71672030712017;-,697102650353429;4,75600025170979
Basilicata;23;Not Statistically significant;Not Statistically significant; ;Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;1,91616271387841;-3,33221346587808; ;-9,37628680754327;1,60685348301672;4,05400282332425
Basilicata;23; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-6,94885424674914;5,02614334473768;1,07990192973941;,275147587186808
Basilicata;23;Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-15,7865306670238;-,330637138773312; ;3,23983820682759;-3,95351898159734;9,25703078692098
Basilicata;23;Statistically significant;Not Statistically significant; ;Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;-13,3310756957967;,839087076075771; ;-9,22805157636793;1,73624568152013;2,04656061388545
Calabria;24;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;9,57838643708806;-9,74434477698429; ;-4,95687667146953;14,1754806822651;4,61032889726724
Calabria;24;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;6,22682922987255;-2,27201247842052; ;-6,9638284249576;19,3346365065906;-5,07759147890189
Calabria;24; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;1,09265676549194;-4,31883213626659;-2,02790935090354;,501950877130753
Calabria;24;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;-5,26459624964119;,421586751134868; ;-4,84822204808097;3,59278633516394;5,57855493476976
Calabria;24;Statistically significant;Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;10,9458808173262;-12,1736437466797; ;5,01545185701025;-6,48764722194423;,493177037495371
Calabria;24; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-1,71778204507703;-,469963766548432;2,59373007597236;-1,49562714171114
Calabria;24;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;-,404178708365833;-3,90912115445059; ;-9,78510426880797;9,16239761091214;1,00319373512951
Calabria;24;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;4,74118917739173;-9,13399052932454; ;1,85093525102974;2,91224778749398;-2,99256728184
Campania;20;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;-1,82618044348609;6,9751938708167; ;-5,42442999929108;14,0050877261528;-3,28716812949804
Campania;20;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;,511626708355493;5,74262760890147; ;-1,76987362708789;7,54083183012943;-1,67273697028907
Campania;20; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Italiano; ; ;-5,20936728244345;-1,28778527922145;-,699583427278355;4,06946631315
Campania;20;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;8,18884387899314;-8,64180287858946; ;-1,97696543280964;2,36488460503776;2,13603754914649
Campania;20;Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;9,74388345086047;-7,23946360023908; ;-,924005277829593;,690087383923327;-3,78872661058489
Campania;20; ; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 10;Matematica; ; ;-3,8878547228932;-1,09121430570684;,758640368001267;3,12803348918541
Campania;20;Not Statistically significant;Not Statistically significant; ;Not Statistically significant;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;1,55245985921499;-3,89638457962712; ;-5,06379311184025;3,18166317182968;-1,69710669816061
