ANNO;CL_ETA';COD_QUALIFICA;DESC_QUALIFICA;N_PERS_DR
1997;Età sconosciuta;3RU;Ricercatore a tempo indeterminato;11
1997;30 - 34;1PO;Professore I fascia (ordinario);9
1997;35 - 39;1PO;Professore I fascia (ordinario);95
1997;40 - 44;1PO;Professore I fascia (ordinario);435
1997;45 - 49;1PO;Professore I fascia (ordinario);1527
1997;50 - 54;1PO;Professore I fascia (ordinario);2763
1997;55 - 59;1PO;Professore I fascia (ordinario);3369
1997;60 - 64;1PO;Professore I fascia (ordinario);2388
1997;>= 65;1PO;Professore I fascia (ordinario);2815
1997;30 - 34;2PA;Professore II fascia (associato);29
1997;35 - 39;2PA;Professore II fascia (associato);491
1997;40 - 44;2PA;Professore II fascia (associato);1479
1997;45 - 49;2PA;Professore II fascia (associato);3283
1997;50 - 54;2PA;Professore II fascia (associato);4447
1997;55 - 59;2PA;Professore II fascia (associato);3192
1997;60 - 64;2PA;Professore II fascia (associato);1625
1997;>= 65;2PA;Professore II fascia (associato);1072
1997;< 25;3RU;Ricercatore a tempo indeterminato;1
1997;25 - 29;3RU;Ricercatore a tempo indeterminato;282
1997;30 - 34;3RU;Ricercatore a tempo indeterminato;2852
1997;35 - 39;3RU;Ricercatore a tempo indeterminato;4574
1997;40 - 44;3RU;Ricercatore a tempo indeterminato;3493
1997;45 - 49;3RU;Ricercatore a tempo indeterminato;5152
1997;50 - 54;3RU;Ricercatore a tempo indeterminato;2873
1997;55 - 59;3RU;Ricercatore a tempo indeterminato;717
1997;60 - 64;3RU;Ricercatore a tempo indeterminato;182
1997;>= 65;3RU;Ricercatore a tempo indeterminato;31
1998;30 - 34;1PO;Professore I fascia (ordinario);3
1998;35 - 39;1PO;Professore I fascia (ordinario);56
1998;40 - 44;1PO;Professore I fascia (ordinario);364
1998;45 - 49;1PO;Professore I fascia (ordinario);1182
1998;50 - 54;1PO;Professore I fascia (ordinario);2586
1998;55 - 59;1PO;Professore I fascia (ordinario);3376
1998;60 - 64;1PO;Professore I fascia (ordinario);2614
1998;>= 65;1PO;Professore I fascia (ordinario);3219
1998;Età sconosciuta;1PO;Professore I fascia (ordinario);1
