Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 28,Unnamed: 29
Standard intended time,,,,,,,,,,,,,,,,,,,,,,,,,Eurydice-OECD Joint Instruction Time Data Collection 2024,,
General information on the education system ,,,,,,,,,CY,,,,,,,,,,,,,,,,,,
,Country:,,,,,,,,Cyprus,,,,,,,,,,,,,,,,,,
,Reference year:,,,,,,,,2024/25,,Total years of compulsory primary and secondary education,,,,,,,,,,,,,,,,
,Number of years compulsory primary education (ISCED 1):,,,,,,,,6,,0,,,,,,,,,,,,,,,,
,Number of years compulsory lower secondary education (ISCED 24):,,,,,,,,3,,,,9,,,,,,,,,,,,,,
,Number of years compulsory upper secondary education (ISCED 34):,,,,,,,,0,,,,,,,,,,,,,,,,,,
,Theoretical age of admission in Compulsory Primary Education:,,,,,,,,6,,,,,,,,,,,,,,,,,,
,Information given by (Week or Year):,,,,,,,,WEEK,,,,,,,,,,,,,,,,,,
,Pathway / Track / Branch:,,,,,,,,Common Core,,,,,,,,,,,,,,,,,,
,Information given in (Periods OR hours of 60 min),,,,,,,,Periods,,,,,,,,,,,,,,,,,,
Distribution of Minimum Instruction Time and Horizontal Flexibility,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grade,ISCED level,"Number of instruction days 
per school year","Number of instruction days 
per school week","Length of a period / 
lesson in minutes","Reading, writing and literature (L1)",Mathematics,Natural sciences,Social sciences,Language 2 (*),Language 3 (*),Language 4 (*),Language 5 (*),Physical Education and Health,Arts Education,Religion/Ethics/Moral education,ICT,Technology,Practical and vocational skills,Other subjects,Compulsory subjects with flexible timetable,Compulsory options chosen by the students,Compulsory flexible subjects chosen by schools,Total compulsory curriculum,Non-compulsory curriculum,Number of Weeks,Ration period/60 minutes
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,
A1,1,ISCED 1,170,5,40,272,158.66666666666666,45.33333333333333,45.33333333333333,45.33333333333333,a,a,a,45.33333333333333,90.66666666666666,45.33333333333333,a,xc:7,a,45.33333333333333,a,a,a,793.3333333333334,a,34,0.6666666666666666
A2,2,ISCED 1,170,5,40,272,158.66666666666666,45.33333333333333,45.33333333333333,45.33333333333333,a,a,a,45.33333333333333,90.66666666666666,45.33333333333333,a,xc:7,a,45.33333333333333,a,a,a,793.3333333333334,a,34,0.6666666666666666
A3,3,ISCED 1,170,5,40,226.66666666666666,158.66666666666666,45.33333333333333,90.66666666666666,45.33333333333333,a,a,a,45.33333333333333,90.66666666666666,45.33333333333333,a,xc:7,a,45.33333333333333,a,a,a,793.3333333333334,a,34,0.6666666666666666
A4,4,ISCED 1,170,5,40,226.66666666666666,158.66666666666666,45.33333333333333,90.66666666666666,45.33333333333333,a,a,a,45.33333333333333,90.66666666666666,45.33333333333333,a,xc:7,a,45.33333333333333,a,a,a,793.3333333333334,a,34,0.6666666666666666
A5,5,ISCED 1,170,5,40,204,136,45.33333333333333,90.66666666666666,45.33333333333333,a,a,a,68,90.66666666666666,45.33333333333333,a,45.33333333333333,a,22.666666666666664,a,a,a,793.3333333333334,a,34,0.6666666666666666
A6,6,ISCED 1,170,5,40,204,136,45.33333333333333,90.66666666666666,45.33333333333333,a,a,a,68,90.66666666666666,45.33333333333333,a,45.33333333333333,a,22.666666666666664,a,a,a,793.3333333333334,a,34,0.6666666666666666
A7,7,ISCED 24,158,5,42,110.6,110.6,66.36,44.24,66.36,44.24,a,a,77.42,66.36,44.24,44.24,33.18,44.24,88.48,a,a,a,840.5600000000001,a,31.6,0.7
A8,8,ISCED 24,158,5,42,110.6,88.48,110.6,44.24,66.36,44.24,a,a,66.36,88.48,44.24,44.24,22.12,22.12,88.48,a,a,a,840.5600000000001,a,31.6,0.7
A9,9,ISCED 24,158,5,42,132.72,88.48,110.6,66.36,44.24,44.24,a,a,66.36,66.36,44.24,44.24,22.12,22.12,88.48,a,a,a,840.5600000000001,a,31.6,0.7
A10,10,,,,,,,,,,,,,,,,,,,,,,,,,,
A11,11,,,,,,,,,,,,,,,,,,,,,,,,,,
A12,12,,,,,,,,,,,,,,,,,,,,,,,,,,
