Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 28,Unnamed: 29
Standard intended time,,,,,,,,,,,,,,,,,,,,,,,,,Eurydice-OECD Joint Instruction Time Data Collection 2024,,
General information on the education system ,,,,,,,,,IS,,,,,,,,,,,,,,,,,,
,Country:,,,,,,,,Iceland,,,,,,,,,,,,,,,,,,
,Reference year:,,,,,,,,2024/25,,Total years of compulsory primary and secondary education,,,,,,,,,,,,,,,,
,Number of years compulsory primary education (ISCED 1):,,,,,,,,7,,0,,,,,,,,,,,,,,,,
,Number of years compulsory lower secondary education (ISCED 24):,,,,,,,,3,,,,10,,,,,,,,,,,,,,
,Number of years compulsory upper secondary education (ISCED 34):,,,,,,,,0,,,,,,,,,,,,,,,,,,
,Theoretical age of admission in Compulsory Primary Education:,,,,,,,,6,,,,,,,,,,,,,,,,,,
,Information given by (Week or Year):,,,,,,,,WEEK,,,,,,,,,,,,,,,,,,
,Pathway / Track / Branch:,,,,,,,,,,,,,,,,,,,,,,,,,,
,Information given in (Periods OR hours of 60 min),,,,,,,,Hours (60min),,,,,,,,,,,,,,,,,,
Distribution of Minimum Instruction Time and Horizontal Flexibility,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grade,ISCED level,"Number of instruction days 
per school year","Number of instruction days 
per school week","Length of a period / 
lesson in minutes","Reading, writing and literature (L1)",Mathematics,Natural sciences,Social sciences,Language 2 (*),Language 3 (*),Language 4 (*),Language 5 (*),Physical Education and Health,Arts Education,Religion/Ethics/Moral education,ICT,Technology,Practical and vocational skills,Other subjects,Compulsory subjects with flexible timetable,Compulsory options chosen by the students,Compulsory flexible subjects chosen by schools,Total compulsory curriculum,Non-compulsory curriculum,Number of Weeks,Ration period/60 minutes
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,
A1,1,ISCED 1,170,5,40,xr:F1,xr:F1,xr:F1,xr:F1,xr:F1,xr:F1,xr:F1,a,xr:F1,xr:F1,xr:F1,xr:F1,a,xr:F1,a,a,xr:F1,xr:F1,,a,34,1
A2,2,ISCED 1,170,5,40,xr:F1,xr:F1,xr:F1,xr:F1,xr:F1,xr:F1,xr:F1,a,xr:F1,xr:F1,xr:F1,xr:F1,a,xr:F1,a,a,xr:F1,xr:F1,,a,34,1
A3,3,ISCED 1,170,5,40,xr:F1,xr:F1,xr:F1,xr:F1,xr:F1,xr:F1,xr:F1,a,xr:F1,xr:F1,xr:F1,xr:F1,a,xr:F1,a,a,xr:F1,xr:F1,,a,34,1
A4,4,ISCED 1,170,5,40,xr:F1,xr:F1,xr:F1,xr:F1,xr:F1,xr:F1,xr:F1,a,xr:F1,xr:F1,xr:F1,xr:F1,a,xr:F1,a,a,xr:F1,xr:F1,,a,34,1
A5,5,ISCED 1,170,5,40,xr:F2,xr:F2,xr:F2,xr:F2,xr:F2,xr:F2,xr:F2,a,xr:F2,xr:F2,xr:F2,xr:F2,a,xr:F2,a,a,xr:F2,xr:F2,,a,34,1
A6,6,ISCED 1,170,5,40,xr:F2,xr:F2,xr:F2,xr:F2,xr:F2,xr:F2,xr:F2,a,xr:F2,xr:F2,xr:F2,xr:F2,a,xr:F2,a,a,xr:F2,xr:F2,,a,34,1
A7,7,ISCED 1,170,5,40,xr:F2,xr:F2,xr:F2,xr:F2,xr:F2,xr:F2,xr:F2,a,xr:F2,xr:F2,xr:F2,xr:F2,a,xr:F2,a,a,xr:F2,xr:F2,,a,34,1
A8,8,ISCED 24,170,5,40,xr:F3,xr:F3,xr:F3,xr:F3,xr:F3,xr:F3,xr:F3,a,xr:F3,xr:F3,xr:F3,xr:F3,a,xr:F3,a,a,xr:F3,xr:F3,,a,34,1
A9,9,ISCED 24,170,5,40,xr:F3,xr:F3,xr:F3,xr:F3,xr:F3,xr:F3,xr:F3,a,xr:F3,xr:F3,xr:F3,xr:F3,a,xr:F3,a,a,xr:F3,xr:F3,,a,34,1
A10,10,ISCED 24,170,5,40,xr:F3,xr:F3,xr:F3,xr:F3,xr:F3,xr:F3,xr:F3,a,xr:F3,xr:F3,xr:F3,xr:F3,a,xr:F3,a,a,xr:F3,xr:F3,,a,34,1
A11,11,,,,,,,,,,,,,,,,,,,,,,,,,,1
A12,12,,,,,,,,,,,,,,,,,,,,,,,,,,1
A13,13,,,,,,,,,,,,,,,,,,,,,,,,,,1
,(*) as a compulsory subject,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of years,Distribution of Minimum Instruction Time and Horizontal Flexibility,,,,,,,,,,,,,,,,,,,,,Minimum Instruction Time: Sub-total Compulsory I,0,,,
A14,7,Primary (ISCED 1),,,,,,,,,,,,,,,,,,,,,,,,34,1
A15,3,Compulsory lower secondary (ISCED 24),,,,,,,,,,,,,,,,,,,,,,,,34,1
A16,0,Compulsory upper secondary (ISCED 34),,,,,,,,,,,,,,,,,,,,,,,,34,1
Distribution of the instruction time in the case of Vertical Flexibility,,,,,,,,,,,,,,,,,,,,,,, ,,,,
,,,,,,,,,,,,,,,,,,,,,, ,,,,,
,Group of,,Dura-,from,to,,,,,,,,,,,,,,,,,,,Total,,,
,grades,,tion,grade,grade,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,0,
F1,1-4 (ISCED 1),,4,1,4,634.6666666666667,453.33333333333337,238,328.66666666666663,45.22,xc:9,a,a,272,510,xc:8,68,a,xc:14,a,a,170,xc:21,2719.8866666666663,a,34,1
F2,5-7 (ISCED 1),,3,5,7,385.33333333333337,340,192.66666666666669,340,260.78,xc:9,xc:21,a,204,476,xc:8,90.66666666666666,a,xc:14,a,a,90.66666666666666,xc:21,2380.113333333333,a,34,1
F3,8-10 (ISCED 24),,3,8,10,357,340,204,204,476,xc:9,xc:21,a,204,192.66666666666669,xc:8,45.33333333333333,a,xc:14,a,a,493,xc:21,2516,a,34,1
F4,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F5,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F6,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F7,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F8,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F9,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F10,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F11,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F12,0,,,0,0,,,,,,,,,,,,,,,,,,,0,,,
,Number of years,Distribution of the instruction time in the case of Vertical Flexibility,,,,,,,,,,,,,,,,,,,,,Vertical Flexibility: Sub-total Compulsory II,7616,,,
F13,7,Primary (ISCED 1),,,,1020,793.3333333333334,430.6666666666667,668.6666666666666,306,0,0,0,476,986,0,158.66666666666666,0,0,0,0,260.66666666666663,0,5100,0,34,1
F14,3,Compulsory lower secondary (ISCED 24),,,,357,340,204,204,476,0,0,0,204,192.66666666666669,0,45.33333333333333,0,0,0,0,493,0,2516,0,34,1
F15,0,Compulsory upper secondary (ISCED 34),,,,,,,,,,,,,,,,,,,,,,0,,34,1
Total Instruction time,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of years,Total Instruction time,,,,,,,,,,,,,,,,,,,,,Instruction Time: Total Compulsory,7616,,,
T1,7,Primary (ISCED 1),,,,1020,793.3333333333334,430.6666666666667,668.6666666666666,306,,,,476,986,,158.66666666666666,,,,,260.66666666666663,,5100,,68,2
T2,3,Compulsory lower secondary (ISCED 24),,,,357,340,204,204,476,,,,204,192.66666666666669,,45.33333333333333,,,,,493,,2516,,68,2
T3,0,Compulsory upper secondary (ISCED 34),,,,,,,,,,,,,,,,,,,,,,,,68,2
Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percentage of students following the reported curriculum in primary education (ISCED 1),,,,,,,,,,,0.9981,,,,,,,,,,,,,,,
,Percentage of students following the reported curriculum in lower secondary education (ISCED 24),,,,,,,,,,,1,,,,,,,,,,,,,,,
,Percentage of students following the reported curriculum in upper secondary education (ISCED 34),,,,,,,,,,,na,,,,,,,,,,,,,,,
