Title: ,"School year in Europe: Recommended compulsory instruction time and holidays, 2024/2025",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,:,not available
Source: ,Eurydice,,,,,,,-,not applicable
URL:,https://eurydice.eacea.ec.europa.eu/data-and-visuals/school-year-eu-time-holidays,,,,,,,,
Copyright: ,"European Commission, 2026",,,,,,,,
Last update: ,2026-01-06 00:00:00,,,,,,,,
UnitCode,TrackCode,RefYear,ISCED,StartingAge,NrYears,TotalNrDays,AverageNrDays,ParticipationRate,NoteDays
AL,,2024/2025,ISCED 1,6,5,875,175,1,-
AL,,2024/2025,ISCED 24,11,4,700,175,1,-
AL,,2024/2025,ISCED 1_24,6,9,1575,175,,-
AT,AHS,2024/2025,ISCED 1,6,4,720,180,1,-
AT,AHS,2024/2025,ISCED 24,10,4,720,180,0.1582,-
AT,AHS,2024/2025,ISCED 1_24,6,8,1440,180,,-
AT,MS,2024/2025,ISCED 1,6,4,720,180,1,-
AT,MS,2024/2025,ISCED 24,10,4,720,180,0.6487,-
AT,MS,2024/2025,ISCED 1_24,6,8,1440,180,,-
BA,,2024/2025,ISCED 1,6,5,900,180,1,-
BA,,2024/2025,ISCED 24,11,4,710,177.5,1,-
BA,,2024/2025,ISCED 1_24,6,9,1610,178.88888888888889,,-
BE_de,,2024/2025,ISCED 1,6,6,1092,182,1,-
BE_de,,2024/2025,ISCED 24,12,2,364,182,1,-
BE_de,,2024/2025,ISCED 1_24,6,8,1456,182,,-
BE_fr,,2024/2025,ISCED 1,6,6,1062,177,1,-
BE_fr,,2024/2025,ISCED 24,12,2,354,177,0.8607,-
BE_fr,,2024/2025,ISCED 1_24,6,8,1416,177,,-
BE_nl,,2024/2025,ISCED 1,6,6,1056,176,1,-
BE_nl,,2024/2025,ISCED 24,12,2,356,178,0.837,-
BE_nl,,2024/2025,ISCED 1_24,6,8,1412,176.5,,-
BG,,2024/2025,ISCED 1,7,4,650,162.5,1,-
BG,,2024/2025,ISCED 24,11,3,520,173.33333333333334,1,-
BG,,2024/2025,ISCED 1_24,7,7,1170,167.14285714285714,,-
CH,,2024/2025,ISCED 1,6,6,1128,188,1,-
CH,,2024/2025,ISCED 24,12,3,564,188,1,-
CH,,2024/2025,ISCED 1_24,6,9,1692,188,,-
CY,,2024/2025,ISCED 1,6,6,1020,170,1,-
CY,,2024/2025,ISCED 24,12,3,474,158,0.98,-
CY,,2024/2025,ISCED 1_24,6,9,1494,166,,-
CZ,,2024/2025,ISCED 1,6,5,945,189,0.992,-
CZ,,2024/2025,ISCED 24,11,4,756,189,0.989,-
CZ,,2024/2025,ISCED 1_24,6,9,1701,189,,-
DE,,2024/2025,ISCED 1,6,4,752,188,1,-
DE,,2024/2025,ISCED 24,10,5,940,188,1,-
DE,,2024/2025,ISCED 1_24,6,9,1692,188,,-
DK,,2024/2025,ISCED 1,6,7,1400,200,1,-
DK,,2024/2025,ISCED 24,13,3,600,200,1,-
DK,,2024/2025,ISCED 1_24,6,10,2000,200,,-
EE,,2024/2025,ISCED 1,7,6,1050,175,0.98,-
EE,,2024/2025,ISCED 24,13,3,525,175,0.97,-
EE,,2024/2025,ISCED 1_24,7,9,1575,175,,-
EL,,2024/2025,ISCED 1,6,6,1014,169,0.978,-
EL,,2024/2025,ISCED 24,12,3,480,160,0.8997,-
EL,,2024/2025,ISCED 1_24,6,9,1494,166,,-
ES,,2024/2025,ISCED 1,6,6,1050,175,1,-
ES,,2024/2025,ISCED 24,12,3,525,175,1,-
ES,,2024/2025,ISCED 1_24,6,9,1575,175,,-
FI,,2024/2025,ISCED 1,7,6,1122,187,1,-
FI,,2024/2025,ISCED 24,13,3,561,187,1,-
FI,,2024/2025,ISCED 1_24,7,9,1683,187,,-
FR,,2024/2025,ISCED 1,6,5,900,180,1,-
FR,,2024/2025,ISCED 24,11,4,720,180,1,-
FR,,2024/2025,ISCED 1_24,6,9,1620,180,,-
HR,,2024/2025,ISCED 1,7,4,700,175,1,-
HR,,2024/2025,ISCED 24,11,4,700,175,1,-
HR,,2024/2025,ISCED 1_24,7,8,1400,175,,-
HU,,2024/2025,ISCED 1,6,4,732,183,,-
HU,,2024/2025,ISCED 24,10,4,732,183,,-
HU,,2024/2025,ISCED 1_24,6,8,1464,183,,-
IE,,2024/2025,ISCED 1,6,6,1083,180.5,1,-
IE,,2024/2025,ISCED 24,12,3,492,164,1,-
IE,,2024/2025,ISCED 1_24,6,9,1575,175,,-
IS,,2024/2025,ISCED 1,6,7,1190,170,0.9981,-
IS,,2024/2025,ISCED 24,13,3,510,170,1,-
IS,,2024/2025,ISCED 1_24,6,10,1700,170,,-
IT,,2024/2025,ISCED 1,6,5,1000,200,0.9936,-
IT,,2024/2025,ISCED 24,11,3,600,200,0.8422,-
