System-level indicators for monitoring education and training systems in Europe – 2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 8
System-level indicators on early leaving from education and training (ELET),,,,,,,
"Indicator 2: Learners targeted in top-level policies on individual education plans (IEPs), ISCED 1–34, 2024/2025",,,,,,,
,All learners,Learners with SEN/disabilities,Learners from refugee/migrant backgrounds,Learners from disadvantaged socioeconomic backgrounds,Other ,No policy on IEPs,
BEfr,1,1,,,,,Explanatory note:
BEde,,1,,,1,,"An individual education plan (IEP) is a personalised plan or programme of action that outlines the instruction, adaptations, and support mechanisms to be provided in order to support students’ learning according to their individual targets. It can serve as a valuable tool for delivering more comprehensive and effective support to learners."
BEnl,1,1,,,,,"IEPs are traditionally developed for students with special educational needs or disabilities. However, extending the use of IEPs to all learners—not only those with special educational needs—can help promote inclusive education by addressing the diverse learning needs of all students."
BG,,1,,,1,,Country-specific notes:
CZ,,1,,,1,,Belgium (BE fr) and Denmark: Data only apply to ISCED 1 and 24.
DK,1,,,,,,Belgium (German-speaking Community): Policy for learners with SEN/disability only applies to ISCED 1. 'Other learners' refers to 12 to 18-year-olds (ISCED 24 and 34) who are disconnected from school or training due to social and emotional issues. The Time Out facility helps them work on projects to build motivation and skills for their future education and career goals.
DE,,1,,,,,Bulgaria: 'Other learners' refers to students in an individual form of study (see Policy_description_Indicator_2).
EE,1,,,,,,"Czechia: In addition to those learners explicitly referred to in the legislation, any other student who needs support measures, including individual education plans, is eligible based on consent from the School Guidance and Counselling facility. 'Other learners' refers to exceptionally gifted pupils (at ISCED 1-34)."
IE,,,,,,1,Estonia: IEPs are more detailed for ISCED 1-24 than for 34; and with differing graduation conditions depending on whether they apply to basic or upper secondary education.
EL,,1,1,,,,Spain: 'Other learners' refers to students with late entries into the Spanish educational system.
ES,1,1,,1,1,,"Croatia, Poland, Slovenia and Serbia: 'Other learners' refers to gifted children and students."
FR,1,1,,,,,Italy: 'Other learners' refers to students not covered by the laws on students with disabilities or with learning disorders; each class council can autonomously decide if an IEP is necessary for them.
HR,,1,,,1,,Latvia: 'Other learners' refers to those who have returned from living in other country (reemigrants). 
IT,1,1,1,1,1,,"Lithuania: 'Other learners"" refers to learners requiring an IEP due to various circumstances like upper secondary education enrolment, returning from abroad, home-schooling on medical advice, studying in specialised or corrective institutions, pursuing simultaneous vocational training, or having special educational needs or exceptional talents."
CY,1,1,1,,,,Austria: At ISCED 34 there are no mandatory IEPs. 'Other learners' refers to students with a lack of knowledge of the language of instruction.
LV,,1,1,,1,,"Slovakia: 'Other learners' refers to students whose disabilities, social/economic/family circumstances, language abilities, talents, behaviour, cognitive abilities, motivation, emotionality, creativity, or skills necessitate specific support measures."
LT,,1,1,1,1,,"Finland: Data only apply to ISCED 1 and 24. 'Other learners' refers to students in the ""Preparatory Education for Programmes Leading to an Upper Secondary Qualification"" (TUVA) - a one-year, individualised education programme positioned between lower and upper secondary education."
LU,,1,1,,,,"Sweden: Written individual development plans, so-called IUPs, only apply to ISCED 1. Individual study plans for newly arrived students only apply to ISCED 2 (grades 7-9). Individual study plans for all only apply to ISCED 34. "
HU,,1,,1,,,
MT,,1,,,,,
NL,,,,,,1,
AT,,1,,,1,,
PL,,1,,,1,,
PT,1,1,1,1,,,
RO,1,1,,1,,,
SI,,1,1,,1,,
SK,1,1,1,1,1,,
FI,,1,,,1,,
SE,1,,1,,,,
AL,,,,,,1,
BA,,1,,1,,,
IS,,1,1,,,,
LI,,,,,,1,
ME,,1,,,,,
NO,1,,,,,,
RS,,1,,,1,,
TR,,1,,,,,
Source: Eurydice,,,,,,,
