"Indicator 5: Top-level policies and measures for monitoring and reaching out to non-enrolled youth, 2024/2025 - Policy description and references/links",Unnamed: 1,Unnamed: 2
,Policy description,References/web links:
BEfr,"There is collaboration with municipalities, especially in Brussels, involving local prevention units and partnerships with the non-profit organisation Foyer, which serves Roma and Travelers. ","https://accrochagescolaire.brussels/
https://www.foyer.be/"
BEde,:,:
BEnl,"Since 2018, a data linkage has been in place between Education and the VDAB database to better map these young people. As a result, the Flemish government can identify early school leavers who are neither pursuing education, training, or other forms of education, nor employed.",https://www.onderwijs.vlaanderen.be/nl/neet-jongeren
BG,"Schooling is mandatory until age 16, but students have the right to continue their education afterward. Free transportation is offered to all students who travel to schools outside their residential area, including those over 16 who choose to continue their studies. Additionally, free textbooks are available for students from 1st to 12th grade. Students over 16 who continue studying can receive social benefits until age 20. Youth mentorship programmes and access to youth and community centers are also available for students over 16 who remain in education through 12th grade.","https://www.mon.bg/dokumentatsiya/programi-i-proekti/naczionalni-programi-2024/7-np-zaedno-za-vsyako-dete/
https://www.mon.bg/regulation/zakon-za-preduchilisthnoto-i-uchilisthnoto-obrazovanie/
https://www.strategy.bg/StrategicDocuments/View.aspx?Id=1399
https://orientirane.mon.bg/files/KO-Otpadane.pdf                                                               "
CZ,"The framework for addressing non-enrolled youth ensures social inclusion and educational continuity for individuals up to 18 years. It involves collaboration with local authorities and non-profits, addressing absenteeism issues. Students receive free transportation, textbooks, and social benefits to support education beyond compulsory schooling. Guided by the Social and Legal Protection of Children Act, it includes youth mentorship, community centre involvement, and home visits. Municipal authorities conduct field social work and outreach with at-risk families. Awareness campaigns funded by the Ministry of Education highlight the importance of education and preventing risky behaviour. Trained social workers monitor progress to align measures with individual needs, following guidelines like the Methodological Recommendation on Social Work with Families at Risk.","https://www.zakonyprolidi.cz/cs/1999-359 
https://www.mpsv.cz/documents/20142/225508/Metodicke_doporuceni_MPSV_c-9.pdf/ba7a119a-a609-3383-dbaa-76ee24b356ee 
https://www.zakonyprolidi.cz/cs/2005-74 
https://www.zakonyprolidi.cz/cs/2006-108  "
DK,"The Kommunale Ungeindsats (KUI) is a municipal initiative dedicated to supporting individuals under 25 who have completed primary education but have not yet pursued secondary education or secured full-time employment (at least 20 hours per week). KUI's primary objective is to guide these young people towards further education or work opportunities. To achieve this, KUI collaborates with the individual to develop an education plan that coordinates resources and initiatives from the education, employment, and social units within the municipality, aiming to facilitate their transition into secondary education or employment.",https://www.uvm.dk/vejledning-og-stoettemuligheder/vejledning/ansvar-og-aktoerer/den-kommunale-ungeindsats
DE,"Community-based youth outreach includes several initiatives to aid young people's transition from school to work. Outreach youth social work targets those avoiding traditional services, offering professional guidance in public spaces. The JOBLINGE programme collaborates with businesses and government to combat youth unemployment through mentorship and vocational training. The Federal Employment Agency supports career orientation with online and personal counselling. Comprehensive support involves early preventative services, awareness campaigns with information about training programmes and jobs, customised funding, and a training guarantee that includes internships and mobility grants. Youth employment agencies promote cooperation among agencies for streamlined support. Additionally, the ESF Plus Programme ""JUGEND STÄRKEN: Brücken in die Eigenständigkeit"" supports young adults aged 14 to 26 with socio-educational resources to manage independent living aspects like housing and education.","https://www.socialnet.de/lexikon/Aufsuchende-Jugendsozialarbeit
https://www.joblinge.de/begleiten/
https://www.arbeitsagentur.de/
https://www.bmas.de/DE/Arbeit/Aus-und-Weiterbildung/Berufliche-Ausbildung/Ausbildungsgarantie/ausbildungsgarantie-art.html 
https://www.servicestelle-jba.de/wws/9.php#/wws/rund-um-jugendberufsagenturen.php?sid=30655750767301199753696233865018784365737962894543870073865836583790Sd93e8183 
https://www.jugend-staerken.de/just/programme/just-best"
EE,"The National Programme of Support Measures for NEETs (2023–2029) facilitates mobile youth work and youth centres to aid NEETs with basic or lower education in continuing their studies. The Youth Guarantee Support System targets individuals aged 16–29, assisting in their re-entry into education or the labour market. The proportion of NEETs is consistently monitored through the Estonian Education Information System, as well as the data from the Social Insurance Board, the Unemployment Insurance Fund, and the Employment Register.","https://harno.ee/stipendiumid-ja-toetused/noortevaldkonna-toetused/programm-mittetootavatele-ja-oppivatele-noortele#NEET_noored
https://sotsiaalkindlustusamet.ee/ngts
https://andmed.stat.ee/et/stat/eri-valdkondade-statistika__noorteseire/NH24 "
IE,:,:
