System-level indicators for monitoring education and training systems in Europe – 2025. Eurydice background report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
System-level indicators on equity in school education,,,,
"Indicator 1: Grade repetition, ISCED 1 to 34, 2024/2025",,,,
,Grade repetition is allowed in all grades,Grade repetition is allowed in some grades,Grade progression is automatic,School autonomy
BEfr,1,0,0,0
BEde,1,0,0,0
BEnl,1,0,0,0
BG,0,0,1,0
CZ,1,0,0,0
DK,1,0,0,0
DE,0,1,0,0
EE,1,0,0,0
IE,1,0,0,0
EL,1,0,0,0
ES,0,1,0,0
FR,1,0,0,0
HR,1,0,0,0
IT,1,0,0,0
CY,1,0,0,0
LV,1,0,0,0
LT,1,0,0,0
LU,0,1,0,0
HU,1,0,0,0
MT,0,0,0,1
NL,0,0,0,1
AT,1,0,0,0
PL,0,1,0,0
PT,0,1,0,0
RO,0,1,0,0
SI,0,1,0,0
SK,1,0,0,0
FI,1,0,0,0
SE,0,0,0,1
AL,1,0,0,0
BA,1,0,0,0
IS,0,0,1,0
LI,1,0,0,0
ME,0,1,0,0
NO,0,0,1,0
RS,0,1,0,0
TR,1,0,0,0
Total,22,9,3,3
Source:,Eurydice,,,
Country notes:,,,,
BG,"At ISCED 2, grade repetition is allowed in all grades. At ISCED 3, grade repetition is allowed only in some grades (i.e. not allowed in grade 12)",,,
DE,"At ISCED 2 and 3, grade repetition is allowed in all grades",,,
ES,"At ISCED 2 and 3, grade repetition is allowed in all grades",,,
LT,"At ISCED 3, grade repetition is not allowed in the last grade (grade 12)",,,
LV,"At ISCED 2, grade repetition is allowed only in some grades (i.e. not allowed in grade 9). At ISCED 3, there is no grade repetition. If a student fails to meet certain performance criteria, s/he leaves the school.",,,
LU,"At ISCED 2 and 3, grade repetition is allowed in all grades",,,
SK,"At ISCED 3, school autonomy applies",,,
FI,"ISCED 3 is based on study units with no grade-specific classes or requirements. Therefore, grade repetition does not exist at this level.",,,
IS,"At ISCED 3, grade repetition is allowed in all grades.",,,
RS,"At ISCED 3, grade repetition is allowed in all grades.",,,
