Title: ,The structure of European education systems,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Source: ,Eurydice,,,,,,,,,,
URL:,https://eurydice.eacea.ec.europa.eu/data-and-visuals/european-education-structures,,,,,,,,,,
Copyright: ,"European Commission, 2025",,,,,,,,,,
Last update: ,2025-09-04 00:00:00,,,,,,,,,,
Education system,Reference year,Name of the institution in English,Name of the programme in English,Name of the institution in national language,Name of the programme in national language,ISCED level,Minimum number of years since the beginning of tertiary education at the start of programme,Duration of programme (years),Number of ECTS credits,Additional conditions of access: work experience (number of years),ISCED 5 categorisation
AL,2025/2026,AL01.Higher vocational college,AL01.Short cycle university studies program ,Kolegjet profesionale të larta,Programe të ciklit të shkurtuar,ISCED 5,0,2,120,na,higher education
AL,2025/2026,AL02.Academia,AL02.Bachelor,Akademia ,Programe të ciklit të parë,ISCED 6,0,3,180,na,na
AL,2025/2026,AL02.Academia,AL03.Master of Science,Akademia,Programe të ciklit të dytë,ISCED 7,3,2,120,na,na
AL,2025/2026,AL03.University,AL04.Bachelor,Universiteti,Programe të ciklit të parë,ISCED 6,0,3,180,na,na
AL,2025/2026,AL03.University,AL05.Integrated programs of second cycle studies,Universiteti,Programe të integruara të ciklit të dytë,ISCED 7,0,5,300,na,na
AL,2025/2026,AL03.University,AL06.Master Professional ,Universiteti,Programe të ciklit të dytë,ISCED 7,3,1,60,na,na
AL,2025/2026,AL03.University,AL07.Master of Science,Universiteti,Programe të ciklit të dytë,ISCED 7,3,2,120,na,na
AL,2025/2026,AL03.University,AL08.PhD studies,Universiteti,Doktoratura,ISCED 8,5,3,Not applicable,na,na
AL,2025/2026,AL04.University college,AL09.Bachelor,Kolegjet universitare,Programe të ciklit të parë,ISCED 6,0,3,180,na,na
AL,2025/2026,AL04.University college,AL10.Master of Science,Kolegjet universitare,Programe të ciklit të dytë,ISCED 7,3,2,120,na,na
AT,2025/2026,AT01.School for foremen and building workers,AT01.School for foremen and building workers,Werkmeister- und Bauhandwerkerschule,Werkmeister- und Bauhandwerkerschule,ISCED 5,0,2,Not applicable,na,vocational
AT,2025/2026,AT02.Higher technical and vocational college,AT02.Add-on course,Berufsbildende höhere Schule,Aufbaulehrgang,ISCED 5,0,2,Not applicable,na,vocational
AT,2025/2026,AT02.Higher technical and vocational college,AT03.Post-secondary course in technical and vocational education,Berufsbildende höhere Schule,Kolleg,ISCED 5,0,2,Not applicable,na,vocational
AT,2025/2026,AT02.Higher technical and vocational college,"AT04.Higher technical and vocational college, grades 4-5",Berufsbildende höhere Schule,"Berufsbildende höhere Schule, Jahrgang 4-5",ISCED 5,0,2,Not applicable,na,vocational
AT,2025/2026,AT03.University,AT05.Bachelor programme,Universität,Bachelorstudium,ISCED 6,0,3,180,na,na
AT,2025/2026,AT03.University,AT06.Diploma programme,Universität,Diplomstudium,ISCED 7,0,4,240,na,na
AT,2025/2026,AT03.University,AT07.Diploma programme,Universität,Diplomstudium,ISCED 7,0,6,360,na,na
AT,2025/2026,AT03.University,AT08.Master programme,Universität,Masterstudium,ISCED 7,3,2,120,na,na
AT,2025/2026,AT03.University,AT09.Doctorate,Universität,Doktoratstudium ,ISCED 8,5,3,Not applicable,na,na
AT,2025/2026,AT04.University of applied sciences,AT10.Bachelor programme,Fachhochschule / Hochschule für Angewandte Wissenschaften,Bachelorstudium,ISCED 6,0,3,180,na,na
AT,2025/2026,AT04.University of applied sciences,AT11.Master programme,Fachhochschule / Hochschule für Angewandte Wissenschaften,Masterstudium,ISCED 7,3,2,120,na,na
AT,2025/2026,AT05.University college of teacher education,AT12.Bachelor programme,Pädagogische Hochschule,Bachelorstudium,ISCED 6,0,3,180,na,na
AT,2025/2026,AT05.University college of teacher education,AT13.Master programme,Pädagogische Hochschule,Masterstudium,ISCED 7,3,2,120,na,na
BA,2025/2026,BA01.Higher school,BA01.Bachelor degree,Visoke škole,Bacelor,ISCED 6,0,3,180,na,na
BA,2025/2026,BA02.University,BA02.Bachelor degree,Univerzitet,Bacelor,ISCED 6,0,4,240,na,na
BA,2025/2026,BA02.University,BA03.Master degree programmes (integrated studies),Univerzitet,Master (integrisani programi),ISCED 7,0,5,300,na,na
BA,2025/2026,BA02.University,BA04.Master degree programmes,Univerzitet,Master,ISCED 7,4,1,60,na,na
BA,2025/2026,BA02.University,BA05.Doctorate ,Univerzitet,Doktorat,ISCED 8,5,3,180,na,na
BEde,2025/2026,BEde01.University of applied sciences,BEde01.Bachelor programme,Hochschule,Bachelorstudium,ISCED 6,0,3,180,na,na
BEfr,2025/2026,BEfr01.University,BEfr01.Academically oriented bachelor,Université,Bachelier,ISCED 6,0,3,180,na,na
