Macro_Track,Specific_Branch,Domain,Subject,Weekly_Hours_Biennio1,Weekly_Hours_Triennio2,Weekly_Hours_Year5,Total_Hours_5_Years
Liceo,Liceo Classico,Humanities,Italiano,4,4,4,660
Liceo,Liceo Classico,Humanities,Latino,5,4,4,726
Liceo,Liceo Classico,Humanities,Greco,4,3,3,561
Liceo,Liceo Classico,Humanities,Filosofia,0,3,3,297
Liceo,Liceo Classico,Humanities,Storia e Geografia,3,3,3,495
Liceo,Liceo Classico,STEM,Matematica,3,2,2,396
Liceo,Liceo Classico,STEM,Fisica,0,2,2,198
Liceo,Liceo Classico,STEM,Scienze Naturali,2,2,2,330
Liceo,Liceo Scientifico (Tradizionale),Humanities,Italiano,4,4,4,660
Liceo,Liceo Scientifico (Tradizionale),Humanities,Latino,3,3,3,495
Liceo,Liceo Scientifico (Tradizionale),Humanities,Filosofia,0,3,3,297
Liceo,Liceo Scientifico (Tradizionale),Humanities,Storia e Geografia,3,2,2,396
Liceo,Liceo Scientifico (Tradizionale),STEM,Matematica,5,4,4,726
Liceo,Liceo Scientifico (Tradizionale),STEM,Fisica,2,3,3,429
Liceo,Liceo Scientifico (Tradizionale),STEM,Scienze Naturali,2,3,3,429
Liceo,Liceo Scientifico (Scienze Applicate),Humanities,Italiano,4,4,4,660
Liceo,Liceo Scientifico (Scienze Applicate),Humanities,Latino,0,0,0,0
Liceo,Liceo Scientifico (Scienze Applicate),Humanities,Filosofia,0,3,3,297
Liceo,Liceo Scientifico (Scienze Applicate),STEM,Matematica,5,4,4,726
Liceo,Liceo Scientifico (Scienze Applicate),STEM,Fisica,2,3,3,429
Liceo,Liceo Scientifico (Scienze Applicate),STEM,Scienze Naturali,3,5,5,759
Liceo,Liceo Scientifico (Scienze Applicate),STEM,Informatica,2,2,2,330
Liceo,Liceo Linguistico,Humanities,Italiano,4,4,4,660
Liceo,Liceo Linguistico,Humanities,Latino,2,0,0,132
Liceo,Liceo Linguistico,Humanities,"Lingua Straniere 1,2,3",9,11,11,1683
Liceo,Liceo Linguistico,STEM,Matematica/Fisica,3,4,4,594
Liceo,Liceo Scienze Umane,Humanities,Scienze Umane,4,5,5,792
Liceo,Liceo Scienze Umane,Humanities,Latino,3,2,2,396
Liceo,Liceo del Made in Italy,Humanities,Italiano,4,4,4,660
Liceo,Liceo del Made in Italy,Applied/Labor,Diritto/Economia,3,5,5,726
Liceo,Liceo del Made in Italy,Applied/Labor,Storia dell'Arte / Made in Italy,2,3,3,429
Tecnico,Tecnico Economico (AFM),Humanities,Italiano,4,4,4,660
Tecnico,Tecnico Economico (AFM),STEM,Matematica,4,3,3,561
Tecnico,Tecnico Economico (AFM),Applied/Labor,Economia Aziendale,2,6,7,759
Tecnico,Tecnico Economico (AFM),Applied/Labor,Diritto ed Economia Politica,2,5,5,627
Tecnico,Tecnico Economico (AFM),Applied/Labor,Informatica,2,2,0,264
Tecnico,Tecnico Tecnologico (Informatica),Humanities,Italiano,4,4,4,660
Tecnico,Tecnico Tecnologico (Informatica),STEM,Matematica,4,3,3,561
Tecnico,Tecnico Tecnologico (Informatica),Applied/Labor,Informatica (Lab),3,6,6,891
Tecnico,Tecnico Tecnologico (Informatica),Applied/Labor,Sistemi e Reti,0,4,4,396
Tecnico,Tecnico Tecnologico (Informatica),Applied/Labor,Tecnologie (Lab),3,3,4,495
Professionale,Professionale (Enogastronomia),Humanities,Italiano/Storia,6,4,4,792
Professionale,Professionale (Enogastronomia),STEM,Matematica,3,3,3,495
Professionale,Professionale (Enogastronomia),Applied/Labor,Laboratori Servizi Enogastronomici,6,12,14,1584
Professionale,Professionale (Enogastronomia),Applied/Labor,Scienza degli Alimenti,2,4,4,462
Professionale,Professionale (Manutenzione),Humanities,Italiano,4,4,4,660
Professionale,Professionale (Manutenzione),Applied/Labor,Laboratori Tecnologici (Officina),6,14,16,1782
Professionale,Professionale (Manutenzione),STEM,Tecnologie Meccaniche,3,5,5,693
