DATAFLOW,FREQ,CITTADINANZA,CONDIZIONE_PROF,ITTER107,SESSO,TIPO_DATO,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:52_1203(1.0),A,1,1,IT,1,28,2015,111,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,1,28,2016,97,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,1,28,2017,97,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,1,28,2018,101,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,1,28,2019,99,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,1,28,2020,100,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,2,28,2015,40,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,2,28,2016,39,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,2,28,2017,38,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,2,28,2018,44,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,2,28,2019,41,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,2,28,2020,33,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,9,28,2010,272,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,9,28,2011,233,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,9,28,2012,208,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,9,28,2013,189,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,9,28,2014,150,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,9,28,2015,151,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,9,28,2016,136,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,9,28,2017,135,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,9,28,2018,145,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,9,28,2019,140,,,,,,,,,
IT1:52_1203(1.0),A,1,1,IT,9,28,2020,134,,,,,,,,,
IT1:52_1203(1.0),A,1,2,IT,1,28,2015,94,,,,,,,,,
IT1:52_1203(1.0),A,1,2,IT,1,28,2016,90,,,,,,,,,
IT1:52_1203(1.0),A,1,2,IT,1,28,2017,87,,,,,,,,,
IT1:52_1203(1.0),A,1,2,IT,1,28,2018,76,,,,,,,,,
IT1:52_1203(1.0),A,1,2,IT,1,28,2019,66,,,,,,,,,
IT1:52_1203(1.0),A,1,2,IT,1,28,2020,63,,,,,,,,,
IT1:52_1203(1.0),A,1,2,IT,2,28,2015,48,,,,,,,,,
IT1:52_1203(1.0),A,1,2,IT,2,28,2016,45,,,,,,,,,
IT1:52_1203(1.0),A,1,2,IT,2,28,2017,45,,,,,,,,,
IT1:52_1203(1.0),A,1,2,IT,2,28,2018,45,,,,,,,,,
IT1:52_1203(1.0),A,1,2,IT,2,28,2019,42,,,,,,,,,
