freq,itter107,tipo_occ,posizprof_des,prov_dest_z,regime_orario_des,sesso,tipo_dato,time_period,obs_value,year
A,IT,9,9,ALL,9,1,GRAD_SEE,2015,67295.0,2015
A,IT,9,9,ALL,9,1,GRAD_SEE_P,2015,31.2,2015
A,IT,9,9,ALL,9,2,GRAD_SEE,2015,82004.0,2015
A,IT,9,9,ALL,9,2,GRAD_SEE_P,2015,35.7,2015
A,IT,9,9,ALL,9,9,GRAD_SEE,2015,149300.0,2015
A,IT,9,9,ALL,9,9,GRAD_SEE_P,2015,33.5,2015
A,ITC,9,9,ALL,9,1,GRAD_SEE,2015,10755.0,2015
A,ITC,9,9,ALL,9,1,GRAD_SEE_P,2015,21.9,2015
A,ITC,9,9,ALL,9,2,GRAD_SEE,2015,15398.0,2015
A,ITC,9,9,ALL,9,2,GRAD_SEE_P,2015,29.5,2015
A,ITC,9,9,ALL,9,9,GRAD_SEE,2015,26153.0,2015
A,ITC,9,9,ALL,9,9,GRAD_SEE_P,2015,25.8,2015
A,ITC1,9,9,ALL,9,1,GRAD_SEE,2015,3441.0,2015
A,ITC1,9,9,ALL,9,1,GRAD_SEE_P,2015,24.5,2015
A,ITC1,9,9,ALL,9,2,GRAD_SEE,2015,4786.0,2015
A,ITC1,9,9,ALL,9,2,GRAD_SEE_P,2015,34.4,2015
A,ITC1,9,9,ALL,9,9,GRAD_SEE,2015,8227.0,2015
A,ITC1,9,9,ALL,9,9,GRAD_SEE_P,2015,29.4,2015
A,ITC2,9,9,ALL,9,1,GRAD_SEE,2015,59.0,2015
A,ITC2,9,9,ALL,9,1,GRAD_SEE_P,2015,25.2,2015
A,ITC2,9,9,ALL,9,2,GRAD_SEE,2015,160.0,2015
A,ITC2,9,9,ALL,9,2,GRAD_SEE_P,2015,42.0,2015
A,ITC2,9,9,ALL,9,9,GRAD_SEE,2015,219.0,2015
A,ITC2,9,9,ALL,9,9,GRAD_SEE_P,2015,35.6,2015
A,ITC3,9,9,ALL,9,1,GRAD_SEE,2015,1059.0,2015
A,ITC3,9,9,ALL,9,1,GRAD_SEE_P,2015,23.7,2015
A,ITC3,9,9,ALL,9,2,GRAD_SEE,2015,1422.0,2015
A,ITC3,9,9,ALL,9,2,GRAD_SEE_P,2015,31.0,2015
A,ITC3,9,9,ALL,9,9,GRAD_SEE,2015,2481.0,2015
A,ITC3,9,9,ALL,9,9,GRAD_SEE_P,2015,27.4,2015
A,ITC4,9,9,ALL,9,1,GRAD_SEE,2015,6196.0,2015
A,ITC4,9,9,ALL,9,1,GRAD_SEE_P,2015,20.4,2015
A,ITC4,9,9,ALL,9,2,GRAD_SEE,2015,9029.0,2015
A,ITC4,9,9,ALL,9,2,GRAD_SEE_P,2015,27.1,2015
A,ITC4,9,9,ALL,9,9,GRAD_SEE,2015,15226.0,2015
A,ITC4,9,9,ALL,9,9,GRAD_SEE_P,2015,23.9,2015
A,ITD,9,9,ALL,9,1,GRAD_SEE,2015,7121.0,2015
A,ITD,9,9,ALL,9,1,GRAD_SEE_P,2015,19.6,2015
A,ITD,9,9,ALL,9,2,GRAD_SEE,2015,11665.0,2015
A,ITD,9,9,ALL,9,2,GRAD_SEE_P,2015,28.9,2015
A,ITD,9,9,ALL,9,9,GRAD_SEE,2015,18786.0,2015
A,ITD,9,9,ALL,9,9,GRAD_SEE_P,2015,24.5,2015
A,ITD1,9,9,ALL,9,1,GRAD_SEE,2015,124.0,2015
A,ITD1,9,9,ALL,9,1,GRAD_SEE_P,2015,9.8,2015
A,ITD1,9,9,ALL,9,2,GRAD_SEE,2015,234.0,2015
A,ITD1,9,9,ALL,9,2,GRAD_SEE_P,2015,13.7,2015
A,ITD1,9,9,ALL,9,9,GRAD_SEE,2015,358.0,2015
A,ITD1,9,9,ALL,9,9,GRAD_SEE_P,2015,12.0,2015
A,ITD2,9,9,ALL,9,1,GRAD_SEE,2015,349.0,2015
A,ITD2,9,9,ALL,9,1,GRAD_SEE_P,2015,21.5,2015
A,ITD2,9,9,ALL,9,2,GRAD_SEE,2015,566.0,2015
A,ITD2,9,9,ALL,9,2,GRAD_SEE_P,2015,28.8,2015
A,ITD2,9,9,ALL,9,9,GRAD_SEE,2015,915.0,2015
A,ITD2,9,9,ALL,9,9,GRAD_SEE_P,2015,25.5,2015
A,ITD3,9,9,ALL,9,1,GRAD_SEE,2015,2524.0,2015
A,ITD3,9,9,ALL,9,1,GRAD_SEE_P,2015,16.3,2015
A,ITD3,9,9,ALL,9,2,GRAD_SEE,2015,5291.0,2015
A,ITD3,9,9,ALL,9,2,GRAD_SEE_P,2015,30.9,2015
A,ITD3,9,9,ALL,9,9,GRAD_SEE,2015,7816.0,2015
A,ITD3,9,9,ALL,9,9,GRAD_SEE_P,2015,23.9,2015
