freq,ref_area,ind_type,measure,gruppo_spesa,num_componenti,tipologia_fam,cond_prof,time_period,obs_value,unit,year
A,IT,SPESA_MEDIA,15,1,1,99,99,2010,319.74,EUR,2010
A,IT,SPESA_MEDIA,15,1,1,99,99,2011,325.73,EUR,2011
A,IT,SPESA_MEDIA,15,1,1,99,99,2012,332.65,EUR,2012
A,IT,SPESA_MEDIA,15,1,1,99,99,2013,329.35,EUR,2013
A,IT,SPESA_MEDIA,15,1,2,99,99,2010,462.29,EUR,2010
A,IT,SPESA_MEDIA,15,1,2,99,99,2011,466.83,EUR,2011
A,IT,SPESA_MEDIA,15,1,2,99,99,2012,468.17,EUR,2012
A,IT,SPESA_MEDIA,15,1,2,99,99,2013,470.19,EUR,2013
A,IT,SPESA_MEDIA,15,1,3,99,99,2010,531.11,EUR,2010
A,IT,SPESA_MEDIA,15,1,3,99,99,2011,556.56,EUR,2011
A,IT,SPESA_MEDIA,15,1,3,99,99,2012,536.29,EUR,2012
A,IT,SPESA_MEDIA,15,1,3,99,99,2013,525.31,EUR,2013
A,IT,SPESA_MEDIA,15,1,4,99,99,2010,595.34,EUR,2010
A,IT,SPESA_MEDIA,15,1,4,99,99,2011,617.13,EUR,2011
A,IT,SPESA_MEDIA,15,1,4,99,99,2012,585.76,EUR,2012
A,IT,SPESA_MEDIA,15,1,4,99,99,2013,575.83,EUR,2013
A,IT,SPESA_MEDIA,15,1,7,99,99,2010,674.68,EUR,2010
A,IT,SPESA_MEDIA,15,1,7,99,99,2011,671.77,EUR,2011
A,IT,SPESA_MEDIA,15,1,7,99,99,2012,663.77,EUR,2012
A,IT,SPESA_MEDIA,15,1,7,99,99,2013,637.21,EUR,2013
A,IT,SPESA_MEDIA,15,1,99,10,99,2010,480.14,EUR,2010
A,IT,SPESA_MEDIA,15,1,99,10,99,2011,487.48,EUR,2011
A,IT,SPESA_MEDIA,15,1,99,10,99,2012,489.94,EUR,2012
A,IT,SPESA_MEDIA,15,1,99,10,99,2013,491.87,EUR,2013
A,IT,SPESA_MEDIA,15,1,99,12,99,2010,532.58,EUR,2010
A,IT,SPESA_MEDIA,15,1,99,12,99,2011,561.92,EUR,2011
A,IT,SPESA_MEDIA,15,1,99,12,99,2012,536.07,EUR,2012
A,IT,SPESA_MEDIA,15,1,99,12,99,2013,527.82,EUR,2013
A,IT,SPESA_MEDIA,15,1,99,13,99,2010,595.76,EUR,2010
A,IT,SPESA_MEDIA,15,1,99,13,99,2011,614.78,EUR,2011
A,IT,SPESA_MEDIA,15,1,99,13,99,2012,586.18,EUR,2012
A,IT,SPESA_MEDIA,15,1,99,13,99,2013,577.61,EUR,2013
A,IT,SPESA_MEDIA,15,1,99,14,99,2010,670.57,EUR,2010
A,IT,SPESA_MEDIA,15,1,99,14,99,2011,662.07,EUR,2011
A,IT,SPESA_MEDIA,15,1,99,14,99,2012,659.19,EUR,2012
A,IT,SPESA_MEDIA,15,1,99,14,99,2013,628.86,EUR,2013
A,IT,SPESA_MEDIA,15,1,99,15,99,2010,466.04,EUR,2010
A,IT,SPESA_MEDIA,15,1,99,15,99,2011,466.78,EUR,2011
A,IT,SPESA_MEDIA,15,1,99,15,99,2012,479.59,EUR,2012
A,IT,SPESA_MEDIA,15,1,99,15,99,2013,463.94,EUR,2013
A,IT,SPESA_MEDIA,15,1,99,23,99,2010,561.17,EUR,2010
A,IT,SPESA_MEDIA,15,1,99,23,99,2011,568.32,EUR,2011
A,IT,SPESA_MEDIA,15,1,99,23,99,2012,553.75,EUR,2012
A,IT,SPESA_MEDIA,15,1,99,23,99,2013,544.74,EUR,2013
A,IT,SPESA_MEDIA,15,1,99,3,99,2010,333.94,EUR,2010
A,IT,SPESA_MEDIA,15,1,99,3,99,2011,331.79,EUR,2011
A,IT,SPESA_MEDIA,15,1,99,3,99,2012,344.42,EUR,2012
A,IT,SPESA_MEDIA,15,1,99,3,99,2013,329.79,EUR,2013
A,IT,SPESA_MEDIA,15,1,99,4,99,2010,319.75,EUR,2010
A,IT,SPESA_MEDIA,15,1,99,4,99,2011,324.15,EUR,2011
A,IT,SPESA_MEDIA,15,1,99,4,99,2012,323.48,EUR,2012
A,IT,SPESA_MEDIA,15,1,99,4,99,2013,310.15,EUR,2013
A,IT,SPESA_MEDIA,15,1,99,5,99,2010,308.35,EUR,2010
A,IT,SPESA_MEDIA,15,1,99,5,99,2011,320.88,EUR,2011
