freq,cittadinanza,classe_eta,itter107,sesso,tipo_dato,titolo_studio,time_period,obs_value,year
A,FRG,Y15-34,IT,1,FOR,99,2018,505.131,2018
A,FRG,Y15-34,IT,1,FOR,99,2019,511.999,2019
A,FRG,Y15-34,IT,1,FOR,99,2020,474.531,2020
A,FRG,Y15-34,IT,1,FOR,99,2021,472.272,2021
A,FRG,Y15-34,IT,1,FOR,99,2022,474.241,2022
A,FRG,Y15-34,IT,1,FOR,99,2023,474.526,2023
A,FRG,Y15-34,IT,1,FOR,99,2024,485.297,2024
A,FRG,Y15-34,IT,2,FOR,99,2018,344.906,2018
A,FRG,Y15-34,IT,2,FOR,99,2019,327.631,2019
A,FRG,Y15-34,IT,2,FOR,99,2020,265.679,2020
A,FRG,Y15-34,IT,2,FOR,99,2021,285.023,2021
A,FRG,Y15-34,IT,2,FOR,99,2022,288.415,2022
A,FRG,Y15-34,IT,2,FOR,99,2023,262.896,2023
A,FRG,Y15-34,IT,2,FOR,99,2024,246.481,2024
A,FRG,Y15-34,IT,9,FOR,99,2018,850.037,2018
A,FRG,Y15-34,IT,9,FOR,99,2019,839.63,2019
A,FRG,Y15-34,IT,9,FOR,99,2020,740.21,2020
A,FRG,Y15-34,IT,9,FOR,99,2021,757.295,2021
A,FRG,Y15-34,IT,9,FOR,99,2022,762.656,2022
A,FRG,Y15-34,IT,9,FOR,99,2023,737.423,2023
A,FRG,Y15-34,IT,9,FOR,99,2024,731.777,2024
A,FRG,Y15-64,IT,1,FOR,99,2018,1463.487,2018
A,FRG,Y15-64,IT,1,FOR,99,2019,1505.811,2019
A,FRG,Y15-64,IT,1,FOR,99,2020,1436.862,2020
A,FRG,Y15-64,IT,1,FOR,99,2021,1472.795,2021
A,FRG,Y15-64,IT,1,FOR,99,2022,1518.597,2022
A,FRG,Y15-64,IT,1,FOR,99,2023,1503.016,2023
A,FRG,Y15-64,IT,1,FOR,99,2024,1589.755,2024
A,FRG,Y15-64,IT,2,FOR,99,2018,1214.518,2018
A,FRG,Y15-64,IT,2,FOR,99,2019,1208.342,2019
A,FRG,Y15-64,IT,2,FOR,99,2020,1061.527,2020
A,FRG,Y15-64,IT,2,FOR,99,2021,1110.525,2021
A,FRG,Y15-64,IT,2,FOR,99,2022,1130.422,2022
A,FRG,Y15-64,IT,2,FOR,99,2023,1114.17,2023
A,FRG,Y15-64,IT,2,FOR,99,2024,1139.351,2024
A,FRG,Y15-64,IT,9,FOR,99,2018,2678.005,2018
A,FRG,Y15-64,IT,9,FOR,99,2019,2714.153,2019
A,FRG,Y15-64,IT,9,FOR,99,2020,2498.389,2020
A,FRG,Y15-64,IT,9,FOR,99,2021,2583.32,2021
A,FRG,Y15-64,IT,9,FOR,99,2022,2649.02,2022
A,FRG,Y15-64,IT,9,FOR,99,2023,2617.186,2023
A,FRG,Y15-64,IT,9,FOR,99,2024,2729.105,2024
A,FRG,Y15-89,IT,1,FOR,11,2018,122.993,2018
A,FRG,Y15-89,IT,1,FOR,11,2019,126.011,2019
A,FRG,Y15-89,IT,1,FOR,11,2020,111.388,2020
A,FRG,Y15-89,IT,1,FOR,11,2021,108.211,2021
A,FRG,Y15-89,IT,1,FOR,11,2022,126.279,2022
A,FRG,Y15-89,IT,1,FOR,11,2023,131.551,2023
A,FRG,Y15-89,IT,1,FOR,11,2024,126.659,2024
A,FRG,Y15-89,IT,1,FOR,13,2018,854.819,2018
A,FRG,Y15-89,IT,1,FOR,13,2019,884.795,2019
A,FRG,Y15-89,IT,1,FOR,13,2020,850.629,2020
