freq,cittadinanza,condizione_prof,condizione_prof_eu,classe_eta,itter107,ruolo_fam,sesso,tipo_dato,titolo_studio,time_period,obs_value,year
A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET,99,2018,57.867,2018
A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET,99,2019,52.401,2019
A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET,99,2020,61.767,2020
A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET,99,2021,60.59,2021
A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET,99,2022,51.404,2022
A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET,99,2023,35.485,2023
A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET,99,2024,35.349,2024
A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET_I,99,2018,23.840953,2018
A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET_I,99,2019,21.671216,2019
A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET_I,99,2020,24.928363,2020
A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET_I,99,2021,23.963677,2021
A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET_I,99,2022,20.140266,2022
A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET_I,99,2023,14.142408,2023
A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET_I,99,2024,12.887596,2024
A,FRG,99,TOT,Y15-24,IT,TOT,2,NEET,99,2018,72.498,2018
A,FRG,99,TOT,Y15-24,IT,TOT,2,NEET,99,2019,65.292,2019
A,FRG,99,TOT,Y15-24,IT,TOT,2,NEET,99,2020,71.865,2020
A,FRG,99,TOT,Y15-24,IT,TOT,2,NEET,99,2021,74.665,2021
A,FRG,99,TOT,Y15-24,IT,TOT,2,NEET,99,2022,59.673,2022
A,FRG,99,TOT,Y15-24,IT,TOT,2,NEET,99,2023,45.659,2023
A,FRG,99,TOT,Y15-24,IT,TOT,2,NEET,99,2024,45.699,2024
A,FRG,99,TOT,Y15-24,IT,TOT,2,NEET_I,99,2018,32.608578,2018
A,FRG,99,TOT,Y15-24,IT,TOT,2,NEET_I,99,2019,28.779097,2019
A,FRG,99,TOT,Y15-24,IT,TOT,2,NEET_I,99,2020,31.752729,2020
A,FRG,99,TOT,Y15-24,IT,TOT,2,NEET_I,99,2021,31.330119,2021
A,FRG,99,TOT,Y15-24,IT,TOT,2,NEET_I,99,2022,25.801193,2022
A,FRG,99,TOT,Y15-24,IT,TOT,2,NEET_I,99,2023,21.511491,2023
A,FRG,99,TOT,Y15-24,IT,TOT,2,NEET_I,99,2024,21.22514,2024
A,FRG,99,TOT,Y15-24,IT,TOT,9,NEET,99,2018,130.365,2018
A,FRG,99,TOT,Y15-24,IT,TOT,9,NEET,99,2019,117.693,2019
A,FRG,99,TOT,Y15-24,IT,TOT,9,NEET,99,2020,133.632,2020
A,FRG,99,TOT,Y15-24,IT,TOT,9,NEET,99,2021,135.254,2021
A,FRG,99,TOT,Y15-24,IT,TOT,9,NEET,99,2022,111.077,2022
A,FRG,99,TOT,Y15-24,IT,TOT,9,NEET,99,2023,81.144,2023
A,FRG,99,TOT,Y15-24,IT,TOT,9,NEET,99,2024,81.048,2024
A,FRG,99,TOT,Y15-24,IT,TOT,9,NEET_I,99,2018,28.03247,2018
A,FRG,99,TOT,Y15-24,IT,TOT,9,NEET_I,99,2019,25.111965,2019
A,FRG,99,TOT,Y15-24,IT,TOT,9,NEET_I,99,2020,28.186161,2020
