freq,cittadinanza,condizione_prof,condizione_prof_eu,classe_eta,itter107,ruolo_fam,sesso,tipo_dato,titolo_studio,time_period,obs_value,year
A,FRG,2,TOT,Y15-24,IT,TOT,1,NEET,99,2010,24.626,2010
A,FRG,2,TOT,Y15-24,IT,TOT,1,NEET,99,2011,23.118,2011
A,FRG,2,TOT,Y15-24,IT,TOT,1,NEET,99,2012,34.806,2012
A,FRG,2,TOT,Y15-24,IT,TOT,1,NEET,99,2013,41.649,2013
A,FRG,2,TOT,Y15-24,IT,TOT,1,NEET,99,2014,40.923,2014
A,FRG,2,TOT,Y15-24,IT,TOT,1,NEET,99,2015,38.456,2015
A,FRG,2,TOT,Y15-24,IT,TOT,1,NEET,99,2016,33.999,2016
A,FRG,2,TOT,Y15-24,IT,TOT,1,NEET,99,2017,28.909,2017
A,FRG,2,TOT,Y15-24,IT,TOT,1,NEET,99,2018,31.15,2018
A,FRG,2,TOT,Y15-24,IT,TOT,1,NEET,99,2019,27.93,2019
A,FRG,2,TOT,Y15-24,IT,TOT,1,NEET,99,2020,27.603,2020
A,FRG,2,TOT,Y15-24,IT,TOT,2,NEET,99,2010,18.815,2010
A,FRG,2,TOT,Y15-24,IT,TOT,2,NEET,99,2011,21.954,2011
A,FRG,2,TOT,Y15-24,IT,TOT,2,NEET,99,2012,26.522,2012
A,FRG,2,TOT,Y15-24,IT,TOT,2,NEET,99,2013,29.629,2013
A,FRG,2,TOT,Y15-24,IT,TOT,2,NEET,99,2014,29.351,2014
A,FRG,2,TOT,Y15-24,IT,TOT,2,NEET,99,2015,26.614,2015
A,FRG,2,TOT,Y15-24,IT,TOT,2,NEET,99,2016,24.08,2016
A,FRG,2,TOT,Y15-24,IT,TOT,2,NEET,99,2017,21.719,2017
A,FRG,2,TOT,Y15-24,IT,TOT,2,NEET,99,2018,20.067,2018
A,FRG,2,TOT,Y15-24,IT,TOT,2,NEET,99,2019,18.798,2019
A,FRG,2,TOT,Y15-24,IT,TOT,2,NEET,99,2020,12.41,2020
A,FRG,2,TOT,Y15-24,IT,TOT,9,NEET,99,2010,43.441,2010
A,FRG,2,TOT,Y15-24,IT,TOT,9,NEET,99,2011,45.072,2011
A,FRG,2,TOT,Y15-24,IT,TOT,9,NEET,99,2012,61.327,2012
A,FRG,2,TOT,Y15-24,IT,TOT,9,NEET,99,2013,71.278,2013
A,FRG,2,TOT,Y15-24,IT,TOT,9,NEET,99,2014,70.274,2014
A,FRG,2,TOT,Y15-24,IT,TOT,9,NEET,99,2015,65.07,2015
A,FRG,2,TOT,Y15-24,IT,TOT,9,NEET,99,2016,58.079,2016
A,FRG,2,TOT,Y15-24,IT,TOT,9,NEET,99,2017,50.628,2017
A,FRG,2,TOT,Y15-24,IT,TOT,9,NEET,99,2018,51.217,2018
A,FRG,2,TOT,Y15-24,IT,TOT,9,NEET,99,2019,46.728,2019
A,FRG,2,TOT,Y15-24,IT,TOT,9,NEET,99,2020,40.013,2020
A,FRG,2,TOT,Y15-29,IT,TOT,1,NEET,99,2010,39.848,2010
A,FRG,2,TOT,Y15-29,IT,TOT,1,NEET,99,2011,38.773,2011
A,FRG,2,TOT,Y15-29,IT,TOT,1,NEET,99,2012,52.593,2012
A,FRG,2,TOT,Y15-29,IT,TOT,1,NEET,99,2013,69.97,2013
A,FRG,2,TOT,Y15-29,IT,TOT,1,NEET,99,2014,66.725,2014
A,FRG,2,TOT,Y15-29,IT,TOT,1,NEET,99,2015,62.879,2015
A,FRG,2,TOT,Y15-29,IT,TOT,1,NEET,99,2016,53.721,2016
A,FRG,2,TOT,Y15-29,IT,TOT,1,NEET,99,2017,53.157,2017
A,FRG,2,TOT,Y15-29,IT,TOT,1,NEET,99,2018,52.117,2018
A,FRG,2,TOT,Y15-29,IT,TOT,1,NEET,99,2019,50.352,2019
A,FRG,2,TOT,Y15-29,IT,TOT,1,NEET,99,2020,43.524,2020
A,FRG,2,TOT,Y15-29,IT,TOT,2,NEET,99,2010,38.645,2010
A,FRG,2,TOT,Y15-29,IT,TOT,2,NEET,99,2011,45.71,2011
A,FRG,2,TOT,Y15-29,IT,TOT,2,NEET,99,2012,52.094,2012
A,FRG,2,TOT,Y15-29,IT,TOT,2,NEET,99,2013,62.571,2013
A,FRG,2,TOT,Y15-29,IT,TOT,2,NEET,99,2014,61.576,2014
A,FRG,2,TOT,Y15-29,IT,TOT,2,NEET,99,2015,59.935,2015
A,FRG,2,TOT,Y15-29,IT,TOT,2,NEET,99,2016,56.554,2016
A,FRG,2,TOT,Y15-29,IT,TOT,2,NEET,99,2017,49.559,2017
A,FRG,2,TOT,Y15-29,IT,TOT,2,NEET,99,2018,43.949,2018
A,FRG,2,TOT,Y15-29,IT,TOT,2,NEET,99,2019,41.857,2019
A,FRG,2,TOT,Y15-29,IT,TOT,2,NEET,99,2020,33.078,2020
A,FRG,2,TOT,Y15-29,IT,TOT,9,NEET,99,2010,78.494,2010
A,FRG,2,TOT,Y15-29,IT,TOT,9,NEET,99,2011,84.483,2011
A,FRG,2,TOT,Y15-29,IT,TOT,9,NEET,99,2012,104.687,2012
A,FRG,2,TOT,Y15-29,IT,TOT,9,NEET,99,2013,132.541,2013
A,FRG,2,TOT,Y15-29,IT,TOT,9,NEET,99,2014,128.301,2014
A,FRG,2,TOT,Y15-29,IT,TOT,9,NEET,99,2015,122.814,2015
A,FRG,2,TOT,Y15-29,IT,TOT,9,NEET,99,2016,110.276,2016
A,FRG,2,TOT,Y15-29,IT,TOT,9,NEET,99,2017,102.716,2017
A,FRG,2,TOT,Y15-29,IT,TOT,9,NEET,99,2018,96.067,2018
A,FRG,2,TOT,Y15-29,IT,TOT,9,NEET,99,2019,92.208,2019
A,FRG,2,TOT,Y15-29,IT,TOT,9,NEET,99,2020,76.602,2020
A,FRG,2,TOT,Y15-34,IT,TOT,1,NEET,99,2010,58.725,2010
A,FRG,2,TOT,Y15-34,IT,TOT,1,NEET,99,2011,56.427,2011
A,FRG,2,TOT,Y15-34,IT,TOT,1,NEET,99,2012,78.397,2012
A,FRG,2,TOT,Y15-34,IT,TOT,1,NEET,99,2013,101.741,2013
A,FRG,2,TOT,Y15-34,IT,TOT,1,NEET,99,2014,104.273,2014
A,FRG,2,TOT,Y15-34,IT,TOT,1,NEET,99,2015,91.178,2015
A,FRG,2,TOT,Y15-34,IT,TOT,1,NEET,99,2016,83.627,2016
A,FRG,2,TOT,Y15-34,IT,TOT,1,NEET,99,2017,81.33,2017
A,FRG,2,TOT,Y15-34,IT,TOT,1,NEET,99,2018,79.611,2018
A,FRG,2,TOT,Y15-34,IT,TOT,1,NEET,99,2019,78.1,2019
A,FRG,2,TOT,Y15-34,IT,TOT,1,NEET,99,2020,70.373,2020
A,FRG,2,TOT,Y15-34,IT,TOT,2,NEET,99,2010,62.157,2010
A,FRG,2,TOT,Y15-34,IT,TOT,2,NEET,99,2011,71.466,2011
A,FRG,2,TOT,Y15-34,IT,TOT,2,NEET,99,2012,82.165,2012
A,FRG,2,TOT,Y15-34,IT,TOT,2,NEET,99,2013,97.033,2013
A,FRG,2,TOT,Y15-34,IT,TOT,2,NEET,99,2014,95.868,2014
A,FRG,2,TOT,Y15-34,IT,TOT,2,NEET,99,2015,98.104,2015
A,FRG,2,TOT,Y15-34,IT,TOT,2,NEET,99,2016,86.58,2016
A,FRG,2,TOT,Y15-34,IT,TOT,2,NEET,99,2017,83.354,2017
A,FRG,2,TOT,Y15-34,IT,TOT,2,NEET,99,2018,73.246,2018
A,FRG,2,TOT,Y15-34,IT,TOT,2,NEET,99,2019,70.037,2019
A,FRG,2,TOT,Y15-34,IT,TOT,2,NEET,99,2020,57.006,2020
A,FRG,2,TOT,Y15-34,IT,TOT,9,NEET,99,2010,120.882,2010
A,FRG,2,TOT,Y15-34,IT,TOT,9,NEET,99,2011,127.893,2011
A,FRG,2,TOT,Y15-34,IT,TOT,9,NEET,99,2012,160.562,2012
A,FRG,2,TOT,Y15-34,IT,TOT,9,NEET,99,2013,198.774,2013
A,FRG,2,TOT,Y15-34,IT,TOT,9,NEET,99,2014,200.14,2014
A,FRG,2,TOT,Y15-34,IT,TOT,9,NEET,99,2015,189.281,2015
A,FRG,2,TOT,Y15-34,IT,TOT,9,NEET,99,2016,170.207,2016
A,FRG,2,TOT,Y15-34,IT,TOT,9,NEET,99,2017,164.684,2017
A,FRG,2,TOT,Y15-34,IT,TOT,9,NEET,99,2018,152.857,2018
A,FRG,2,TOT,Y15-34,IT,TOT,9,NEET,99,2019,148.137,2019
A,FRG,2,TOT,Y15-34,IT,TOT,9,NEET,99,2020,127.379,2020
A,FRG,2,TOT,Y18-29,IT,TOT,1,NEET,99,2010,38.273,2010
A,FRG,2,TOT,Y18-29,IT,TOT,1,NEET,99,2011,37.632,2011
A,FRG,2,TOT,Y18-29,IT,TOT,1,NEET,99,2012,51.201,2012
A,FRG,2,TOT,Y18-29,IT,TOT,1,NEET,99,2013,68.433,2013
A,FRG,2,TOT,Y18-29,IT,TOT,1,NEET,99,2014,66.017,2014
A,FRG,2,TOT,Y18-29,IT,TOT,1,NEET,99,2015,61.551,2015
A,FRG,2,TOT,Y18-29,IT,TOT,1,NEET,99,2016,52.438,2016
A,FRG,2,TOT,Y18-29,IT,TOT,1,NEET,99,2017,52.642,2017
A,FRG,2,TOT,Y18-29,IT,TOT,1,NEET,99,2018,50.985,2018
A,FRG,2,TOT,Y18-29,IT,TOT,1,NEET,99,2019,49.558,2019
A,FRG,2,TOT,Y18-29,IT,TOT,1,NEET,99,2020,42.758,2020
A,FRG,2,TOT,Y18-29,IT,TOT,2,NEET,99,2010,38.421,2010
A,FRG,2,TOT,Y18-29,IT,TOT,2,NEET,99,2011,44.471,2011
A,FRG,2,TOT,Y18-29,IT,TOT,2,NEET,99,2012,51.223,2012
A,FRG,2,TOT,Y18-29,IT,TOT,2,NEET,99,2013,61.801,2013
A,FRG,2,TOT,Y18-29,IT,TOT,2,NEET,99,2014,60.683,2014
A,FRG,2,TOT,Y18-29,IT,TOT,2,NEET,99,2015,58.739,2015
A,FRG,2,TOT,Y18-29,IT,TOT,2,NEET,99,2016,55.648,2016
A,FRG,2,TOT,Y18-29,IT,TOT,2,NEET,99,2017,49.315,2017
A,FRG,2,TOT,Y18-29,IT,TOT,2,NEET,99,2018,43.398,2018
A,FRG,2,TOT,Y18-29,IT,TOT,2,NEET,99,2019,41.485,2019
A,FRG,2,TOT,Y18-29,IT,TOT,2,NEET,99,2020,33.078,2020
A,FRG,2,TOT,Y18-29,IT,TOT,9,NEET,99,2010,76.694,2010
A,FRG,2,TOT,Y18-29,IT,TOT,9,NEET,99,2011,82.102,2011
A,FRG,2,TOT,Y18-29,IT,TOT,9,NEET,99,2012,102.425,2012
A,FRG,2,TOT,Y18-29,IT,TOT,9,NEET,99,2013,130.234,2013
A,FRG,2,TOT,Y18-29,IT,TOT,9,NEET,99,2014,126.7,2014
A,FRG,2,TOT,Y18-29,IT,TOT,9,NEET,99,2015,120.29,2015
A,FRG,2,TOT,Y18-29,IT,TOT,9,NEET,99,2016,108.086,2016
A,FRG,2,TOT,Y18-29,IT,TOT,9,NEET,99,2017,101.957,2017
A,FRG,2,TOT,Y18-29,IT,TOT,9,NEET,99,2018,94.383,2018
A,FRG,2,TOT,Y18-29,IT,TOT,9,NEET,99,2019,91.044,2019
A,FRG,2,TOT,Y18-29,IT,TOT,9,NEET,99,2020,75.836,2020
A,FRG,3_4,TOT,Y15-24,IT,TOT,1,NEET,99,2010,21.751,2010
A,FRG,3_4,TOT,Y15-24,IT,TOT,1,NEET,99,2011,25.683,2011
A,FRG,3_4,TOT,Y15-24,IT,TOT,1,NEET,99,2012,30.137,2012
A,FRG,3_4,TOT,Y15-24,IT,TOT,1,NEET,99,2013,30.378,2013
A,FRG,3_4,TOT,Y15-24,IT,TOT,1,NEET,99,2014,35.494,2014
A,FRG,3_4,TOT,Y15-24,IT,TOT,1,NEET,99,2015,34.96,2015
A,FRG,3_4,TOT,Y15-24,IT,TOT,1,NEET,99,2016,31.875,2016
A,FRG,3_4,TOT,Y15-24,IT,TOT,1,NEET,99,2017,32.789,2017
A,FRG,3_4,TOT,Y15-24,IT,TOT,1,NEET,99,2018,30.482,2018
A,FRG,3_4,TOT,Y15-24,IT,TOT,1,NEET,99,2019,28.605,2019
A,FRG,3_4,TOT,Y15-24,IT,TOT,1,NEET,99,2020,38.15,2020
A,FRG,3_4,TOT,Y15-24,IT,TOT,2,NEET,99,2010,70.599,2010
