freq,ref_area,ind_type,measure,time_period,obs_value,year
A,IT,INTENS_POVASS_FAM,1,2010,17.8,2010
A,IT,INTENS_POVASS_FAM,1,2011,17.8,2011
A,IT,INTENS_POVASS_FAM,1,2012,17.3,2012
A,IT,INTENS_POVASS_FAM,1,2013,18.0,2013
A,ITCD,INTENS_POVASS_FAM,1,2010,17.2,2010
A,ITCD,INTENS_POVASS_FAM,1,2011,16.4,2011
A,ITCD,INTENS_POVASS_FAM,1,2012,16.7,2012
A,ITCD,INTENS_POVASS_FAM,1,2013,16.4,2013
A,ITE,INTENS_POVASS_FAM,1,2010,17.3,2010
A,ITE,INTENS_POVASS_FAM,1,2011,18.4,2011
A,ITE,INTENS_POVASS_FAM,1,2012,17.0,2012
A,ITE,INTENS_POVASS_FAM,1,2013,16.3,2013
A,ITFG,INTENS_POVASS_FAM,1,2010,18.6,2010
A,ITFG,INTENS_POVASS_FAM,1,2011,18.8,2011
A,ITFG,INTENS_POVASS_FAM,1,2012,18.0,2012
A,ITFG,INTENS_POVASS_FAM,1,2013,20.0,2013
