freq,ref_area,aggr,measure,time_period,obs_value,year
A,IT,FAM_POVREL,1,2010,2734.0,2010
A,IT,FAM_POVREL,1,2011,2782.0,2011
A,IT,FAM_POVREL,1,2012,3232.0,2012
A,IT,FAM_POVREL,1,2013,3230.0,2013
A,IT,INCID_POVREL_FAM,1,2010,11.0,2010
A,IT,INCID_POVREL_FAM,1,2011,11.1,2011
A,IT,INCID_POVREL_FAM,1,2012,12.7,2012
A,IT,INCID_POVREL_FAM,1,2013,12.6,2013
A,IT,INCID_POVREL_INDIV,1,2010,13.8,2010
A,IT,INCID_POVREL_INDIV,1,2011,13.6,2011
A,IT,INCID_POVREL_INDIV,1,2012,15.8,2012
A,IT,INCID_POVREL_INDIV,1,2013,16.6,2013
A,IT,INDIV_POVREL,1,2010,8272.0,2010
A,IT,INDIV_POVREL,1,2011,8173.0,2011
A,IT,INDIV_POVREL,1,2012,9563.0,2012
A,IT,INDIV_POVREL,1,2013,10048.0,2013
A,ITCD,FAM_POVREL,1,2010,593.0,2010
A,ITCD,FAM_POVREL,1,2011,601.0,2011
A,ITCD,FAM_POVREL,1,2012,760.0,2012
A,ITCD,FAM_POVREL,1,2013,733.0,2013
A,ITCD,INCID_POVREL_FAM,1,2010,4.9,2010
A,ITCD,INCID_POVREL_FAM,1,2011,4.9,2011
A,ITCD,INCID_POVREL_FAM,1,2012,6.2,2012
A,ITCD,INCID_POVREL_FAM,1,2013,6.0,2013
A,ITCD,INCID_POVREL_INDIV,1,2010,5.9,2010
A,ITCD,INCID_POVREL_INDIV,1,2011,5.9,2011
A,ITCD,INCID_POVREL_INDIV,1,2012,7.8,2012
A,ITCD,INCID_POVREL_INDIV,1,2013,8.5,2013
A,ITCD,INDIV_POVREL,1,2010,1617.0,2010
A,ITCD,INDIV_POVREL,1,2011,1634.0,2011
A,ITCD,INDIV_POVREL,1,2012,2157.0,2012
A,ITCD,INDIV_POVREL,1,2013,2350.0,2013
A,ITE,FAM_POVREL,1,2010,311.0,2010
A,ITE,FAM_POVREL,1,2011,318.0,2011
A,ITE,FAM_POVREL,1,2012,358.0,2012
A,ITE,FAM_POVREL,1,2013,393.0,2013
A,ITE,INCID_POVREL_FAM,1,2010,6.3,2010
A,ITE,INCID_POVREL_FAM,1,2011,6.4,2011
A,ITE,INCID_POVREL_FAM,1,2012,7.1,2012
A,ITE,INCID_POVREL_FAM,1,2013,7.5,2013
A,ITE,INCID_POVREL_INDIV,1,2010,8.6,2010
A,ITE,INCID_POVREL_INDIV,1,2011,7.9,2011
A,ITE,INCID_POVREL_INDIV,1,2012,9.4,2012
A,ITE,INCID_POVREL_INDIV,1,2013,10.3,2013
A,ITE,INDIV_POVREL,1,2010,1015.0,2010
A,ITE,INDIV_POVREL,1,2011,936.0,2011
A,ITE,INDIV_POVREL,1,2012,1121.0,2012
A,ITE,INDIV_POVREL,1,2013,1239.0,2013
A,ITFG,FAM_POVREL,1,2010,1829.0,2010
A,ITFG,FAM_POVREL,1,2011,1863.0,2011
A,ITFG,FAM_POVREL,1,2012,2114.0,2012
A,ITFG,FAM_POVREL,1,2013,2105.0,2013
A,ITFG,INCID_POVREL_FAM,1,2010,23.0,2010
A,ITFG,INCID_POVREL_FAM,1,2011,23.3,2011
A,ITFG,INCID_POVREL_FAM,1,2012,26.2,2012
A,ITFG,INCID_POVREL_FAM,1,2013,26.0,2013
A,ITFG,INCID_POVREL_INDIV,1,2010,27.1,2010
A,ITFG,INCID_POVREL_INDIV,1,2011,26.9,2011
A,ITFG,INCID_POVREL_INDIV,1,2012,30.2,2012
A,ITFG,INCID_POVREL_INDIV,1,2013,31.1,2013
A,ITFG,INDIV_POVREL,1,2010,5641.0,2010
A,ITFG,INDIV_POVREL,1,2011,5603.0,2011
A,ITFG,INDIV_POVREL,1,2012,6284.0,2012
A,ITFG,INDIV_POVREL,1,2013,6459.0,2013
