freq,ref_area,ind_type,measure,time_period,obs_value,year
A,IT,INTENS_POVREL_FAM,1,2010,20.7,2010
A,IT,INTENS_POVREL_FAM,1,2011,21.1,2011
A,IT,INTENS_POVREL_FAM,1,2012,19.9,2012
A,IT,INTENS_POVREL_FAM,1,2013,21.4,2013
A,ITCD,INTENS_POVREL_FAM,1,2010,18.4,2010
A,ITCD,INTENS_POVREL_FAM,1,2011,18.2,2011
A,ITCD,INTENS_POVREL_FAM,1,2012,16.7,2012
A,ITCD,INTENS_POVREL_FAM,1,2013,17.6,2013
A,ITE,INTENS_POVREL_FAM,1,2010,20.1,2010
A,ITE,INTENS_POVREL_FAM,1,2011,20.0,2011
A,ITE,INTENS_POVREL_FAM,1,2012,18.3,2012
A,ITE,INTENS_POVREL_FAM,1,2013,17.7,2013
A,ITFG,INTENS_POVREL_FAM,1,2010,21.5,2010
A,ITFG,INTENS_POVREL_FAM,1,2011,22.3,2011
A,ITFG,INTENS_POVREL_FAM,1,2012,21.4,2012
A,ITFG,INTENS_POVREL_FAM,1,2013,23.5,2013
