freq,ref_area,ind_type,measure,num_componenti,time_period,obs_value,year
A,IT,SOGLIA_POVREL,9,1,2010,595.48,2010
A,IT,SOGLIA_POVREL,9,1,2011,606.62,2011
A,IT,SOGLIA_POVREL,9,1,2012,594.53,2012
A,IT,SOGLIA_POVREL,9,1,2013,583.51,2013
A,IT,SOGLIA_POVREL,9,2,2010,992.46,2010
A,IT,SOGLIA_POVREL,9,2,2011,1011.03,2011
A,IT,SOGLIA_POVREL,9,2,2012,990.88,2012
A,IT,SOGLIA_POVREL,9,2,2013,972.52,2013
A,IT,SOGLIA_POVREL,9,3,2010,1319.97,2010
A,IT,SOGLIA_POVREL,9,3,2011,1344.67,2011
A,IT,SOGLIA_POVREL,9,3,2012,1317.87,2012
A,IT,SOGLIA_POVREL,9,3,2013,1293.45,2013
A,IT,SOGLIA_POVREL,9,4,2010,1617.71,2010
A,IT,SOGLIA_POVREL,9,4,2011,1647.98,2011
A,IT,SOGLIA_POVREL,9,4,2012,1615.13,2012
A,IT,SOGLIA_POVREL,9,4,2013,1585.21,2013
A,IT,SOGLIA_POVREL,9,5,2010,1885.67,2010
A,IT,SOGLIA_POVREL,9,5,2011,1920.96,2011
A,IT,SOGLIA_POVREL,9,5,2012,1882.67,2012
A,IT,SOGLIA_POVREL,9,5,2013,1847.79,2013
A,IT,SOGLIA_POVREL,9,6,2010,2143.71,2010
A,IT,SOGLIA_POVREL,9,6,2011,2183.82,2011
A,IT,SOGLIA_POVREL,9,6,2012,2140.3,2012
A,IT,SOGLIA_POVREL,9,6,2013,2100.64,2013
A,IT,SOGLIA_POVREL,9,9,2010,2381.9,2010
A,IT,SOGLIA_POVREL,9,9,2011,2426.47,2011
A,IT,SOGLIA_POVREL,9,9,2012,2378.11,2012
A,IT,SOGLIA_POVREL,9,9,2013,2334.05,2013
