freq,itter107,misura1,gest_scuola,ordinescol,tipo_dato,time_period,obs_value,year
A,IT,9,1,1,1,2010,15983.0,2010
A,IT,9,1,1,1,2011,15965.0,2011
A,IT,9,1,1,1,2012,15826.0,2012
A,IT,9,1,1,1,2013,15758.0,2013
A,IT,9,1,1,1,2014,15378.0,2014
A,IT,9,1,1,2,2010,50726.0,2010
A,IT,9,1,1,2,2011,50759.0,2011
A,IT,9,1,1,2,2012,50405.0,2012
A,IT,9,1,1,2,2013,50500.0,2013
A,IT,9,1,1,2,2014,50047.0,2014
A,IT,9,1,1,3,2010,1175108.0,2010
A,IT,9,1,1,3,2011,1180440.0,2011
A,IT,9,1,1,3,2012,1189694.0,2012
A,IT,9,1,1,3,2013,1188136.0,2013
A,IT,9,1,1,3,2014,1166851.0,2014
A,IT,9,1,1,4,2010,564182.0,2010
A,IT,9,1,1,4,2011,567174.0,2011
A,IT,9,1,1,4,2012,572041.0,2012
A,IT,9,1,1,4,2013,571368.0,2013
A,IT,9,1,1,4,2014,558698.0,2014
A,IT,9,1,1,7,2010,109469.0,2010
A,IT,9,1,1,7,2011,116731.0,2011
A,IT,9,1,1,7,2012,127102.0,2012
A,IT,9,1,1,7,2013,134490.0,2013
A,IT,9,1,1,7,2014,136087.0,2014
A,IT,9,1,1,8,2010,51680.0,2010
A,IT,9,1,1,8,2011,55697.0,2011
A,IT,9,1,1,8,2012,60433.0,2012
A,IT,9,1,1,8,2013,63765.0,2013
A,IT,9,1,1,8,2014,64231.0,2014
A,IT,9,1A,1,1,2010,13553.0,2010
A,IT,9,1A,1,1,2011,13537.0,2011
A,IT,9,1A,1,1,2012,13461.0,2012
A,IT,9,1A,1,1,2013,13411.0,2013
A,IT,9,1A,1,1,2014,13424.0,2014
A,IT,9,1A,1,2,2010,42800.0,2010
A,IT,9,1A,1,2,2011,42981.0,2011
A,IT,9,1A,1,2,2012,42774.0,2012
A,IT,9,1A,1,2,2013,42928.0,2013
A,IT,9,1A,1,2,2014,43436.0,2014
A,IT,9,1A,1,3,2010,993226.0,2010
A,IT,9,1A,1,3,2011,1001818.0,2011
A,IT,9,1A,1,3,2012,1013118.0,2012
A,IT,9,1A,1,3,2013,1014142.0,2013
A,IT,9,1A,1,3,2014,1013079.0,2014
A,IT,9,1A,1,4,2010,477411.0,2010
A,IT,9,1A,1,4,2011,482399.0,2011
A,IT,9,1A,1,4,2012,487841.0,2012
A,IT,9,1A,1,4,2013,488112.0,2013
A,IT,9,1A,1,4,2014,485366.0,2014
A,IT,9,1A,1,7,2010,87779.0,2010
A,IT,9,1A,1,7,2011,94338.0,2011
