freq,territorio,ind_type,measure,ordinescol,gest_scuola,time_period,obs_value,year
A,IT,SCH,9,2,1,2010,16337.0,2010
A,IT,SCH,9,2,1,2011,16113.0,2011
A,IT,SCH,9,2,1,2012,16006.0,2012
A,IT,SCH,9,2,1,2013,15876.0,2013
A,IT,SCH,9,2,1,2014,15482.0,2014
A,IT,SCH,9,2,1A,2010,15684.0,2010
A,IT,SCH,9,2,1A,2011,15567.0,2011
A,IT,SCH,9,2,1A,2012,15383.0,2012
A,IT,SCH,9,2,1A,2013,15253.0,2013
A,IT,SCH,9,2,1A,2014,15183.0,2014
A,IT,SCH,9,2,1B,2010,653.0,2010
A,IT,SCH,9,2,1B,2011,546.0,2011
A,IT,SCH,9,2,1B,2012,623.0,2012
A,IT,SCH,9,2,1B,2013,623.0,2013
A,IT,SCH,9,2,1B,2014,299.0,2014
A,IT,SCH,9,2,2,2010,1508.0,2010
A,IT,SCH,9,2,2,2011,1611.0,2011
A,IT,SCH,9,2,2,2012,1535.0,2012
A,IT,SCH,9,2,2,2013,1537.0,2013
A,IT,SCH,9,2,2,2014,1513.0,2014
A,IT,SCH,9,2,9,2010,17845.0,2010
A,IT,SCH,9,2,9,2011,17724.0,2011
A,IT,SCH,9,2,9,2012,17541.0,2012
A,IT,SCH,9,2,9,2013,17413.0,2013
A,IT,SCH,9,2,9,2014,16995.0,2014
A,IT,CLSS,9,2,1,2010,140335.0,2010
A,IT,CLSS,9,2,1,2011,138916.0,2011
A,IT,CLSS,9,2,1,2012,137159.0,2012
A,IT,CLSS,9,2,1,2013,136728.0,2013
A,IT,CLSS,9,2,1,2014,135237.0,2014
A,IT,CLSS,9,2,1A,2010,136549.0,2010
A,IT,CLSS,9,2,1A,2011,135631.0,2011
A,IT,CLSS,9,2,1A,2012,133498.0,2012
A,IT,CLSS,9,2,1A,2013,133070.0,2013
A,IT,CLSS,9,2,1A,2014,133304.0,2014
A,IT,CLSS,9,2,1B,2010,3786.0,2010
A,IT,CLSS,9,2,1B,2011,3285.0,2011
A,IT,CLSS,9,2,1B,2012,3661.0,2012
A,IT,CLSS,9,2,1B,2013,3658.0,2013
A,IT,CLSS,9,2,1B,2014,1933.0,2014
A,IT,CLSS,9,2,2,2010,9510.0,2010
A,IT,CLSS,9,2,2,2011,10342.0,2011
A,IT,CLSS,9,2,2,2012,9701.0,2012
A,IT,CLSS,9,2,2,2013,9675.0,2013
A,IT,CLSS,9,2,2,2014,9525.0,2014
A,IT,CLSS,9,2,9,2010,149845.0,2010
A,IT,CLSS,9,2,9,2011,149258.0,2011
A,IT,CLSS,9,2,9,2012,146860.0,2012
A,IT,CLSS,9,2,9,2013,146403.0,2013
A,IT,CLSS,9,2,9,2014,144762.0,2014
A,IT,ENR,9,2,1,2010,2630400.0,2010
A,IT,ENR,9,2,1,2011,2626605.0,2011
A,IT,ENR,9,2,1,2012,2623660.0,2012
A,IT,ENR,9,2,1,2013,2633702.0,2013
A,IT,ENR,9,2,1,2014,2612538.0,2014
A,IT,ENR,9,2,1A,2010,2569375.0,2010
A,IT,ENR,9,2,1A,2011,2573147.0,2011
A,IT,ENR,9,2,1A,2012,2564914.0,2012
A,IT,ENR,9,2,1A,2013,2574660.0,2013
A,IT,ENR,9,2,1A,2014,2580696.0,2014
A,IT,ENR,9,2,1B,2010,61025.0,2010
A,IT,ENR,9,2,1B,2011,53458.0,2011
A,IT,ENR,9,2,1B,2012,58746.0,2012
A,IT,ENR,9,2,1B,2013,59042.0,2013
A,IT,ENR,9,2,1B,2014,31842.0,2014
A,IT,ENR,9,2,2,2010,191746.0,2010
A,IT,ENR,9,2,2,2011,200959.0,2011
A,IT,ENR,9,2,2,2012,195074.0,2012
A,IT,ENR,9,2,2,2013,191698.0,2013
A,IT,ENR,9,2,2,2014,187015.0,2014
A,IT,ENR,9,2,9,2010,2822146.0,2010
A,IT,ENR,9,2,9,2011,2827564.0,2011
A,IT,ENR,9,2,9,2012,2818734.0,2012
A,IT,ENR,9,2,9,2013,2825400.0,2013
A,IT,ENR,9,2,9,2014,2799553.0,2014
A,IT,ENR_F,9,2,1,2010,1272856.0,2010
A,IT,ENR_F,9,2,1,2011,1269493.0,2011
A,IT,ENR_F,9,2,1,2012,1269045.0,2012
A,IT,ENR_F,9,2,1,2013,1275149.0,2013
A,IT,ENR_F,9,2,1,2014,1264144.0,2014
A,IT,ENR_F,9,2,1A,2010,1243279.0,2010
A,IT,ENR_F,9,2,1A,2011,1243600.0,2011
A,IT,ENR_F,9,2,1A,2012,1240742.0,2012
A,IT,ENR_F,9,2,1A,2013,1246647.0,2013
A,IT,ENR_F,9,2,1A,2014,1248726.0,2014
A,IT,ENR_F,9,2,1B,2010,29577.0,2010
A,IT,ENR_F,9,2,1B,2011,25893.0,2011
A,IT,ENR_F,9,2,1B,2012,28303.0,2012
A,IT,ENR_F,9,2,1B,2013,28502.0,2013
A,IT,ENR_F,9,2,1B,2014,15418.0,2014
A,IT,ENR_F,9,2,2,2010,92625.0,2010
A,IT,ENR_F,9,2,2,2011,96750.0,2011
A,IT,ENR_F,9,2,2,2012,94678.0,2012
A,IT,ENR_F,9,2,2,2013,93705.0,2013
A,IT,ENR_F,9,2,2,2014,91481.0,2014
A,IT,ENR_F,9,2,9,2010,1365481.0,2010
A,IT,ENR_F,9,2,9,2011,1366243.0,2011
A,IT,ENR_F,9,2,9,2012,1363723.0,2012
A,IT,ENR_F,9,2,9,2013,1368854.0,2013
A,IT,ENR_F,9,2,9,2014,1355625.0,2014
A,IT,REP,9,2,1,2010,8175.0,2010
A,IT,REP,9,2,1,2011,8601.0,2011
A,IT,REP,9,2,1,2012,7842.0,2012
A,IT,REP,9,2,1,2013,7014.0,2013
A,IT,REP,9,2,1,2014,9621.0,2014
A,IT,REP,9,2,1A,2010,7959.0,2010
A,IT,REP,9,2,1A,2011,8477.0,2011
A,IT,REP,9,2,1A,2012,7641.0,2012
A,IT,REP,9,2,1A,2013,6845.0,2013
A,IT,REP,9,2,1A,2014,9531.0,2014
A,IT,REP,9,2,1B,2010,216.0,2010
A,IT,REP,9,2,1B,2011,124.0,2011
A,IT,REP,9,2,1B,2012,201.0,2012
A,IT,REP,9,2,1B,2013,169.0,2013
A,IT,REP,9,2,1B,2014,90.0,2014
A,IT,REP,9,2,2,2010,600.0,2010
