DATAFLOW,FREQ,CITTADINANZA,DURATA_DISOCCUPAZ,CLASSE_ETA,ITTER107,SESSO,TIPO_DATO,TITOLO_STUDIO,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,11,2018,5.889619,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,11,2019,8.330426,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,11,2020,8.375127,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,11,2021,8.882355,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,11,2022,8.49391,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,11,2023,7.672666,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,11,2024,5.738548,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,13,2018,12.930573,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,13,2019,12.755897,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,13,2020,12.949692,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,13,2021,12.61778,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,13,2022,10.442696,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,13,2023,10.898068,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,13,2024,9.663689,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,7,2018,11.890471,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,7,2019,10.896299,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,7,2020,10.205126,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,7,2021,12.017524,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,7,2022,8.421454,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,7,2023,7.904951,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,7,2024,8.207009,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,99,2018,11.99997,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,99,2019,11.771929,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,99,2020,11.679479,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,99,2021,12.140997,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,99,2022,9.550723,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,99,2023,9.431703,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,99,2024,8.767766,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,11,2018,13.085432,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,11,2019,13.328296,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,11,2020,12.776523,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,11,2021,16.828324,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,11,2022,11.662445,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,11,2023,10.045754,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,11,2024,9.513298,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,13,2018,18.626244,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,13,2019,17.172083,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,13,2020,15.851371,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,13,2021,18.277898,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,13,2022,17.13734,,,,,,,,,
