freq,cittadinanza,durata_disoccupaz,classe_eta,itter107,sesso,tipo_dato,titolo_studio,time_period,obs_value,year
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,11,2018,5.889619,2018
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,11,2019,8.330426,2019
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,11,2020,8.375127,2020
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,11,2021,8.882355,2021
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,11,2022,8.49391,2022
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,11,2023,7.672666,2023
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,11,2024,5.738548,2024
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,13,2018,12.930573,2018
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,13,2019,12.755897,2019
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,13,2020,12.949692,2020
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,13,2021,12.61778,2021
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,13,2022,10.442696,2022
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,13,2023,10.898068,2023
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,13,2024,9.663689,2024
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,7,2018,11.890471,2018
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,7,2019,10.896299,2019
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,7,2020,10.205126,2020
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,7,2021,12.017524,2021
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,7,2022,8.421454,2022
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,7,2023,7.904951,2023
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,7,2024,8.207009,2024
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,99,2018,11.99997,2018
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,99,2019,11.771929,2019
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,99,2020,11.679479,2020
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,99,2021,12.140997,2021
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,99,2022,9.550723,2022
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,99,2023,9.431703,2023
A,FRG,TOTAL,Y15-64,IT,1,UNEM_R,99,2024,8.767766,2024
A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,11,2018,13.085432,2018
A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,11,2019,13.328296,2019
A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,11,2020,12.776523,2020
A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,11,2021,16.828324,2021
