DATAFLOW,FREQ,FASECONTOEC,ITTER107,UNIT_IST_AGGR,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:124_1157(1.0),A,201,IT,2I,2016,629672002,,,,,,,,,
IT1:124_1157(1.0),A,201,IT,2I,2017,745564051,,,,,,,,,
IT1:124_1157(1.0),A,201,IT,2I,2018,612744144,,,,,,,,,
IT1:124_1157(1.0),A,201,IT,2I,2019,521250666,,,,,,,,,
IT1:124_1157(1.0),A,201,IT,2I,2020,1027436935,,,,,,,,,
IT1:124_1157(1.0),A,201,IT,2I,2021,1019990410,,,,,,,,,
IT1:124_1157(1.0),A,201,IT,2I,2022,827206103,,,,,,,,,
IT1:124_1157(1.0),A,201,IT,2I,2023,1019101352,,,,,,,,,
IT1:124_1157(1.0),A,202,IT,2I,2016,12324362637,,,,,,,,,
IT1:124_1157(1.0),A,202,IT,2I,2017,12197529891,,,,,,,,,
IT1:124_1157(1.0),A,202,IT,2I,2018,12166753319,,,,,,,,,
IT1:124_1157(1.0),A,202,IT,2I,2019,12364053076,,,,,,,,,
IT1:124_1157(1.0),A,202,IT,2I,2020,12603316637,,,,,,,,,
IT1:124_1157(1.0),A,202,IT,2I,2021,13518199032,,,,,,,,,
IT1:124_1157(1.0),A,202,IT,2I,2022,14679373302,,,,,,,,,
IT1:124_1157(1.0),A,202,IT,2I,2023,15833485531,,,,,,,,,
IT1:124_1157(1.0),A,203,IT,2I,2016,2718720780,,,,,,,,,
IT1:124_1157(1.0),A,203,IT,2I,2017,2677179049,,,,,,,,,
IT1:124_1157(1.0),A,203,IT,2I,2018,2671421315,,,,,,,,,
IT1:124_1157(1.0),A,203,IT,2I,2019,2743521263,,,,,,,,,
IT1:124_1157(1.0),A,203,IT,2I,2020,2767685322,,,,,,,,,
IT1:124_1157(1.0),A,203,IT,2I,2021,2892679996,,,,,,,,,
IT1:124_1157(1.0),A,203,IT,2I,2022,3214212878,,,,,,,,,
IT1:124_1157(1.0),A,203,IT,2I,2023,3633589361,,,,,,,,,
IT1:124_1157(1.0),A,204,IT,2I,2016,8505332171,,,,,,,,,
IT1:124_1157(1.0),A,204,IT,2I,2017,8488904922,,,,,,,,,
IT1:124_1157(1.0),A,204,IT,2I,2018,8629532713,,,,,,,,,
IT1:124_1157(1.0),A,204,IT,2I,2019,8903807287,,,,,,,,,
IT1:124_1157(1.0),A,204,IT,2I,2020,9180627972,,,,,,,,,
IT1:124_1157(1.0),A,204,IT,2I,2021,9926777897,,,,,,,,,
IT1:124_1157(1.0),A,204,IT,2I,2022,10785649494,,,,,,,,,
IT1:124_1157(1.0),A,204,IT,2I,2023,11491503733,,,,,,,,,
IT1:124_1157(1.0),A,205,IT,2I,2016,162791074,,,,,,,,,
IT1:124_1157(1.0),A,205,IT,2I,2017,133811378,,,,,,,,,
IT1:124_1157(1.0),A,205,IT,2I,2018,61047781,,,,,,,,,
IT1:124_1157(1.0),A,205,IT,2I,2019,39002453,,,,,,,,,
IT1:124_1157(1.0),A,205,IT,2I,2020,41245710,,,,,,,,,
IT1:124_1157(1.0),A,205,IT,2I,2021,41005179,,,,,,,,,
IT1:124_1157(1.0),A,205,IT,2I,2022,47447753,,,,,,,,,
IT1:124_1157(1.0),A,205,IT,2I,2023,39592797,,,,,,,,,
IT1:124_1157(1.0),A,206,IT,2I,2016,51261879,,,,,,,,,
IT1:124_1157(1.0),A,206,IT,2I,2017,71230335,,,,,,,,,
IT1:124_1157(1.0),A,206,IT,2I,2018,104087088,,,,,,,,,
IT1:124_1157(1.0),A,206,IT,2I,2019,87978112,,,,,,,,,
IT1:124_1157(1.0),A,206,IT,2I,2020,86898218,,,,,,,,,
IT1:124_1157(1.0),A,206,IT,2I,2021,93085277,,,,,,,,,
IT1:124_1157(1.0),A,206,IT,2I,2022,112147848,,,,,,,,,
IT1:124_1157(1.0),A,206,IT,2I,2023,127136131,,,,,,,,,
IT1:124_1157(1.0),A,207,IT,2I,2016,870776309,,,,,,,,,
IT1:124_1157(1.0),A,207,IT,2I,2017,825584616,,,,,,,,,
IT1:124_1157(1.0),A,207,IT,2I,2018,699518256,,,,,,,,,
IT1:124_1157(1.0),A,207,IT,2I,2019,588539565,,,,,,,,,
IT1:124_1157(1.0),A,207,IT,2I,2020,525791016,,,,,,,,,
IT1:124_1157(1.0),A,207,IT,2I,2021,562939898,,,,,,,,,
IT1:124_1157(1.0),A,207,IT,2I,2022,518343559,,,,,,,,,
IT1:124_1157(1.0),A,207,IT,2I,2023,541475265,,,,,,,,,
IT1:124_1157(1.0),A,208,IT,2I,2016,181289,,,,,,,,,
IT1:124_1157(1.0),A,208,IT,2I,2017,298054,,,,,,,,,
IT1:124_1157(1.0),A,208,IT,2I,2018,231957,,,,,,,,,
IT1:124_1157(1.0),A,208,IT,2I,2019,382799,,,,,,,,,
IT1:124_1157(1.0),A,208,IT,2I,2020,554161,,,,,,,,,
IT1:124_1157(1.0),A,208,IT,2I,2021,269886,,,,,,,,,
IT1:124_1157(1.0),A,208,IT,2I,2022,432139,,,,,,,,,
IT1:124_1157(1.0),A,208,IT,2I,2023,-513617,,,,,,,,,
IT1:124_1157(1.0),A,209,IT,2I,2016,15299135,,,,,,,,,
IT1:124_1157(1.0),A,209,IT,2I,2017,521537,,,,,,,,,
IT1:124_1157(1.0),A,209,IT,2I,2018,914209,,,,,,,,,
IT1:124_1157(1.0),A,209,IT,2I,2019,821597,,,,,,,,,
IT1:124_1157(1.0),A,209,IT,2I,2020,514238,,,,,,,,,
IT1:124_1157(1.0),A,209,IT,2I,2021,1440899,,,,,,,,,
IT1:124_1157(1.0),A,209,IT,2I,2022,1139631,,,,,,,,,
IT1:124_1157(1.0),A,209,IT,2I,2023,701861,,,,,,,,,
IT1:124_1157(1.0),A,210,IT,2I,2016,11482480561,,,,,,,,,
IT1:124_1157(1.0),A,210,IT,2I,2017,11257784660,,,,,,,,,
IT1:124_1157(1.0),A,210,IT,2I,2018,11217136176,,,,,,,,,
IT1:124_1157(1.0),A,210,IT,2I,2019,11498886378,,,,,,,,,
IT1:124_1157(1.0),A,210,IT,2I,2020,11308082585,,,,,,,,,
