freq,ref_area,data_type,sex,type_of_degree,field_study,labprof_status_e,labprof_status_d,employ_sector_pubpriv,econ_activity_nace_2007,professione,y_grad_access_work,y_use_of_graduation,year_educ_attainem,time_period,obs_value,year,source,flow_id,description
A,ITTOT,INC,1,72,1,TOT,9,9,0010,ALL,9,9,2011,2015,1400,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,72,10,TOT,9,9,0010,ALL,9,9,2011,2015,1517,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,72,11,TOT,9,9,0010,ALL,9,9,2011,2015,1000,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,72,12,TOT,9,9,0010,ALL,9,9,2011,2015,1192,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,72,13,TOT,9,9,0010,ALL,9,9,2011,2015,1463,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,72,14,TOT,9,9,0010,ALL,9,9,2011,2015,950,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,72,15,TOT,9,9,0010,ALL,9,9,2011,2015,900,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,72,16,TOT,9,9,0010,ALL,9,9,2011,2015,1950,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,72,2,TOT,9,9,0010,ALL,9,9,2011,2015,1400,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,72,3,TOT,9,9,0010,ALL,9,9,2011,2015,1138,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,72,4,TOT,9,9,0010,ALL,9,9,2011,2015,1517,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,72,5,TOT,9,9,0010,ALL,9,9,2011,2015,1496,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,72,6,TOT,9,9,0010,ALL,9,9,2011,2015,1167,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,72,7,TOT,9,9,0010,ALL,9,9,2011,2015,1283,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,72,8,TOT,9,9,0010,ALL,9,9,2011,2015,1458,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,72,9,TOT,9,9,0010,ALL,9,9,2011,2015,1517,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,72,99,TOT,9,9,0010,ALL,9,9,2011,2015,1400,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,73,1,TOT,9,9,0010,ALL,9,9,2011,2015,1528,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,73,10,TOT,9,9,0010,ALL,9,9,2011,2015,1300,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,73,11,TOT,9,9,0010,ALL,9,9,2011,2015,1200,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,73,12,TOT,9,9,0010,ALL,9,9,2011,2015,1300,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,73,13,TOT,9,9,0010,ALL,9,9,2011,2015,1408,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,73,14,TOT,9,9,0010,ALL,9,9,2011,2015,1183,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,73,15,TOT,9,9,0010,ALL,9,9,2011,2015,1225,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,73,16,TOT,9,9,0010,ALL,9,9,2011,2015,2058,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,73,2,TOT,9,9,0010,ALL,9,9,2011,2015,1550,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,73,3,TOT,9,9,0010,ALL,9,9,2011,2015,1350,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,73,4,TOT,9,9,0010,ALL,9,9,2011,2015,1700,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,73,5,TOT,9,9,0010,ALL,9,9,2011,2015,1700,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,73,6,TOT,9,9,0010,ALL,9,9,2011,2015,1250,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,73,7,TOT,9,9,0010,ALL,9,9,2011,2015,1300,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,73,8,TOT,9,9,0010,ALL,9,9,2011,2015,1633,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,73,9,TOT,9,9,0010,ALL,9,9,2011,2015,1500,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,73,99,TOT,9,9,0010,ALL,9,9,2011,2015,1575,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,99,1,TOT,9,9,0010,ALL,9,9,2011,2015,1458,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,99,10,TOT,9,9,0010,ALL,9,9,2011,2015,1400,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,99,11,TOT,9,9,0010,ALL,9,9,2011,2015,1033,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,99,12,TOT,9,9,0010,ALL,9,9,2011,2015,1200,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,99,13,TOT,9,9,0010,ALL,9,9,2011,2015,1408,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,99,14,TOT,9,9,0010,ALL,9,9,2011,2015,1083,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,99,15,TOT,9,9,0010,ALL,9,9,2011,2015,1000,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,99,16,TOT,9,9,0010,ALL,9,9,2011,2015,1983,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,99,2,TOT,9,9,0010,ALL,9,9,2011,2015,1500,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,99,3,TOT,9,9,0010,ALL,9,9,2011,2015,1260,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,99,4,TOT,9,9,0010,ALL,9,9,2011,2015,1625,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,99,5,TOT,9,9,0010,ALL,9,9,2011,2015,1617,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,99,6,TOT,9,9,0010,ALL,9,9,2011,2015,1200,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,99,7,TOT,9,9,0010,ALL,9,9,2011,2015,1287,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
A,ITTOT,INC,1,99,8,TOT,9,9,0010,ALL,9,9,2011,2015,1517,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_3,Degree group and monthly income
