freq,ref_area,data_type,sex,type_of_degree,field_study,labprof_status_e,labprof_status_d,employ_sector_pubpriv,econ_activity_nace_2007,professione,y_grad_access_work,y_use_of_graduation,year_educ_attainem,time_period,obs_value,year,source,flow_id,description
A,ITTOT,NO_ACH_C,9,72,1,A1A1_P,9,9,0010,ALL,9,9,2011,2015,10.6,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_1,Degree group and occupational condition
A,ITTOT,NO_ACH_C,9,72,1,A1A2_P,9,9,0010,ALL,9,9,2011,2015,69.9,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_1,Degree group and occupational condition
A,ITTOT,NO_ACH_C,9,72,1,B1_P,9,9,0010,ALL,9,9,2011,2015,9.5,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_1,Degree group and occupational condition
A,ITTOT,NO_ACH_C,9,72,1,B2_P,9,9,0010,ALL,9,9,2011,2015,10.0,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_1,Degree group and occupational condition
A,ITTOT,NO_ACH_C,9,72,1,TOT,9,9,0010,ALL,9,9,2011,2015,100.0,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_1,Degree group and occupational condition
A,ITTOT,NO_ACH_C,9,72,10,A1A1_P,9,9,0010,ALL,9,9,2011,2015,34.0,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_1,Degree group and occupational condition
A,ITTOT,NO_ACH_C,9,72,10,A1A2_P,9,9,0010,ALL,9,9,2011,2015,36.1,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_1,Degree group and occupational condition
A,ITTOT,NO_ACH_C,9,72,10,B1_P,9,9,0010,ALL,9,9,2011,2015,21.5,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_1,Degree group and occupational condition
A,ITTOT,NO_ACH_C,9,72,10,B2_P,9,9,0010,ALL,9,9,2011,2015,8.4,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_1,Degree group and occupational condition
A,ITTOT,NO_ACH_C,9,72,10,TOT,9,9,0010,ALL,9,9,2011,2015,100.0,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_1,Degree group and occupational condition
