freq,territorio,ind_type,measure,sesso,decimals,time_period,obs_value,year
A,IT,ENT_RATE_TER,1,1,1,2010,57.9,2010
A,IT,ENT_RATE_TER,1,1,1,2011,55.7,2011
A,IT,ENT_RATE_TER,1,1,1,2012,52.5,2012
A,IT,ENT_RATE_TER,1,1,1,2013,49.8,2013
A,IT,ENT_RATE_TER,1,1,1,2014,44.1,2014
A,IT,ENT_RATE_TER,1,1,1,2015,43.7,2015
A,IT,ENT_RATE_TER,1,1,1,2016,45.0,2016
A,IT,ENT_RATE_TER,1,1,1,2017,44.9,2017
A,IT,ENT_RATE_TER,1,2,1,2010,68.3,2010
A,IT,ENT_RATE_TER,1,2,1,2011,66.6,2011
A,IT,ENT_RATE_TER,1,2,1,2012,63.6,2012
A,IT,ENT_RATE_TER,1,2,1,2013,61.5,2013
A,IT,ENT_RATE_TER,1,2,1,2014,55.2,2014
A,IT,ENT_RATE_TER,1,2,1,2015,54.4,2015
A,IT,ENT_RATE_TER,1,2,1,2016,55.6,2016
A,IT,ENT_RATE_TER,1,2,1,2017,55.6,2017
A,IT,ENT_RATE_TER,1,9,1,2010,63.3,2010
A,IT,ENT_RATE_TER,1,9,1,2011,61.3,2011
A,IT,ENT_RATE_TER,1,9,1,2012,58.2,2012
A,IT,ENT_RATE_TER,1,9,1,2013,55.7,2013
A,IT,ENT_RATE_TER,1,9,1,2014,49.7,2014
A,IT,ENT_RATE_TER,1,9,1,2015,49.1,2015
A,IT,ENT_RATE_TER,1,9,1,2016,50.3,2016
A,IT,ENT_RATE_TER,1,9,1,2017,50.3,2017
A,IT,ENR_RATE,1,1,1,2010,34.4,2010
A,IT,ENR_RATE,1,1,1,2011,34.0,2011
A,IT,ENR_RATE,1,1,1,2012,33.0,2012
A,IT,ENR_RATE,1,1,1,2013,33.1,2013
A,IT,ENR_RATE,1,1,1,2014,32.2,2014
A,IT,ENR_RATE,1,1,1,2015,32.2,2015
A,IT,ENR_RATE,1,1,1,2016,32.4,2016
A,IT,ENR_RATE,1,1,1,2017,33.0,2017
A,IT,ENR_RATE,1,2,1,2010,47.6,2010
A,IT,ENR_RATE,1,2,1,2011,46.8,2011
A,IT,ENR_RATE,1,2,1,2012,45.6,2012
A,IT,ENR_RATE,1,2,1,2013,45.7,2013
A,IT,ENR_RATE,1,2,1,2014,44.1,2014
A,IT,ENR_RATE,1,2,1,2015,43.7,2015
A,IT,ENR_RATE,1,2,1,2016,43.8,2016
A,IT,ENR_RATE,1,2,1,2017,44.5,2017
A,IT,ENR_RATE,1,9,1,2010,40.9,2010
A,IT,ENR_RATE,1,9,1,2011,40.3,2011
A,IT,ENR_RATE,1,9,1,2012,39.2,2012
A,IT,ENR_RATE,1,9,1,2013,39.3,2013
A,IT,ENR_RATE,1,9,1,2014,38.0,2014
A,IT,ENR_RATE,1,9,1,2015,37.8,2015
A,IT,ENR_RATE,1,9,1,2016,37.9,2016
A,IT,ENR_RATE,1,9,1,2017,38.5,2017
A,IT,GRAD_RATE_I,1,1,1,2010,27.9,2010
A,IT,GRAD_RATE_I,1,1,1,2011,26.1,2011
A,IT,GRAD_RATE_I,1,1,1,2012,26.6,2012
A,IT,GRAD_RATE_I,1,1,1,2013,25.2,2013
A,IT,GRAD_RATE_I,1,1,1,2014,25.5,2014
A,IT,GRAD_RATE_I,1,1,1,2015,25.8,2015
A,IT,GRAD_RATE_I,1,1,1,2016,26.4,2016
A,IT,GRAD_RATE_I,1,1,1,2017,27.5,2017
A,IT,GRAD_RATE_I,1,2,1,2010,39.4,2010
A,IT,GRAD_RATE_I,1,2,1,2011,38.2,2011
A,IT,GRAD_RATE_I,1,2,1,2012,39.8,2012
A,IT,GRAD_RATE_I,1,2,1,2013,37.6,2013
A,IT,GRAD_RATE_I,1,2,1,2014,39.6,2014
A,IT,GRAD_RATE_I,1,2,1,2015,39.9,2015
A,IT,GRAD_RATE_I,1,2,1,2016,39.6,2016
A,IT,GRAD_RATE_I,1,2,1,2017,40.3,2017
A,IT,GRAD_RATE_I,1,9,1,2010,33.6,2010
A,IT,GRAD_RATE_I,1,9,1,2011,32.1,2011
A,IT,GRAD_RATE_I,1,9,1,2012,33.2,2012
A,IT,GRAD_RATE_I,1,9,1,2013,31.3,2013
A,IT,GRAD_RATE_I,1,9,1,2014,32.5,2014
A,IT,GRAD_RATE_I,1,9,1,2015,32.8,2015
A,IT,GRAD_RATE_I,1,9,1,2016,32.9,2016
A,IT,GRAD_RATE_I,1,9,1,2017,33.8,2017
A,IT,GRAD_RATE_II,1,1,1,2010,15.0,2010
A,IT,GRAD_RATE_II,1,1,1,2011,15.3,2011
A,IT,GRAD_RATE_II,1,1,1,2012,16.3,2012
A,IT,GRAD_RATE_II,1,1,1,2013,15.7,2013
A,IT,GRAD_RATE_II,1,1,1,2014,15.3,2014
A,IT,GRAD_RATE_II,1,1,1,2015,15.1,2015
A,IT,GRAD_RATE_II,1,1,1,2016,15.7,2016
A,IT,GRAD_RATE_II,1,1,1,2017,16.5,2017
A,IT,GRAD_RATE_II,1,2,1,2010,22.3,2010
A,IT,GRAD_RATE_II,1,2,1,2011,22.9,2011
A,IT,GRAD_RATE_II,1,2,1,2012,24.3,2012
A,IT,GRAD_RATE_II,1,2,1,2013,24.1,2013
A,IT,GRAD_RATE_II,1,2,1,2014,23.6,2014
A,IT,GRAD_RATE_II,1,2,1,2015,23.5,2015
A,IT,GRAD_RATE_II,1,2,1,2016,23.3,2016
A,IT,GRAD_RATE_II,1,2,1,2017,24.1,2017
A,IT,GRAD_RATE_II,1,9,1,2010,18.6,2010
A,IT,GRAD_RATE_II,1,9,1,2011,19.1,2011
A,IT,GRAD_RATE_II,1,9,1,2012,20.3,2012
A,IT,GRAD_RATE_II,1,9,1,2013,19.9,2013
A,IT,GRAD_RATE_II,1,9,1,2014,19.4,2014
A,IT,GRAD_RATE_II,1,9,1,2015,19.3,2015
A,IT,GRAD_RATE_II,1,9,1,2016,19.4,2016
A,IT,GRAD_RATE_II,1,9,1,2017,20.2,2017
A,ITC,ENT_RATE_TER,1,1,1,2010,59.8,2010
A,ITC,ENT_RATE_TER,1,1,1,2011,58.9,2011
A,ITC,ENT_RATE_TER,1,1,1,2012,57.2,2012
A,ITC,ENT_RATE_TER,1,1,1,2013,55.7,2013
A,ITC,ENT_RATE_TER,1,1,1,2014,49.0,2014
A,ITC,ENT_RATE_TER,1,1,1,2015,48.1,2015
A,ITC,ENT_RATE_TER,1,1,1,2016,49.7,2016
A,ITC,ENT_RATE_TER,1,1,1,2017,49.5,2017
A,ITC,ENT_RATE_TER,1,2,1,2010,66.9,2010
A,ITC,ENT_RATE_TER,1,2,1,2011,67.2,2011
A,ITC,ENT_RATE_TER,1,2,1,2012,64.2,2012
A,ITC,ENT_RATE_TER,1,2,1,2013,64.3,2013
A,ITC,ENT_RATE_TER,1,2,1,2014,57.7,2014
A,ITC,ENT_RATE_TER,1,2,1,2015,56.6,2015
A,ITC,ENT_RATE_TER,1,2,1,2016,58.2,2016
A,ITC,ENT_RATE_TER,1,2,1,2017,58.1,2017
A,ITC,ENT_RATE_TER,1,9,1,2010,63.6,2010
A,ITC,ENT_RATE_TER,1,9,1,2011,63.3,2011
A,ITC,ENT_RATE_TER,1,9,1,2012,60.9,2012
A,ITC,ENT_RATE_TER,1,9,1,2013,60.2,2013
A,ITC,ENT_RATE_TER,1,9,1,2014,53.5,2014
A,ITC,ENT_RATE_TER,1,9,1,2015,52.5,2015
